"Company Name","Symbol","Open (Rs.)","High (Rs.)","Low (Rs.)","Close Price (Rs)","Trade_Volume","Share Volume","Turnover(Rs)"
"JOHN KEELLS HOLDINGS PLC","JKH.N0000","148.70","167.00","126.00","159.70","26,737.00","316,648,465.00","47,144,745,548.10"
"L O L C HOLDINGS PLC","LOLC.N0000","117.90","138.00","82.40","89.90","3,486.00","152,563,518.00","13,993,040,101.30"
"SAMPATH BANK PLC","SAMP.N0000","319.50","335.50","218.00","235.00","29,665.00","48,444,177.00","13,621,111,648.10"
"HATTON NATIONAL BANK PLC","HNB.N0000","250.00","257.50","200.00","214.00","4,452.00","52,679,744.00","12,338,573,891.30"
"COMMERCIAL BANK OF CEYLON PLC","COMB.N0000","136.40","142.50","107.50","115.00","13,414.00","95,286,086.00","12,082,609,290.80"
"ODEL PLC","ODEL.N0000","21.80","32.50","21.20","25.50","1,447.00","267,469,678.00","6,716,879,933.60"
"MELSTACORP PLC","MELS.N0000","59.00","71.50","0.00","50.30","2,921.00","104,423,236.00","5,833,666,180.80"
"HEMAS HOLDINGS PLC","HHL.N0000","126.00","127.00","83.50","88.80","2,516.00","30,964,757.00","3,447,214,505.10"
"NATIONAL DEVELOPMENT BANK PLC","NDB.N0000","137.00","141.40","98.00","106.80","10,476.00","31,703,247.00","3,447,054,310.00"
"JANASHAKTHI INSURANCE PLC","JINS.N0000","15.90","33.50","15.70","30.00","23,313.00","127,775,421.00","3,311,998,768.30"
"SOFTLOGIC HOLDINGS PLC","SHL.N0000","12.80","26.20","12.30","21.50","15,667.00","164,772,776.00","3,209,082,334.20"
"LION BREWERY (CEYLON) PLC","LION.N0000","541.00","679.00","0.00","570.00","1,277.00","5,006,595.00","2,830,371,596.70"
"DIALOG AXIATA PLC","DIAL.N0000","12.80","14.80","9.90","10.10","10,428.00","217,627,328.00","2,802,621,486.90"
"CHEVRON LUBRICANTS  LANKA  PLC","LLUB.N0000","119.90","122.00","64.80","72.80","20,307.00","33,659,282.00","2,665,319,568.00"
"SOFTLOGIC LIFE INSURANCE PLC","AAIC.N0000","20.70","45.10","20.50","44.80","7,131.00","85,822,395.00","2,613,287,421.10"
"NATIONS TRUST BANK PLC","NTB.N0000","79.00","93.00","77.00","89.20","3,199.00","27,524,845.00","2,255,622,470.00"
"TEEJAY LANKA PLC","TJL.N0000","34.10","36.60","27.60","32.50","8,652.00","71,077,840.00","2,240,089,465.40"
"ACCESS ENGINEERING PLC","AEL.N0000","23.30","24.00","13.50","14.10","22,557.00","105,114,020.00","1,881,053,923.20"
"BUKIT DARAH PLC","BUKI.N0000","220.00","274.90","199.00","205.10","600.00","8,944,669.00","1,788,804,810.40"
"SINGER (SRI LANKA) PLC","SINS.N0000","43.50","45.00","28.00","30.00","1,952.00","36,710,387.00","1,713,659,252.80"
"JANASHAKTHI PLC","CSEC","25.90","45.00","17.00","38.00","4,702.00","43,915,631.00","1,568,182,219.90"
"AITKEN SPENCE PLC","SPEN.N0000","55.00","56.50","42.50","47.80","5,359.00","30,633,627.00","1,547,242,719.50"
"UNION ASSURANCE PLC","UAL.N0000","138.00","364.00","134.00","347.30","4,522.00","7,854,353.00","1,514,723,584.10"
"CARGILLS (CEYLON) PLC","CARG.N0000","200.00","210.00","180.00","200.00","1,524.00","6,912,923.00","1,382,744,633.50"
"TOKYO CEMENT COMPANY (LANKA) PLC","TKYO.N0000","66.50","69.90","22.00","25.20","10,173.00","35,005,506.00","1,284,505,834.50"
"CENTRAL FINANCE COMPANY PLC","CFIN.N0000","93.00","110.00","87.00","88.70","2,718.00","12,634,799.00","1,270,998,083.30"
"SANASA DEVELOPMENT BANK PLC","SDB.N0000","101.50","112.90","70.00","75.00","4,392.00","11,169,042.00","1,199,968,908.60"
"COMMERCIAL BANK OF CEYLON PLC","COMB.X0000","105.00","110.00","88.00","95.00","4,558.00","10,637,271.00","1,093,155,459.70"
"HATTON NATIONAL BANK PLC","HNB.X0000","195.00","200.00","150.00","168.50","2,923.00","5,037,696.00","915,208,219.20"
"CARSON CUMBERBATCH PLC","CARS.N0000","176.00","240.00","156.00","170.20","725.00","5,434,853.00","870,917,047.80"
"EAST WEST PROPERTIES PLC","EAST.N0000","10.50","24.90","9.50","13.00","17,840.00","46,167,440.00","867,581,076.50"
"R I L PROPERTY PLC","RIL.N0000","7.30","7.90","6.60","6.90","1,871.00","105,684,790.00","826,342,972.60"
"DISTILLERIES COMPANY OF SRI LANKA PLC","DIST.N0000","26.00","35.00","15.80","16.10","7,643.00","40,228,606.00","819,514,588.30"
"LANKA IOC PLC","LIOC.N0000","28.40","37.00","24.00","24.60","10,435.00","24,990,498.00","791,650,488.20"
"HNB ASSURANCE PLC","HASU.N0000","73.00","135.00","72.60","132.00","6,026.00","8,076,234.00","786,616,770.90"
"RICHARD PIERIS AND COMPANY PLC","RICH.N0000","13.00","13.80","9.90","10.50","6,412.00","62,778,737.00","748,577,054.60"
"TOKYO CEMENT COMPANY (LANKA) PLC","TKYO.X0000","58.80","62.00","20.00","23.00","6,266.00","21,183,816.00","715,252,456.60"
"SEYLAN BANK PLC","SEYB.X0000","56.50","59.00","37.00","44.50","5,768.00","12,667,756.00","610,280,360.30"
"AMANA TAKAFUL PLC","ATL.N0000","0.80","9.40","0.60","6.80","3,231.00","379,766,298.00","562,841,925.30"
"SEYLAN BANK PLC","SEYB.N0000","87.10","94.80","64.10","78.00","2,178.00","6,937,109.00","528,540,863.60"
"ORIENT FINANCE PLC","BFN.N0000","16.30","21.70","10.50","15.50","14,575.00","29,766,456.00","511,023,320.40"
"BROWNS CAPITAL PLC","FLCH.N0000","3.20","4.80","2.90","3.50","10,394.00","127,173,846.00","507,542,030.60"
"PEOPLE'S LEASING & FINANCE PLC","PLC.N0000","16.90","17.30","13.90","16.30","7,672.00","31,582,243.00","500,144,125.80"
