"Company Name","Symbol","Open (Rs.)","High (Rs.)","Low (Rs.)","Close Price (Rs)","Trade_Volume","Share Volume","Turnover(Rs)","even","even 2","even 3","even 4","even 5","even 6","even 7","even 8"
"EXPOLANKA HOLDINGS PLC","EXPO.N0000","29.30","390.00","29.20","375.25","659,361.00","1,829,108,975.00","185,559,675,894.30","","","","","","","",""
"BROWNS INVESTMENTS PLC","","","","","","","","","BIL.N0000","4.40","16.50","4.20","16.30","518,561.00","18,204,517,448.00","148,386,491,103.20"
"L O L C HOLDINGS PLC","LOLC.N0000","136.00","1,210.00","136.00","1,162.00","225,123.00","164,120,325.00","70,309,862,333.70","","","","","","","",""
"JOHN KEELLS HOLDINGS PLC","","","","","","","","","JKH.N0000","167.00","168.80","79.90","149.60","74,880.00","459,869,047.00","62,872,661,508.00"
"JOHN KEELLS HOLDINGS PLC","JKH.N0000","167.00","168.80","79.90","149.60","74,880.00","459,869,047.00","62,872,661,508.00","","","","","","","",""
"ROYAL CERAMICS LANKA PLC","","","","","","","","","RCL.N0000","178.00","439.50","30.50","78.10","237,816.00","706,796,090.00","43,723,345,351.70"
"LOLC FINANCE PLC","LOFC.N0000","3.60","39.90","3.60","20.00","320,416.00","2,440,361,498.00","42,924,689,471.90","","","","","","","",""
"HAYLEYS PLC","","","","","","","","","HAYL.N0000","415.00","860.00","52.00","130.00","163,012.00","358,803,219.00","40,363,909,741.85"
"DIPPED PRODUCTS PLC","DIPD.N0000","350.10","765.00","39.00","50.70","302,748.00","527,090,987.00","39,216,108,557.05","","","","","","","",""
"JOHN KEELLS HOLDINGS PLC","","","","","","","","","JKH.N0000","167.00","168.80","79.90","149.60","74,880.00","459,869,047.00","62,872,661,508.00"
"EXPOLANKA HOLDINGS PLC","EXPO.N0000","29.30","390.00","29.20","375.25","659,361.00","1,829,108,975.00","185,559,675,894.30","","","","","","","",""
"EXPOLANKA HOLDINGS PLC","","","","","","","","","EXPO.N0000","29.30","390.00","29.20","375.25","659,361.00","1,829,108,975.00","185,559,675,894.30"
"COMMERCIAL BANK OF CEYLON PLC","COMB.N0000","96.00","96.00","50.00","80.90","85,914.00","385,016,672.00","27,759,136,631.80","","","","","","","",""
"COMMERCIAL BANK OF CEYLON PLC","","","","","","","","","COMB.N0000","96.00","96.00","50.00","80.90","85,914.00","385,016,672.00","27,759,136,631.80"
"VALLIBEL ONE PLC","VONE.N0000","26.20","95.00","26.10","72.60","203,508.00","443,844,756.00","26,355,710,080.50","","","","","","","",""
"SAMPATH BANK PLC","","","","","","","","","SAMP.N0000","138.00","250.00","48.00","52.10","159,019.00","332,368,388.00","26,144,441,337.00"
"HATTON NATIONAL BANK PLC","HNB.N0000","126.50","171.00","123.00","135.00","37,640.00","150,639,822.00","20,655,363,535.10","","","","","","","",""
"BROWNS INVESTMENTS PLC","","","","","","","","","BIL.N0000","4.40","16.50","4.20","16.30","518,561.00","18,204,517,448.00","148,386,491,103.20"
"BROWNS INVESTMENTS PLC","BIL.N0000","4.40","16.50","4.20","16.30","518,561.00","18,204,517,448.00","148,386,491,103.20","","","","","","","",""
"HATTON NATIONAL BANK PLC","","","","","","","","","HNB.N0000","126.50","171.00","123.00","135.00","37,640.00","150,639,822.00","20,655,363,535.10"
"HATTON NATIONAL BANK PLC","HNB.N0000","126.50","171.00","123.00","135.00","37,640.00","150,639,822.00","20,655,363,535.10","","","","","","","",""
"COMMERCIAL BANK OF CEYLON PLC","","","","","","","","","COMB.N0000","96.00","96.00","50.00","80.90","85,914.00","385,016,672.00","27,759,136,631.80"
"SAMPATH BANK PLC","SAMP.N0000","138.00","250.00","48.00","52.10","159,019.00","332,368,388.00","26,144,441,337.00","","","","","","","",""
"SAMPATH BANK PLC","","","","","","","","","SAMP.N0000","138.00","250.00","48.00","52.10","159,019.00","332,368,388.00","26,144,441,337.00"
"COMMERCIAL LEASING & FINANCE PLC","CLC.N0000","4.20","87.90","4.10","29.90","175,043.00","424,280,368.00","15,072,415,384.60","","","","","","","",""
"BROWN & COMPANY PLC","","","","","","","","","BRWN.N0000","104.90","384.00","104.90","369.50","81,913.00","61,109,737.00","13,522,520,511.20"
"HAYLEYS FABRIC PLC","MGT.N0000","27.80","45.50","13.50","41.20","110,263.00","469,336,051.00","13,435,877,460.30","","","","","","","",""
"ACL CABLES PLC","","","","","","","","","ACL.N0000","79.00","130.00","32.50","100.25","117,506.00","202,768,925.00","13,197,678,248.95"
"HAYCARB PLC","HAYC.N0000","573.00","1,700.00","68.00","76.80","132,573.00","83,947,508.00","11,858,120,590.90","","","","","","","",""
"TOKYO CEMENT COMPANY (LANKA) PLC","","","","","","","","","TKYO.X0000","69.90","82.00","39.00","49.70","97,301.00","202,280,375.00","11,843,146,089.30"
"MELSTACORP PLC","MELS.N0000","52.00","78.00","42.00","56.10","67,510.00","212,843,232.00","11,739,249,179.40","","","","","","","",""
"HATTON NATIONAL BANK PLC","","","","","","","","","HNB.X0000","101.50","147.75","91.50","122.25","30,857.00","101,561,024.00","11,458,027,775.70"
"SUNSHINE HOLDINGS PLC","SUN.N0000","82.90","105.00","22.50","45.40","61,342.00","313,006,894.00","11,250,901,865.45","","","","","","","",""
"PGP GLASS CEYLON PLC","","","","","","","","","GLAS.N0000","9.50","19.60","8.40","18.20","54,567.00","959,469,113.00","11,089,541,176.10"
"LANKA WALLTILE PLC","LWL.N0000","147.00","340.00","37.80","124.25","90,742.00","132,609,505.00","11,021,164,476.05","","","","","","","",""
"TOKYO CEMENT COMPANY (LANKA) PLC","","","","","","","","","TKYO.X0000","69.90","82.00","39.00","49.70","97,301.00","202,280,375.00","11,843,146,089.30"
"TOKYO CEMENT COMPANY (LANKA) PLC","TKYO.X0000","69.90","82.00","39.00","49.70","97,301.00","202,280,375.00","11,843,146,089.30","","","","","","","",""
"HEMAS HOLDINGS PLC","","","","","","","","","HHL.N0000","100.00","107.00","66.00","66.90","52,364.00","135,696,011.00","10,704,476,934.00"
"ACCESS ENGINEERING PLC","AEL.N0000","24.70","36.20","21.00","31.90","79,622.00","370,866,539.00","10,091,886,274.20","","","","","","","",""
"HEMAS HOLDINGS PLC","","","","","","","","","HHL.N0000","100.00","107.00","66.00","66.90","52,364.00","135,696,011.00","10,704,476,934.00"
"HEMAS HOLDINGS PLC","HHL.N0000","100.00","107.00","66.00","66.90","52,364.00","135,696,011.00","10,704,476,934.00","","","","","","","",""
"L O L C HOLDINGS PLC","","","","","","","","","LOLC.N0000","136.00","1,210.00","136.00","1,162.00","225,123.00","164,120,325.00","70,309,862,333.70"
"L O L C HOLDINGS PLC","LOLC.N0000","136.00","1,210.00","136.00","1,162.00","225,123.00","164,120,325.00","70,309,862,333.70","","","","","","","",""
