Company Name,Symbol,Last Traded Price (Rs),Trade Volume,Share Volume,Turnover(Rs),Change(Rs),Change (%) (%)
ABANS ELECTRICALS PLC,ABAN.N0000,151.75,1,1,155,0,0
ABANS FINANCE PLC,AFSL.N0000,24,3,1560,37490,-2,-7.69
ACCESS ENGINEERING PLC,AEL.N0000,17.3,102,338327,5814272.1,0.5,2.98
ACL CABLES PLC,ACL.N0000,74.8,400,781704,58746921.9,-2.4,-3.11
ACL PLASTICS PLC,APLA.N0000,386.75,34,1350,523379.5,-3.25,-0.83
ACME PRINTING & PACKAGING PLC,ACME.N0000,6.7,8,4644,30386,0.2,3.08
AGALAWATTE PLANTATIONS PLC,AGAL.N0000,34.3,64,90787,3071887.2,-0.3,-0.87
AGSTAR PLC,AGST.N0000,10.1,298,2245243,22912141.2,-0.3,-2.88
AGSTAR PLC,AGST.X0000,6.2,,,,0,0
AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,68.5,29,36650,2523223.5,-1.1,-1.58
AITKEN SPENCE PLANTATION MANAGEMENTS PLC,ASPM.N0000,56.8,,,,0,0
AITKEN SPENCE PLC,SPEN.N0000,139.75,23,14840,2075532.75,-1.75,-1.24
ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,90.2,202,74057,6612198.3,3.3,3.8
ALPHA FIRE SERVICES PLC,AFS.N0000,42,1,1,41,0,0
ALUMEX PLC,ALUM.N0000,9,52,91806,826734.1,-0.1,-1.1
AMANA BANK PLC,ABL.N0000,2.4,32,629173,1531097.3,0,0
AMANA TAKAFUL PLC,ATL.N0000,11.7,20,16296,184559.9,-0.3,-2.5
AMANA TAKAFUL LIFE PLC,ATLL.N0000,29.7,,,,0,0
AMBEON CAPITAL PLC,TAP.N0000,9.5,97,322717,3073130.8,0,0
AMBEON HOLDINGS PLC,GREG.N0000,35.8,6,754,27022.4,-1,-2.72
AMW CAPITAL LEASING AND FINANCE PLC,AMCL.N0000,22.4,,,,0,0
ANILANA HOTELS AND PROPERTIES PLC,ALHP.N0000,0,,,,0,0
ARPICO INSURANCE PLC,AINS.N0000,23.5,5,3731,86788.5,0,0
ASIA ASSET FINANCE PLC,AAF.N0000,13,12,49159,638068,0.5,4
ASIA ASSET FINANCE PLC,AAF.P0000,11.7,5,710,8326,-1.8,-13.33
ASIA CAPITAL PLC,ACAP.N0000,4.1,5,4966,20006.6,0.1,2.5
ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,4.2,29,192692,816795.9,0.1,2.44
ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,54.9,72,44533,2403482.1,4.7,9.36
ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,13.3,7,2680,35679,0.3,2.31
ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,26.7,68,94461,2520631.2,0.3,1.14
ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,10.5,17,21332,223727.5,0.5,5
