Company Name,Symbol,Last Traded Price (Rs),Trade Volume,Share Volume,Turnover(Rs),Change(Rs),Change (%) (%)
B P P L HOLDINGS PLC,BPPL.N0000,21.4,14,2808,59642.8,-0.6,-2.73
BAIRAHA FARMS PLC,BFL.N0000,168,37,6494,1091892,-1,-0.59
BALANGODA PLANTATIONS PLC,BALA.N0000,61.5,62,12872,783958.9,-0.3,-0.49
BANSEI ROYAL RESORTS HIKKADUWA PLC,BRR.N0000,11.3,6,375,4225,0.2,1.8
BERUWALA RESORTS PLC,BERU.N0000,1.5,14,47543,68343.1,0.1,7.14
BIMPUTH FINANCE PLC,BLI.N0000,0,,,,0,0
BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,BLUE.X0000,0.3,18,993538,298211.4,-0.1,-25
BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,BLUE.N0000,0.4,29,912601,380920.4,0,0
BOGALA GRAPHITE LANKA PLC,BOGA.N0000,53,81,29618,1586658.7,-1.2,-2.21
BOGAWANTALAWA TEA ESTATES PLC,BOPL.N0000,46,5,905,41430.5,-0.1,-0.22
BROWN & COMPANY PLC,BRWN.N0000,126,60,26717,3340809.75,2.25,1.82
BROWNS BEACH HOTELS PLC,BBH.N0000,14.8,24,7881,115152.8,-0.2,-1.33
BROWNS INVESTMENTS PLC,BIL.N0000,6.2,460,7619721,47497554.6,0.1,1.64
BUKIT DARAH PLC,BUKI.N0000,414,6,212,87777,23.5,6.02
