Company Name,Symbol,Last Traded Price (Rs),Trade Volume,Share Volume,Turnover(Rs),Change(Rs),Change (%) (%)
KAHAWATTE PLANTATIONS PLC,KAHA.N0000,19.8,52,62676,1247983.1,-0.2,-1
KAPRUKA HOLDINGS PLC,KPHL.N0000,8.5,8,3605,30734.1,0,0
KEELLS FOOD PRODUCTS PLC,KFP.N0000,181.75,8,102,18525.5,-3.5,-1.89
KEGALLE PLANTATIONS PLC,KGAL.N0000,123.25,25,4435,546448.75,1.5,1.23
KELANI CABLES PLC,KCAB.N0000,284.5,126,20035,5675447.5,-0.5,-0.18
KELANI TYRES PLC,TYRE.N0000,70,45,17560,1225985.7,1.3,1.89
KELANI VALLEY PLANTATIONS PLC,KVAL.N0000,74.3,158,90425,6768996.1,-3.2,-4.13
KELSEY DEVELOPMENTS PLC,KDL.N0000,24,1,100,2400,0,0
KOTAGALA PLANTATIONS PLC,KOTA.N0000,7,194,977153,6888866.6,-0.2,-2.78
KOTMALE HOLDINGS PLC,LAMB.N0000,410.5,1,1,430,0,0
