Company Name,Symbol,Last Traded Price (Rs),Trade Volume,Share Volume,Turnover(Rs),Change(Rs),Change (%) (%)
PALM GARDEN HOTELS PLC,PALM.N0000,42.5,9,2202,93586.3,0,0
PAN ASIA BANKING CORPORATION PLC,PABC.N0000,22.2,2114,15454083,331880939.5,2.5,12.69
PANASIAN POWER PLC,PAP.N0000,3.5,37,81877,280368.3,0.1,2.94
PARAGON CEYLON PLC,PARA.N0000,0,,,,0,0
PEGASUS HOTELS OF CEYLON PLC,PEG.N0000,25.3,19,6585,166162,1,4.12
PEGASUS HOTELS OF CEYLON PLC,PEG.R0000,0,,,,0,0
PEOPLE'S INSURANCE PLC,PINS.N0000,25.2,29,43308,1102818.7,-0.1,-0.4
PEOPLE'S LEASING & FINANCE PLC,PLC.N0000,12.5,260,2980896,37271332.8,0,0
PGP GLASS CEYLON PLC,GLAS.N0000,25.8,164,359724,9222676.9,0.8,3.2
PMF FINANCE PLC,PMB.N0000,5.1,8,14802,77591,-0.3,-5.56
PRIME LANDS RESIDENCIES PLC,PLR.N0000,8.4,208,1167076,10008145.7,0.1,1.2
PRINTCARE PLC,CARE.N0000,50.3,43,31143,1575572.6,-1.6,-3.08
