Company Name,Symbol,Last Traded Price (Rs),Trade Volume,Share Volume,Turnover(Rs),Change(Rs),Change (%) (%)
R I L PROPERTY PLC,RIL.N0000,6.9,94,567195,3891275.6,0,0
RADIANT GEMS INTERNATIONAL PLC,RGEM.N0000,82.1,53,3615,303666.4,-3.9,-4.53
RAIGAM WAYAMBA SALTERNS PLC,RWSL.N0000,8.4,137,254722,2126800,0.3,3.7
RAMBODA FALLS PLC,RFL.N0000,28.5,2,52,1443.4,0,0
REGNIS (LANKA) PLC,REG.N0000,52,11,4680,245880.2,-2.7,-4.94
RENUKA AGRI FOODS PLC,RAL.N0000,4.8,166,661611,3137975.2,0,0
RENUKA CITY HOTELS PLC.,RENU.N0000,388.25,4,2550,987600,1.25,0.32
RENUKA FOODS PLC,COCO.N0000,19.7,4,1870,36863,-0.8,-3.9
RENUKA FOODS PLC,COCO.X0000,16,,,,0,0
RENUKA HOLDINGS PLC,RHL.N0000,16,15,34003,531276.5,0.2,1.27
RENUKA HOLDINGS PLC,RHL.X0000,11.5,9,3418,39939,-0.5,-4.17
RENUKA HOTELS PLC,RCH.N0000,97.1,7,1310,121151,-0.5,-0.51
RESUS ENERGY PLC,HPWR.N0000,13.7,17,12389,169934.2,-0.3,-2.14
RICHARD PIERIS AND COMPANY PLC,RICH.N0000,23,61,173485,3983098.4,0,0
RICHARD PIERIS EXPORTS PLC,REXP.N0000,556,111,11423,6083945.5,-16.25,-2.84
ROYAL CERAMICS LANKA PLC,RCL.N0000,28.9,486,1051344,30471466.5,-0.5,-1.7
ROYAL PALMS BEACH HOTELS PLC,RPBH.N0000,28.5,8,4260,121466.5,-1.4,-4.68
