Company Name,Symbol,Last Traded Price (Rs),Trade Volume,Share Volume,Turnover(Rs),Change(Rs),Change (%) (%)
SAMPATH BANK PLC,SAMP.N0000,74.6,444,1303524,98118975.6,1,1.36
SAMSON INTERNATIONAL PLC,SIL.N0000,163.5,17,2067,339810,0.25,0.15
SANASA DEVELOPMENT BANK PLC,SDB.N0000,37.2,70,49655,1875079.1,1.1,3.05
SARVODAYA DEVELOPMENT FINANCE PLC,SDF.N0000,13.2,14,4602,61058.4,0,0
SATHOSA MOTORS PLC,SMOT.N0000,180.5,35,1614,291820.5,-23,-11.3
SELINSING PLC,SELI.N0000,0,,,,0,0
SENKADAGALA FINANCE COMPANY PLC,SFCL.N0000,420.75,7,38,17328.5,0,0
SERENDIB ENGINEERING GROUP PLC,IDL.N0000,0,,,,0,0
SERENDIB HOTELS PLC,SHOT.N0000,12.2,45,497445,5965443,0.4,3.39
SERENDIB HOTELS PLC,SHOT.X0000,9,19,46334,417923.6,-0.2,-2.17
SERENDIB LAND PLC,SLND.N0000,1300,,,,0,0
SEYLAN BANK PLC,SEYB.X0000,44,350,2275831,101733294.6,0.3,0.69
SEYLAN BANK PLC,SEYB.N0000,56,139,622365,35844483.4,-0.1,-0.18
SEYLAN DEVELOPMENTS PLC,CSD.N0000,13.1,4,1170,15530.4,-0.4,-2.96
SHALIMAR (MALAY) PLC.,SHAL.N0000,0,,,,0,0
SHAW WALLACE INVESTMENTS PLC,KZOO.N0000,9.4,86,271806,2556717.9,0,0
SIERRA CABLES PLC,SIRA.N0000,11.2,67,118492,1344750.1,-0.1,-0.88
SIGIRIYA VILLAGE HOTELS PLC,SIGV.N0000,59,1,100,5900,3,5.36
SINGER (SRI LANKA) PLC,SINS.N0000,16.2,56,452019,7346939,0.6,3.85
SINGER FINANCE LANKA PLC,SFIN.N0000,14.1,29,11870,167396.1,0.4,2.92
SINGER INDUSTRIES (CEYLON) PLC,SINI.N0000,33.5,12,1434,48052.9,-1.7,-4.83
SINGHE HOSPITALS PLC,SINH.N0000,2.4,8,1238,2993.3,0,0
SMB FINANCE PLC,SEMB.N0000,0.8,58,364470,292013.4,-0.1,-11.11
SMB FINANCE PLC,SEMB.X0000,0.3,13,2157972,647478.7,0,0
SOFTLOGIC CAPITAL PLC,SCAP.N0000,12.1,314,2819740,34482852.6,-0.4,-3.2
SOFTLOGIC FINANCE PLC,CRL.N0000,7.9,31,22325,178854.5,0.7,9.72
SOFTLOGIC HOLDINGS PLC,SHL.N0000,0,,,,0,0
SOFTLOGIC LIFE INSURANCE PLC,AAIC.N0000,77.3,133,26197,2036571.3,-2,-2.52
SRI LANKA TELECOM PLC,SLTL.N0000,86.6,235,127120,11222388,-2.3,-2.59
STANDARD CAPITAL PLC,SING.N0000,36.6,33,1214,44687.4,-2.3,-5.91
SUNSHINE HOLDINGS PLC,SUN.N0000,54,453,1946942,104120481.4,2.5,4.85
SWADESHI INDUSTRIAL WORKS PLC,SWAD.N0000,15003.5,,,,0,0
SWISSTEK (CEYLON) PLC,PARQ.N0000,16.2,107,171195,2796516.9,-0.3,-1.82
