Time,Company Name,Symbol,Last Traded Price (Rs),Trade Volume,Share Volume,Turnover(Rs),Change(Rs),Change (%) (%)
08:48 PM,BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,BLUE.X0000,0.3,18,993538,298211.4,-0.1,-25
05:01 PM,ASIA ASSET FINANCE PLC,AAF.P0000,12.5,5,710,8326,-1.8,-13.33
08:56 PM,SOFTLOGIC FINANCE PLC,CRL.N0000,7,19,9215,68232,-0.8,-10
08:47 PM,LANKEM CEYLON PLC,LCEY.N0000,72,56,49478,3526317.1,-7.7,-9.66
08:47 PM,MULLER & PHIPPS (CEYLON) PLC,MULL.N0000,1.1,8,66550,74185,-0.1,-8.33
04:29 PM,ABANS FINANCE PLC,AFSL.N0000,24,3,1560,37490,-2,-7.69
08:28 PM,COMMERCIAL DEVELOPMENT COMPANY PLC,COMD.N0000,118.25,20,218,24493.5,-7,-5.85
08:21 PM,MILLENNIUM HOUSING DEVELOPERS PLC,MHDL.N0000,3.4,5,34913,115213.8,-0.2,-5.71
08:59 PM,COLOMBO DOCKYARD PLC,DOCK.N0000,60,23,3433,211761,-3.6,-5.67
07:56 PM,TAL LANKA HOTELS PLC,TAJ.N0000,20.1,3,213,4294.3,-1.1,-5.19
07:19 PM,THE LIGHTHOUSE HOTEL PLC,LHL.N0000,32.2,5,2147,69133.4,-1.7,-5.01
08:56 PM,LOTUS HYDRO POWER PLC,HPFL.N0000,9.9,107,158937,1540893.9,-0.5,-5
06:55 PM,DIALOG FINANCE PLC,CALF.N0000,61,8,143,8693.7,-3.1,-4.85
07:52 PM,MACKWOODS ENERGY PLC,MEL.N0000,2.1,6,2001,4052.4,-0.1,-4.76
08:59 PM,PEGASUS HOTELS OF CEYLON PLC,PEG.N0000,24.1,58,16291,398050.6,-1.2,-4.71
08:31 PM,HVA FOODS PLC,HVA.N0000,4.2,29,71704,295993.8,-0.2,-4.55
08:59 PM,MALWATTE VALLEY PLANTATION PLC,MAL.X0000,30.7,15,1309,41341.5,-1.4,-4.24
08:30 PM,CHRISSWORLD PLC,CWL.N0000,11.5,12,2499,29259.7,-0.5,-4.17
08:32 PM,MARAWILA RESORTS PLC,MARA.N0000,2.7,41,253330,677019.4,-0.1,-3.7
08:57 PM,RAIGAM WAYAMBA SALTERNS PLC,RWSL.N0000,8.5,180,669526,5502235.2,-0.3,-3.57
07:09 PM,EAST WEST PROPERTIES PLC,EAST.N0000,8.3,23,47693,400473.6,-0.3,-3.49
08:57 PM,LAXAPANA BATTERIES PLC,LITE.N0000,14.3,70,61879,863747.1,-0.5,-3.38
08:57 PM,ACL CABLES PLC,ACL.N0000,74.9,400,781704,58746921.9,-2.4,-3.11
08:28 PM,ON'ALLY HOLDINGS PLC,ONAL.N0000,26.8,15,192,5167.4,-0.8,-2.89
08:59 PM,AGSTAR PLC,AGST.N0000,10.1,298,2245243,22912141.2,-0.3,-2.88
08:18 PM,PANASIAN POWER PLC,PAP.N0000,3.4,19,45240,156820,-0.1,-2.86
08:37 PM,LAUGFS POWER PLC,LPL.X0000,7.1,5,400,2840,-0.2,-2.74
07:05 PM,B P P L HOLDINGS PLC,BPPL.N0000,21.4,14,2808,59642.8,-0.6,-2.73
07:53 PM,AMBEON HOLDINGS PLC,GREG.N0000,36.6,6,754,27022.4,-1,-2.72
08:12 PM,AMANA TAKAFUL PLC,ATL.N0000,12,20,16296,184559.9,-0.3,-2.5
08:56 PM,MAHAWELI COCONUT PLANTATIONS PLC,MCPL.N0000,28,124,57005,1599865.5,-0.7,-2.44
07:48 PM,KAPRUKA HOLDINGS PLC,KPHL.N0000,8.5,15,19054,161974,-0.2,-2.3
08:47 PM,THE KANDY HOTELS COMPANY (1938) PLC,KHC.N0000,8.6,27,23176,200601.3,-0.2,-2.27
08:42 PM,BOGALA GRAPHITE LANKA PLC,BOGA.N0000,53,81,29618,1586658.7,-1.2,-2.21
08:57 PM,KEGALLE PLANTATIONS PLC,KGAL.N0000,124.75,40,7385,903633.5,-2.75,-2.21
08:54 PM,LANKA TILES PLC,TILE.N0000,45,138,88341,3995187.1,-1,-2.17
08:51 PM,SANASA DEVELOPMENT BANK PLC,SDB.N0000,36.1,34,6668,242404.9,-0.8,-2.17
08:52 PM,RESUS ENERGY PLC,HPWR.N0000,14.3,71,115804,1606514.3,-0.3,-2.1
07:59 PM,MYLAND DEVELOPMENTS PLC,MDL.N0000,9.4,6,6662,63722.8,-0.2,-2.08
08:56 PM,E - CHANNELLING PLC,ECL.N0000,14.9,22,19713,294081.7,-0.3,-1.97
08:59 PM,MERCHANT BANK OF SRI LANKA & FINANCE PLC,MBSL.N0000,5,44,178287,916117.6,-0.1,-1.96
08:59 PM,HATTON PLANTATIONS PLC,HPL.N0000,26,30,13626,352954.3,-0.5,-1.89
08:54 PM,HNB FINANCE PLC,HNBF.X0000,5.7,7,5032,27696.6,-0.1,-1.79
08:59 PM,SIERRA CABLES PLC,SIRA.N0000,11.2,70,83967,943227,-0.2,-1.74
08:58 PM,KELANI CABLES PLC,KCAB.N0000,284,88,11326,3246759.5,-5,-1.72
06:01 PM,RADIANT GEMS INTERNATIONAL PLC,RGEM.N0000,92.4,23,764,65844,-1.5,-1.71
08:58 PM,VALLIBEL ONE PLC,VONE.N0000,46,195,213679,9877540.9,-0.8,-1.71
07:03 PM,MALWATTE VALLEY PLANTATION PLC,MAL.N0000,58,5,217,12587,-1,-1.69
08:48 PM,AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,68,29,36650,2523223.5,-1.1,-1.58
07:08 PM,VIDULLANKA PLC,VLL.N0000,6.4,9,2626,16424.4,-0.1,-1.56
08:57 PM,EDEN HOTEL LANKA PLC,EDEN.N0000,13,80,79549,1030017.8,-0.2,-1.53
08:59 PM,L V L ENERGY FUND PLC,LVEF.N0000,6.7,28,57509,374958.7,-0.1,-1.52
08:57 PM,Ex-pack Corrugated Cartons PLC,PACK.N0000,13.8,122,323972,4463914.9,-0.2,-1.44
08:58 PM,NAMUNUKULA PLANTATIONS PLC,NAMU.N0000,389,16,5292,2016434.75,-5.5,-1.42
08:20 PM,LUMINEX PLC,LUMX.N0000,7,18,30437,212140.3,-0.1,-1.41
08:51 PM,BROWNS BEACH HOTELS PLC,BBH.N0000,14.8,24,7881,115152.8,-0.2,-1.33
08:59 PM,HELA APPAREL HOLDINGS PLC,HELA.N0000,7.4,134,419330,3060294,-0.1,-1.33
08:37 PM,AITKEN SPENCE PLC,SPEN.N0000,139.75,23,14840,2075532.75,-1.75,-1.24
08:22 PM,PEOPLE'S INSURANCE PLC,PINS.N0000,25.3,17,9978,251137.9,-0.3,-1.17
08:34 PM,HOUSING DEVELOPMENT FINANCE CORPORATION BANK OF SL,HDFC.N0000,34.9,10,3653,127826.8,-0.4,-1.13
08:59 PM,SINGER INDUSTRIES (CEYLON) PLC,SINI.N0000,35.8,16,758,26710.2,-0.4,-1.12
08:37 PM,JETWING SYMPHONY PLC,JETS.N0000,8.9,15,29900,264905,-0.1,-1.11
08:59 PM,ALUMEX PLC,ALUM.N0000,9,52,91806,826734.1,-0.1,-1.1
08:59 PM,MELSTACORP PLC,MELS.N0000,82,215,2788206,240986899.4,-0.9,-1.09
08:59 PM,LANKA IOC PLC,LIOC.N0000,119,442,332844,39584500.75,-1.25,-1.04
08:44 PM,AGALAWATTE PLANTATIONS PLC,AGAL.N0000,34.8,64,90787,3071887.2,-0.3,-0.87
08:53 PM,LAUGFS GAS PLC,LGL.N0000,35.1,16,5421,193523.7,-0.3,-0.83
08:59 PM,ACL PLASTICS PLC,APLA.N0000,390,34,1350,523379.5,-3.25,-0.83
