Company Name,Symbol,Last Traded Price (Rs),Trade Volume,Share Volume,Turnover(Rs)
JOHN KEELLS HOLDINGS PLC,JKH.N0000,193.5,628,2871028,542937905.3
TEEJAY LANKA PLC,TJL.N0000,34,219,7481140,248055516.3
MELSTACORP PLC,MELS.N0000,82,215,2788206,240986899.4
CAPITAL ALLIANCE PLC,CALT.N0000,66,1869,3403881,216694989
HATTON NATIONAL BANK PLC,HNB.N0000,183.5,221,1176500,215240274.5
EXPOLANKA HOLDINGS PLC,EXPO.N0000,146,265,1287181,187464229.3
COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,96.7,434,1959053,186623191
DIALOG AXIATA PLC,DIAL.N0000,11.8,134,15412283,181824523.5
FIRST CAPITAL HOLDINGS PLC,CFVF.N0000,51.1,842,3619229,180572657.4
DFCC BANK PLC,DFCC.N0000,87.9,589,2039076,176038661.3
CENTRAL FINANCE COMPANY PLC,CFIN.N0000,116,778,1521471,166040969
SAMPATH BANK PLC,SAMP.N0000,74.7,506,1637278,120466321.4
hSenid Business Solutions PLC,HBS.N0000,12.6,88,9158100,118985432.6
SOFTLOGIC CAPITAL PLC,SCAP.N0000,12.5,758,9419709,115451171.3
PEOPLE'S LEASING & FINANCE PLC,PLC.N0000,12.5,595,7656056,95384878.8
NATIONS TRUST BANK PLC,NTB.N0000,121.5,339,768837,91146144
First Capital Treasuries PLC,FCT.N0000,44.1,511,1956542,86389370.6
DISTILLERIES COMPANY OF SRI LANKA PLC,DIST.N0000,25,225,2837049,71305291.6
SEYLAN BANK PLC,SEYB.N0000,56.6,154,1116095,61458822.6
ACL CABLES PLC,ACL.N0000,74.9,400,781704,58746921.9
LB FINANCE PLC,LFIN.N0000,70,149,791710,55436810.2
TOKYO CEMENT COMPANY (LANKA) PLC,TKYO.N0000,56,129,883536,49473188.8
BROWNS INVESTMENTS PLC,BIL.N0000,6.3,460,7619721,47497554.6
THREE ACRE FARMS PLC,TAFL.N0000,221,172,196230,44233052.25
PGP GLASS CEYLON PLC,GLAS.N0000,25,119,1719553,42152470.4
HAYLEYS FABRIC PLC,MGT.N0000,38,463,1059869,39654552.5
LANKA IOC PLC,LIOC.N0000,119,442,332844,39584500.75
PAN ASIA BANKING CORPORATION PLC,PABC.N0000,19.6,502,1974553,38745330.7
SEYLAN BANK PLC,SEYB.X0000,44,278,762614,33029032.6
UNION BANK OF COLOMBO PLC,UBC.N0000,10.5,138,3095345,32177746.1
CEYLON GRAIN ELEVATORS PLC,GRAN.N0000,133,265,234751,30751605.75
HAYLEYS PLC,HAYL.N0000,89.2,218,318108,28212256.1
LOLC FINANCE PLC,LOFC.N0000,5.6,377,4300486,24226608.1
SOFTLOGIC LIFE INSURANCE PLC,AAIC.N0000,79.9,356,305363,24050344.5
HEMAS HOLDINGS PLC,HHL.N0000,80,129,290823,23165741.7
AGSTAR PLC,AGST.N0000,10.1,298,2245243,22912141.2
HATTON NATIONAL BANK PLC,HNB.X0000,152.25,116,125263,19076233
SUNSHINE HOLDINGS PLC,SUN.N0000,51.5,97,282584,14525459.2
NATIONAL DEVELOPMENT BANK PLC,NDB.N0000,77,292,193013,14279296.8
COMMERCIAL BANK OF CEYLON PLC,COMB.X0000,83,162,182407,14266236.6
THE KINGSBURY PLC,SERV.N0000,10.2,51,1249114,12862607.1
CHEVRON LUBRICANTS LANKA PLC,LLUB.N0000,92.8,74,138463,12713990.9
L O L C HOLDINGS PLC,LOLC.N0000,474.75,149,25095,11663829.5
DANKOTUWA PORCELAIN PLC,DPL.N0000,26.6,26,431882,11500823.7
