Listed Traded Time,Company Name,Symbol,Last Traded Price (Rs),Trade Volume,Share Volume,Turnover(Rs),Change(Rs),Change (%) (%)
16-08-2023,PAN ASIA BANKING CORPORATION PLC,PABC.N0000,19.7,502,1974553,38745330.7,0.5,2.6
16-08-2023,FIRST CAPITAL HOLDINGS PLC,CFVF.N0000,50.9,842,3619229,180572657.4,2.9,6.04
16-08-2023,NATIONS TRUST BANK PLC,NTB.N0000,119,339,768837,91146144,2,1.71
16-08-2023,AMBEON CAPITAL PLC,TAP.N0000,9.5,97,322717,3073130.8,0,0
16-08-2023,SOFTLOGIC CAPITAL PLC,SCAP.N0000,12.5,758,9419709,115451171.3,0.4,3.31
16-08-2023,HAYLEYS FABRIC PLC,MGT.N0000,38,463,1059869,39654552.5,1.7,4.68
16-08-2023,ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,90.2,202,74057,6612198.3,3.3,3.8
16-08-2023,DISTILLERIES COMPANY OF SRI LANKA PLC,DIST.N0000,25,225,2837049,71305291.6,0.1,0.4
16-08-2023,COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,96.7,434,1959053,186623191,3.7,3.98
16-08-2023,CEYLON GRAIN ELEVATORS PLC,GRAN.N0000,132.5,265,234751,30751605.75,3.25,2.51
16-08-2023,CENTRAL FINANCE COMPANY PLC,CFIN.N0000,113.75,778,1521471,166040969,10,9.64
16-08-2023,JOHN KEELLS HOLDINGS PLC,JKH.N0000,191.5,628,2871028,542937905.3,7.75,4.22
16-08-2023,CAPITAL ALLIANCE PLC,CALT.N0000,65.4,1869,3403881,216694989,5,8.28
16-08-2023,First Capital Treasuries PLC,FCT.N0000,44.4,511,1956542,86389370.6,0.3,0.68
16-08-2023,L O L C HOLDINGS PLC,LOLC.N0000,471.25,149,25095,11663829.5,13.75,3.01
16-08-2023,SEYLAN BANK PLC,SEYB.N0000,56.1,154,1116095,61458822.6,3.3,6.25
16-08-2023,HELA APPAREL HOLDINGS PLC,HELA.N0000,7.4,134,419330,3060294,-0.1,-1.33
16-08-2023,DFCC BANK PLC,DFCC.N0000,87.5,589,2039076,176038661.3,4.4,5.29
16-08-2023,BROWNS INVESTMENTS PLC,BIL.N0000,6.2,460,7619721,47497554.6,0.1,1.64
16-08-2023,MELSTACORP PLC,MELS.N0000,82,214,622667,50419467.4,-0.9,-1.09
16-08-2023,UNION BANK OF COLOMBO PLC,UBC.N0000,10.5,137,1095345,11377746.1,0.2,1.94
16-08-2023,LANKA IOC PLC,LIOC.N0000,118.5,442,332844,39584500.75,-1.25,-1.04
16-08-2023,AGSTAR PLC,AGST.N0000,10.1,298,2245243,22912141.2,-0.3,-2.88
16-08-2023,OVERSEAS REALTY (CEYLON) PLC,OSEA.N0000,16.5,23,14126,232338.7,0,0
16-08-2023,LOLC FINANCE PLC,LOFC.N0000,5.7,377,4300486,24226608.1,0.1,1.79
16-08-2023,SUNSHINE HOLDINGS PLC,SUN.N0000,51.5,97,282584,14525459.2,0.5,0.98
16-08-2023,GALLE FACE CAPITAL PARTNERS PLC,WAPO.N0000,29.7,245,310220,9233274.4,1.7,6.07
16-08-2023,CARGO BOAT DEVELOPMENT COMPANY PLC,CABO.N0000,57.3,12,2970,167887.1,2.9,5.33
16-08-2023,THE LANKA HOSPITALS CORPORATION PLC,LHCL.N0000,103.75,32,13858,1405616.5,2.25,2.22
16-08-2023,COMMERCIAL CREDIT AND FINANCE PLC,COCR.N0000,36,129,260182,9410116.4,0.4,1.12
16-08-2023,AMANA BANK PLC,ABL.N0000,2.4,32,629173,1531097.3,0,0
16-08-2023,VALLIBEL FINANCE PLC,VFIN.N0000,36.7,89,131082,4822667,0.9,2.51
16-08-2023,THREE ACRE FARMS PLC,TAFL.N0000,221,171,96230,21233052.25,-1.75,-0.79
16-08-2023,ACL PLASTICS PLC,APLA.N0000,386.75,34,1350,523379.5,-3.25,-0.83
16-08-2023,CEYLON GUARDIAN INVESTMENT TRUST PLC,GUAR.N0000,100,25,7244,717329.5,4.9,5.15
16-08-2023,CITRUS LEISURE PLC,REEF.N0000,6.8,11,17511,118601.2,0,0
16-08-2023,PEGASUS HOTELS OF CEYLON PLC,PEG.N0000,24.3,58,16291,398050.6,-1.2,-4.71
16-08-2023,HATTON NATIONAL BANK PLC,HNB.N0000,183.25,218,556500,101780274.5,1,0.55
16-08-2023,L V L ENERGY FUND PLC,LVEF.N0000,6.5,28,57509,374958.7,-0.1,-1.52
16-08-2023,MERCHANT BANK OF SRI LANKA & FINANCE PLC,MBSL.N0000,5,44,178287,916117.6,-0.1,-1.96
16-08-2023,SIERRA CABLES PLC,SIRA.N0000,11.3,70,83967,943227,-0.2,-1.74
16-08-2023,LANKA REALTY INVESTMENTS PLC,ASCO.N0000,13.9,32,82192,1120046.2,0.4,2.96
16-08-2023,KOTAGALA PLANTATIONS PLC,KOTA.N0000,7.2,179,795768,5684890.2,0,0
16-08-2023,KELANI VALLEY PLANTATIONS PLC,KVAL.N0000,77.5,28,16227,1256406,0.4,0.52
16-08-2023,HATTON PLANTATIONS PLC,HPL.N0000,25.9,30,13626,352954.3,-0.5,-1.89
16-08-2023,COLOMBO DOCKYARD PLC,DOCK.N0000,59.9,23,3433,211761,-3.6,-5.67
16-08-2023,PEOPLE'S LEASING & FINANCE PLC,PLC.N0000,12.5,594,4656056,57884878.8,0.5,4.17
16-08-2023,LANKA WALLTILE PLC,LWL.N0000,46.4,86,62758,2920677.6,0.2,0.43
16-08-2023,C M HOLDINGS PLC,COLO.N0000,86.7,30,5105,433398.4,0.3,0.35
16-08-2023,LANKA MILK FOODS (CWE) PLC,LMF.N0000,166.75,34,43047,7104347.75,5,3.09
16-08-2023,R I L PROPERTY PLC,RIL.N0000,6.9,123,1486431,10125177.5,0.2,2.99
16-08-2023,SAMPATH BANK PLC,SAMP.N0000,73.6,504,637278,46966321.4,0.8,1.1
16-08-2023,CEYLON HOTELS CORPORATION PLC,CHOT.N0000,21.1,45,60218,1274936.9,0.1,0.48
16-08-2023,SOFTLOGIC LIFE INSURANCE PLC,AAIC.N0000,79.3,356,305363,24050344.5,1.3,1.67
16-08-2023,ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,10.5,17,21332,223727.5,0.5,5
16-08-2023,SINGER INDUSTRIES (CEYLON) PLC,SINI.N0000,35.2,16,758,26710.2,-0.4,-1.12
16-08-2023,CEYLON INVESTMENT PLC,CINV.N0000,53.1,101,54436,2872575.4,1.7,3.31
16-08-2023,TEEJAY LANKA PLC,TJL.N0000,33.5,218,6481140,215055516.3,0.5,1.52
16-08-2023,ALUMEX PLC,ALUM.N0000,9,52,91806,826734.1,-0.1,-1.1
16-08-2023,VALLIBEL ONE PLC,VONE.N0000,46,195,213679,9877540.9,-0.8,-1.71
16-08-2023,INDUSTRIAL ASPHALTS (CEYLON) PLC,ASPH.N0000,0.3,10,133248,40979.2,0,0
16-08-2023,KELANI CABLES PLC,KCAB.N0000,285,88,11326,3246759.5,-5,-1.72
16-08-2023,NAMUNUKULA PLANTATIONS PLC,NAMU.N0000,381.25,16,5292,2016434.75,-5.5,-1.42
16-08-2023,EXPOLANKA HOLDINGS PLC,EXPO.N0000,145.75,261,287181,41964229.25,0.75,0.52
16-08-2023,ELPITIYA PLANTATIONS PLC,ELPL.N0000,88.5,57,8601,762588.7,-0.6,-0.67
16-08-2023,RENUKA AGRI FOODS PLC,RAL.N0000,4.8,59,203055,981621.7,0,0
