Listed Date>,Company Name,Symbol,Last Traded Price (Rs)>,Trade Volume,Share Volume,Turnover(Rs),Change(Rs),Change (%) (%)
11/24/11,PEOPLE'S LEASING & FINANCE PLC,PLC.N0000,12.5,260,2980896,37271332.8,0,0
10/4/11,DIALOG FINANCE PLC,CALF.N0000,66.8,14,2725,176173.4,6,9.87
9/21/11,SOFTLOGIC CAPITAL PLC,SCAP.N0000,12.1,314,2819740,34482852.6,-0.4,-3.2
8/9/11,TEEJAY LANKA PLC,TJL.N0000,34,82,457579,15461886.3,0.5,1.49
7/26/11,BROWNS INVESTMENTS PLC,BIL.N0000,6.1,682,10156931,61918476.7,-0.1,-1.61
7/12/11,SOFTLOGIC HOLDINGS PLC,SHL.N0000,0,,,,0,0
7/8/11,VALLIBEL ONE PLC,VONE.N0000,44.6,326,464422,20903824.6,-1.4,-3.04
7/7/11,LOLC FINANCE PLC,LOFC.N0000,5.6,523,5139370,28558831,-0.1,-1.75
6/30/11,ORIENT FINANCE PLC,BFN.N0000,8.1,167,962870,7602514.3,0.6,8
6/27/11,ABANS FINANCE PLC,AFSL.N0000,25.8,9,1092,28003.6,1.8,7.5
6/23/11,ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,10.6,53,174203,1844821.8,0.1,0.95
6/13/11,BIMPUTH FINANCE PLC,BLI.N0000,0,,,,0,0
6/13/11,EXPOLANKA HOLDINGS PLC,EXPO.N0000,148.75,386,385107,57245258.5,3,2.06
6/8/11,AMW CAPITAL LEASING AND FINANCE PLC,AMCL.N0000,22.4,,,,0,0
6/2/11,MERCANTILE INVESTMENTS AND FINANCE PLC,MERC.N0000,2600,,,,0,0
6/1/11,COMMERCIAL CREDIT AND FINANCE PLC,COCR.N0000,37.5,933,2517633,94330439.4,1.5,4.17
5/30/11,MULTI FINANCE PLC,MFL.N0000,0,,,,0,0
3/29/11,UNION BANK OF COLOMBO PLC,UBC.N0000,10.9,187,1195781,12915213.6,0.4,3.81
3/22/11,SENKADAGALA FINANCE COMPANY PLC,SFCL.N0000,420.75,7,38,17328.5,0,0
2/15/11,HVA FOODS PLC,HVA.N0000,4,23,54091,218504,-0.2,-4.76
1/17/11,SINGER FINANCE LANKA PLC,SFIN.N0000,14.1,29,11870,167396.1,0.4,2.92
1/7/11,PANASIAN POWER PLC,PAP.N0000,3.5,37,81877,280368.3,0.1,2.94
