Traded Date,Value
10/13/23,10813.03
10/12/23,10830.37
10/11/23,10688.86
10/10/23,10825.16
10/9/23,10824.24
10/6/23,10989.92
10/5/23,11052.33
10/4/23,11095.78
10/3/23,11042.86
10/2/23,11152.18
9/27/23,11346.7
9/26/23,11258.52
9/25/23,11208.03
9/22/23,11263.78
9/21/23,11202.57
9/20/23,11274.33
9/19/23,11275.2
9/18/23,11363.64
9/15/23,11465.73
9/14/23,11532.62
9/13/23,11432.62
9/12/23,11360.83
9/11/23,11384.33
9/8/23,11466.07
9/7/23,11357.45
9/6/23,11351.27
9/5/23,11474.95
9/4/23,11377.98
9/1/23,11211.57
8/31/23,11117.66
8/29/23,11168.26
8/28/23,11170.04
8/25/23,11194.55
8/24/23,11243.8
8/23/23,11385.47
8/22/23,11279.03
8/21/23,11339.29
8/18/23,11403.92
8/17/23,11447.61
8/16/23,11386.4
8/15/23,11227.48
8/14/23,11382.71
8/11/23,11596.16
8/10/23,11664.61
8/9/23,11629.48
8/8/23,11724.22
8/7/23,11681.66
8/4/23,11615.56
8/3/23,11582.34
8/2/23,11446.83
7/31/23,11386.72
7/28/23,11312.19
7/27/23,11257.82
7/26/23,10990.41
7/25/23,11069.44
7/24/23,11073.01
7/21/23,11106.54
7/20/23,11023.02
7/19/23,10940.82
7/18/23,10796.07
7/17/23,10727.99
7/14/23,10595.02
7/13/23,10491.52
7/12/23,10489.98
7/11/23,10333.2
7/10/23,10311.25
7/7/23,10309.15
7/6/23,10224.8
7/5/23,10176.13
7/4/23,10076.64
6/28/23,9442.95
6/27/23,9370.51
6/26/23,9476.69
6/23/23,9339.43
6/22/23,9307.87
6/21/23,9308.84
6/20/23,9173.09
6/19/23,9186.04
6/16/23,9241.31
6/15/23,9288.88
6/14/23,9216.49
6/13/23,9073.41
6/12/23,9023.74
6/9/23,8825.75
6/8/23,8774.43
6/7/23,8727.68
6/6/23,8750.35
6/5/23,8771.97
6/2/23,8767.2
6/1/23,8694.85
5/31/23,8567.18
5/30/23,8548.74
5/29/23,8578.1
5/26/23,8701.41
5/25/23,8721.28
5/24/23,8759.57
5/23/23,8658.58
5/22/23,8615.22
5/19/23,8729.51
5/18/23,8789.03
5/17/23,8821.62
5/16/23,8828.39
5/15/23,8906.84
5/12/23,8937.29
5/11/23,8954.47
5/10/23,8901.61
5/9/23,8914.74
5/8/23,8964.76
5/4/23,8845.11
5/3/23,8818.9
5/2/23,8724.87
4/28/23,8983.21
4/27/23,9012.4
4/26/23,9097.61
4/25/23,9149.9
4/24/23,9194.06
4/21/23,9277.57
4/20/23,9288.29
4/19/23,9299.17
4/18/23,9340.11
4/17/23,9405.9
4/12/23,9415.28
4/11/23,9411.69
4/10/23,9328.53
4/6/23,9277.79
4/4/23,9173.97
4/3/23,9250.96
3/31/23,9301.09
3/30/23,9235.18
3/29/23,9288.11
3/28/23,9260.08
3/27/23,9270.14
3/24/23,9431.57
3/23/23,9394.41
3/22/23,9551.79
3/21/23,9593.84
3/20/23,9699.96
3/17/23,9686.15
3/16/23,9587.83
3/15/23,9587.02
3/14/23,9540.87
3/13/23,9489.53
3/10/23,9606.96
3/9/23,9693.23
3/8/23,9647.86
3/7/23,9672.65
3/3/23,9461.74
3/2/23,9356.75
3/1/23,9243.71
2/28/23,9202.35
2/27/23,9197.76
2/24/23,9315.87
2/23/23,9272.58
2/22/23,9160.25
2/21/23,9179.06
2/20/23,9082.33
2/17/23,8848.36
2/16/23,8843.05
2/15/23,8669.11
2/14/23,8638.92
2/13/23,8789.4
2/10/23,8952.53
2/9/23,8979.59
2/8/23,8987.45
2/7/23,8999.75
2/6/23,9117.55
2/3/23,9188.93
2/2/23,9049.29
2/1/23,8977.09
1/31/23,8878.66
1/30/23,8889.67
1/27/23,8983.39
1/26/23,8926.56
1/25/23,8938.06
1/24/23,8902.24
1/23/23,8990.79
1/20/23,8718.15
1/19/23,8558.75
1/18/23,8386.27
1/17/23,8366.93
1/13/23,8262.58
1/12/23,8334.05
1/11/23,8380.87
1/10/23,8367.69
1/9/23,8381.04
1/5/23,8424.11
1/4/23,8463.93
1/3/23,8523.01
1/2/23,8509.6
12/30/22,8489.66
12/29/22,8425.78
12/28/22,8411.42
12/27/22,8429.08
12/23/22,8428.77
12/22/22,8390.03
12/21/22,8434.14
12/20/22,8484.27
12/19/22,8602.52
12/16/22,8754.47
12/15/22,8813.84
12/14/22,8870.63
12/13/22,8825.1
12/12/22,8862.67
12/9/22,8851.12
12/8/22,8891.74
12/6/22,8881.34
12/5/22,8848.62
12/2/22,8769.73
12/1/22,8703.79
11/30/22,8651.23
11/29/22,8375.21
11/28/22,8358.31
11/25/22,8148.06
11/24/22,8028.14
11/23/22,8173.86
11/22/22,8000.44
11/21/22,7801.52
11/18/22,7827.57
11/17/22,8045.89
11/16/22,8087.04
11/15/22,8291.15
11/14/22,8363.29
11/11/22,8420.16
11/10/22,8332.65
11/9/22,8311.34
11/8/22,8264.24
11/4/22,8511.15
11/3/22,8530.55
11/2/22,8561.96
11/1/22,8635.12
10/31/22,8602.16
10/28/22,8728.6
10/27/22,8802.23
10/26/22,8638.33
10/25/22,8505.76
10/21/22,8700.06
10/20/22,8738.96
10/19/22,8888.37
10/18/22,8866.05
10/17/22,8990.72
10/14/22,9116.66
10/13/22,9148.55
10/12/22,8979.91
10/11/22,8709.7
10/7/22,9049.52
10/6/22,9182.23
10/5/22,9370.01
10/4/22,9237.05
10/3/22,9551.44
9/30/22,9931.07
9/29/22,9951.48
9/28/22,9967
9/27/22,9861.62
9/26/22,9874.19
9/23/22,9969.3
9/22/22,10003.58
9/21/22,9913.22
9/20/22,9901.13
9/19/22,10025.4
9/16/22,10102.7
9/15/22,10058.39
9/14/22,9914.12
9/13/22,9749.09
9/12/22,9813.18
9/9/22,9704.21
9/8/22,9599.32
9/7/22,9480.3
9/6/22,9330.33
9/5/22,9376.91
9/2/22,9316.45
9/1/22,9254.81
8/31/22,9071.32
8/30/22,8876.64
8/29/22,8732.47
8/26/22,8793.39
8/25/22,8811.56
8/24/22,9011.24
8/23/22,9077.08
8/22/22,9087.59
8/19/22,8975.75
8/18/22,8927.39
8/17/22,8968.06
8/16/22,9086.24
8/15/22,9199.27
8/12/22,9027.48
8/10/22,8765.7
8/9/22,8474.73
8/8/22,8422.97
8/5/22,8310.92
8/4/22,8283.78
8/3/22,8080.14
8/2/22,7948.14
