Traded Date,Value
10/13/23,860.59
10/12/23,871.31
10/11/23,871.31
10/10/23,873.99
10/9/23,871.31
10/6/23,882.04
10/5/23,884.72
10/4/23,879.36
10/3/23,886.06
10/2/23,887.4
9/27/23,898.12
9/26/23,903.49
9/25/23,886.06
9/22/23,898.12
9/21/23,871.31
9/20/23,891.42
9/19/23,884.72
9/18/23,894.1
9/15/23,904.83
9/14/23,915.55
9/13/23,922.25
9/12/23,904.83
9/11/23,918.23
9/8/23,911.53
9/7/23,904.83
9/6/23,910.19
9/5/23,894.1
9/4/23,916.89
9/1/23,886.06
8/31/23,908.85
8/29/23,904.83
8/28/23,990.62
8/25/23,985.25
8/24/23,998.66
8/23/23,998.66
8/22/23,991.96
8/21/23,1005.36
8/18/23,937
8/17/23,938.34
8/16/23,922.25
8/15/23,918.23
8/14/23,918.23
8/11/23,924.93
8/10/23,924.93
8/9/23,911.53
8/8/23,911.53
8/7/23,932.98
8/4/23,963.81
8/3/23,938.34
8/2/23,924.93
7/31/23,918.23
7/28/23,918.23
7/27/23,912.87
7/26/23,911.53
7/25/23,918.23
7/24/23,914.21
7/21/23,924.93
7/20/23,930.29
7/19/23,938.34
7/18/23,931.64
7/17/23,895.44
7/14/23,891.42
7/13/23,891.42
7/12/23,895.44
7/11/23,891.42
7/10/23,896.78
7/7/23,896.78
7/6/23,824.4
7/5/23,831.1
7/4/23,831.1
6/28/23,828.42
6/27/23,805.63
6/26/23,785.52
6/23/23,784.18
6/22/23,784.18
6/21/23,784.18
6/20/23,789.54
6/19/23,774.8
6/16/23,797.59
6/15/23,796.25
6/14/23,780.16
6/13/23,780.16
6/12/23,784.18
6/9/23,758.71
6/8/23,772.12
6/7/23,750.67
6/6/23,777.48
6/5/23,778.82
6/2/23,741.29
6/1/23,776.14
5/31/23,737.27
5/30/23,738.61
5/29/23,750.67
5/26/23,734.58
5/25/23,737.27
5/24/23,739.95
5/23/23,737.27
5/22/23,737.27
5/19/23,737.27
5/18/23,734.58
5/17/23,731.9
5/16/23,738.61
5/15/23,762.73
5/12/23,734.58
5/11/23,750.67
5/10/23,737.27
5/9/23,750.67
5/8/23,737.27
5/4/23,749.33
5/3/23,770.78
5/2/23,738.61
4/28/23,772.12
4/27/23,785.52
4/26/23,792.23
4/25/23,784.18
4/24/23,813.67
4/21/23,777.48
4/20/23,778.82
4/19/23,778.82
4/18/23,789.54
4/17/23,777.48
4/12/23,782.84
4/11/23,777.48
4/10/23,782.84
4/6/23,796.25
4/4/23,764.08
4/3/23,762.73
3/31/23,754.69
3/30/23,758.71
3/29/23,764.08
3/28/23,762.73
3/27/23,773.46
3/24/23,790.88
3/23/23,777.48
3/22/23,781.5
3/21/23,804.29
3/20/23,801.61
3/17/23,789.54
3/16/23,784.18
3/15/23,777.48
3/14/23,777.48
3/13/23,781.5
