Traded Date,Value
10/13/23,746.94
10/12/23,746.96
10/11/23,735.45
10/10/23,749.88
10/9/23,750.64
10/6/23,763.94
10/5/23,777.12
10/4/23,778.25
10/3/23,770.68
10/2/23,783.87
9/27/23,803.74
9/26/23,791.84
9/25/23,784.73
9/22/23,788.67
9/21/23,785.51
9/20/23,793.49
9/19/23,792.9
9/18/23,807.26
9/15/23,817.46
9/14/23,824.44
9/13/23,821.9
9/12/23,811.97
9/11/23,819.19
9/8/23,832.31
9/7/23,828.87
9/6/23,828.53
9/5/23,847.68
9/4/23,830.55
9/1/23,805.91
8/31/23,788.5
8/29/23,803.35
8/28/23,807.21
8/25/23,809.27
8/24/23,816.95
8/23/23,844.93
8/22/23,826.86
8/21/23,828.09
8/18/23,848.27
8/17/23,863.29
8/16/23,858.07
8/15/23,834.94
8/14/23,863.84
8/11/23,901.53
8/10/23,907.11
8/9/23,897.71
8/8/23,909.63
8/7/23,904.5
8/4/23,888.44
8/3/23,878.56
8/2/23,858.65
7/31/23,835.97
7/28/23,830.3
7/27/23,828.53
7/26/23,791.48
7/25/23,794.37
7/24/23,793.75
7/21/23,792.92
7/20/23,786.06
7/19/23,787
7/18/23,755.15
7/17/23,736.44
7/14/23,714.78
7/13/23,697.89
7/12/23,698.63
7/11/23,674.55
7/10/23,675.29
7/7/23,681.61
7/6/23,687.5
7/5/23,690.02
7/4/23,694.12
6/28/23,598.53
6/27/23,591.37
6/26/23,606.55
6/23/23,584.88
6/22/23,580.28
6/21/23,583.47
6/20/23,570.3
6/19/23,573.71
6/16/23,582.73
6/15/23,584.63
6/14/23,579.48
6/13/23,556.84
6/12/23,551.34
6/9/23,530.84
6/8/23,526.31
6/7/23,514.96
6/6/23,516.09
6/5/23,518.24
6/2/23,521.28
6/1/23,514.02
5/31/23,506.69
5/30/23,507.69
5/29/23,507
5/26/23,521.99
5/25/23,517.16
5/24/23,519.17
5/23/23,515.33
5/22/23,502.48
5/19/23,511.19
5/18/23,516.61
5/17/23,518.6
5/16/23,522.53
5/15/23,536.13
5/12/23,532.97
5/11/23,531.8
5/10/23,513.99
5/9/23,515.73
5/8/23,518.16
5/4/23,489.67
5/3/23,489.12
5/2/23,481.18
4/28/23,504.95
4/27/23,508.71
4/26/23,514.68
4/25/23,516.16
4/24/23,515.32
4/21/23,527.22
4/20/23,527.89
4/19/23,529.28
4/18/23,538.24
4/17/23,544.91
4/12/23,548.58
4/11/23,543.21
4/10/23,541.23
4/6/23,544.31
4/4/23,538.28
4/3/23,546.19
3/31/23,554.1
3/30/23,541.86
3/29/23,542.68
3/28/23,530.49
3/27/23,532.68
3/24/23,544.46
3/23/23,539.21
3/22/23,560.37
3/21/23,568.09
3/20/23,582.31
3/17/23,584.01
3/16/23,571.21
3/15/23,569.58
3/14/23,564.65
3/13/23,556.51
3/10/23,566.2
3/9/23,580.85
3/8/23,591.57
3/7/23,587.8
3/3/23,555.13
3/2/23,536.56
3/1/23,514.04
2/28/23,510.11
2/27/23,512.64
2/24/23,521.41
2/23/23,516.91
2/22/23,512.89
2/21/23,511.84
2/20/23,510.09
2/17/23,473.85
2/16/23,458.72
2/15/23,447.99
2/14/23,449.02
2/13/23,457.25
2/10/23,465.88
2/9/23,465.52
2/8/23,466.07
2/7/23,463.16
2/6/23,469.3
2/3/23,483.36
2/2/23,461.23
2/1/23,448.16
1/31/23,436.38
1/30/23,430.15
1/27/23,437.1
1/26/23,425.68
1/25/23,424.54
1/24/23,426.87
1/23/23,438.44
1/20/23,407.98
1/19/23,392.02
1/18/23,385.98
1/17/23,382.89
1/13/23,379.66
1/12/23,380.51
1/11/23,378.93
1/10/23,377.83
1/9/23,378.9
1/5/23,380.34
1/4/23,384.3
1/3/23,387.87
1/2/23,385.33
12/30/22,385.74
12/29/22,382.33
12/28/22,382.74
12/27/22,383.19
12/23/22,386.9
12/22/22,383.96
12/21/22,384.48
12/20/22,388.34
12/19/22,391.73
12/16/22,393.32
12/15/22,395.21
12/14/22,400.05
12/13/22,399.43
12/12/22,394.99
12/9/22,394.91
12/8/22,395.41
12/6/22,398.24
12/5/22,399.01
12/2/22,403.34
12/1/22,393.08
11/30/22,391.69
11/29/22,378.03
11/28/22,377.45
11/25/22,380.85
11/24/22,374.95
11/23/22,378.23
11/22/22,369.94
11/21/22,366.84
11/18/22,370.23
11/17/22,377.08
11/16/22,376.11
11/15/22,381.7
11/14/22,379.22
11/11/22,381.08
11/10/22,378.99
11/9/22,378.15
11/8/22,375.51
11/4/22,382.66
11/3/22,385.21
11/2/22,387.2
11/1/22,388.6
10/31/22,390.28
10/28/22,391.79
10/27/22,392.16
10/26/22,390.79
10/25/22,388.9
10/21/22,393.8
10/20/22,395.9
10/19/22,393.94
10/18/22,398.98
10/17/22,399.73
10/14/22,403.98
10/13/22,407.17
10/12/22,398.65
10/11/22,404.76
10/7/22,405.83
10/6/22,411.02
10/5/22,419.88
10/4/22,412.13
10/3/22,424.76
9/30/22,434.26
9/29/22,438.7
9/28/22,441.48
9/27/22,437.62
9/26/22,429.59
9/23/22,434.55
9/22/22,430.54
9/21/22,427.6
9/20/22,423.17
9/19/22,434.09
9/16/22,442.2
9/15/22,447.76
9/14/22,426.56
9/13/22,401.81
9/12/22,391.18
9/9/22,386.06
9/8/22,387.17
9/7/22,388.48
9/6/22,387.04
9/5/22,395.49
9/2/22,388.9
9/1/22,392.88
8/31/22,380.07
8/30/22,380.72
8/29/22,380.35
8/26/22,383.53
8/25/22,381.09
8/24/22,385.03
8/23/22,385.97
8/22/22,388.62
8/19/22,377.74
8/18/22,376.92
8/17/22,383.86
8/16/22,389.46
8/15/22,397.46
8/12/22,393.24
8/10/22,398.22
8/9/22,393.67
8/8/22,392.99
8/5/22,394.02
8/4/22,387.61
8/3/22,386.13
8/2/22,385.71
8/1/22,385.81
7/29/22,383.37
7/28/22,386.37
7/27/22,385.52
7/26/22,387.21
7/25/22,387.74
7/22/22,394.55
7/21/22,394.56
7/20/22,393.77
7/19/22,390.73
7/18/22,382.69
7/15/22,380.94
7/14/22,372.16
7/12/22,375.2
7/11/22,374.06
7/8/22,356.43
7/7/22,355.78
7/6/22,358.12
7/5/22,364.92
7/4/22,368.91
7/1/22,375.98
6/30/22,372.86
6/29/22,373.15
6/28/22,369.55
6/27/22,378.08
6/24/22,384.04
6/23/22,384.14
6/22/22,379.62
6/21/22,380.03
6/20/22,377.44
6/17/22,378.36
6/16/22,380.71
6/15/22,381.05
6/13/22,388.53
6/10/22,385.59
6/9/22,390.2
6/8/22,387.99
6/7/22,388.68
6/6/22,391.51
6/3/22,397.89
6/2/22,400.54
6/1/22,399.26
5/31/22,404.28
5/30/22,404.42
5/27/22,404.82
5/26/22,411.4
5/25/22,412.39
5/24/22,417.29
5/23/22,421.49
5/20/22,421
5/19/22,421.45
5/18/22,430.26
5/17/22,428.28
5/13/22,425.95
5/12/22,411
5/9/22,402.6
5/6/22,414.42
5/5/22,412.71
5/4/22,419.53
4/29/22,421.21
4/28/22,424.03
4/27/22,422.15
4/26/22,412.82
4/25/22,429.15
4/8/22,459.65
4/7/22,474.56
4/6/22,481.05
4/5/22,497.55
4/4/22,478.3
4/1/22,480.05
3/31/22,503.29
3/30/22,539.53
3/29/22,551.33
3/28/22,573.56
3/25/22,580.98
3/24/22,585.71
3/23/22,588.88
3/22/22,588.18
3/21/22,587.07
3/18/22,584.03
3/16/22,583.37
3/15/22,584.47
3/14/22,591.55
3/11/22,592.64
3/10/22,601.27
3/9/22,584.67
3/8/22,598.53
3/7/22,602.22
3/4/22,611.04
3/3/22,610.57
3/2/22,613.18
2/28/22,619.41
2/25/22,607.55
2/24/22,600.96
2/23/22,609.67
2/22/22,619.98
2/21/22,617.52
2/18/22,628.29
2/17/22,633.23
2/15/22,614.31
2/14/22,615.72
2/11/22,615.75
2/10/22,609.43
2/9/22,609.09
2/8/22,612.77
2/7/22,620.31
2/3/22,625.34
2/2/22,619.66
2/1/22,626.26
1/31/22,629.57
1/28/22,628.36
1/27/22,629.41
1/26/22,629.91
1/25/22,635.27
1/24/22,645.5
1/21/22,642.8
1/20/22,639.03
1/19/22,635.08
1/18/22,630.45
1/13/22,630.68
1/12/22,636.97
1/11/22,638.16
1/10/22,640.73
1/7/22,614.67
1/6/22,609.72
1/5/22,607.3
1/4/22,612.88
1/3/22,610.79
12/31/21,609.15
12/30/21,614.01
12/29/21,608.69
12/28/21,608.21
12/27/21,604.17
12/24/21,605.85
12/23/21,606.75
12/22/21,604.11
12/21/21,605.88
12/20/21,611.09
12/17/21,619.91
12/16/21,623.57
12/15/21,621.94
12/14/21,624.24
12/13/21,626.35
12/10/21,629.68
12/9/21,632.27
12/8/21,630.14
12/7/21,633.79
12/6/21,635.32
12/3/21,632.6
12/2/21,636.46
12/1/21,634.73
11/30/21,635.14
11/29/21,640.9
11/26/21,647.67
11/25/21,647.08
11/24/21,647.37
11/23/21,651.44
11/22/21,656.97
11/19/21,653.92
11/17/21,653.9
11/16/21,651.55
11/15/21,652.69
11/12/21,668.27
11/11/21,670.83
11/10/21,677.41
11/9/21,669.47
11/8/21,675.67
11/5/21,678.26
11/3/21,682.17
11/2/21,684.61
11/1/21,681.92
10/29/21,683.84
10/28/21,681.73
10/27/21,677.52
10/26/21,664.88
10/25/21,663.18
10/22/21,667.6
10/21/21,664.1
10/18/21,662.47
10/15/21,660.63
10/14/21,663.15
10/13/21,661.64
10/12/21,665.88
10/11/21,664.4
10/8/21,674.33
10/7/21,681.13
10/6/21,682.14
10/5/21,649.21
10/4/21,637.5
10/1/21,634.52
9/30/21,636.29
9/29/21,627.09
9/28/21,624.98
9/27/21,627.85
9/24/21,629.65
9/23/21,626.64
9/22/21,623.56
9/21/21,624.61
9/17/21,627.67
9/16/21,628.04
9/15/21,627.14
9/14/21,623.09
9/13/21,623.03
9/10/21,631.82
9/9/21,633.33
9/8/21,626.74
