Traded Date,Value
10/13/23,1239.74
10/12/23,1273.84
10/11/23,1253.54
10/10/23,1251.57
10/9/23,1284.05
10/6/23,1282.13
10/5/23,1262.81
10/4/23,1297.06
10/3/23,1262.45
10/2/23,1283.45
9/27/23,1293.43
9/26/23,1301.87
9/25/23,1322.78
9/22/23,1337.7
9/21/23,1281.99
9/20/23,1321.83
9/19/23,1308.82
9/18/23,1295.05
9/15/23,1310.77
9/14/23,1320.49
9/13/23,1303.89
9/12/23,1284.58
9/11/23,1312.59
9/8/23,1315.36
9/7/23,1284.4
9/6/23,1327.04
9/5/23,1338.53
9/4/23,1308.61
9/1/23,1337.07
8/31/23,1284.44
8/29/23,1275.75
8/28/23,1266.81
8/25/23,1273.07
8/24/23,1271.39
8/23/23,1315.7
8/22/23,1276.35
8/21/23,1260.75
8/18/23,1311.84
8/17/23,1328.42
8/16/23,1309.94
8/15/23,1248.49
8/14/23,1274.75
8/11/23,1295.38
8/10/23,1267.56
8/9/23,1278.15
8/8/23,1285.39
8/7/23,1293.28
8/4/23,1292.64
8/3/23,1308.6
8/2/23,1284.42
7/31/23,1304.35
7/28/23,1301.9
7/27/23,1314.78
7/26/23,1316.07
7/25/23,1277.87
7/24/23,1291.41
7/21/23,1312.32
7/20/23,1316.15
7/19/23,1288.25
7/18/23,1310.75
7/17/23,1352.35
7/14/23,1288.22
7/13/23,1308.82
7/12/23,1317.01
7/11/23,1282.51
7/10/23,1298.79
7/7/23,1286.8
7/6/23,1252.26
7/5/23,1273.4
7/4/23,1271.92
6/28/23,1255.51
6/27/23,1207.59
6/26/23,1242.43
6/23/23,1213.87
6/22/23,1109.46
6/21/23,1117.28
6/20/23,1080.43
6/19/23,1094.16
6/16/23,1131.84
6/15/23,1140.71
6/14/23,1149.83
6/13/23,1123.92
6/12/23,1115.57
6/9/23,1128.93
6/8/23,1177.27
6/7/23,1193.22
6/6/23,1190.63
6/5/23,1182.7
6/2/23,1189.29
6/1/23,1191.26
5/31/23,1087.09
5/30/23,1072.59
5/29/23,1110.93
5/26/23,1115.04
5/25/23,1089.47
5/24/23,1101.78
5/23/23,1101.8
5/22/23,1079.09
5/19/23,1163.71
5/18/23,1147.13
5/17/23,1163.8
5/16/23,1140.89
5/15/23,1170.11
5/12/23,1141.18
5/11/23,1155.2
5/10/23,1156
5/9/23,1166.06
5/8/23,1155.79
5/4/23,1165.22
5/3/23,1153.78
5/2/23,1148.03
4/28/23,1178.19
4/27/23,1118.68
4/26/23,1204
4/25/23,1225.88
4/24/23,1217.74
4/21/23,1247.9
4/20/23,1222.94
