Traded Date,Value
10/13/23,1552.48
10/12/23,1579.4
10/11/23,1563.18
10/10/23,1579.46
10/9/23,1564.95
10/6/23,1609.65
10/5/23,1619.84
10/4/23,1618.5
10/3/23,1607.98
10/2/23,1612.97
9/27/23,1636.19
9/26/23,1607.02
9/25/23,1609.26
9/22/23,1617.54
9/21/23,1605.36
9/20/23,1610.99
9/19/23,1602.35
9/18/23,1603.24
9/15/23,1620.22
9/14/23,1620.69
9/13/23,1635.5
9/12/23,1632.28
9/11/23,1651.71
9/8/23,1653.04
9/7/23,1624.63
9/6/23,1635.74
9/5/23,1630.35
9/4/23,1622.58
9/1/23,1574.92
8/31/23,1567.32
8/29/23,1566.62
8/28/23,1563.31
8/25/23,1585.65
8/24/23,1581.77
8/23/23,1585.4
8/22/23,1595.18
8/21/23,1583.76
8/18/23,1540.58
8/17/23,1508.06
8/16/23,1517.03
8/15/23,1481.17
8/14/23,1500.78
8/11/23,1493.86
8/10/23,1524.18
8/9/23,1534.65
8/8/23,1545.35
8/7/23,1528.54
8/4/23,1532.9
8/3/23,1528.83
8/2/23,1503.53
7/31/23,1509.61
7/28/23,1485.16
7/27/23,1380.88
7/26/23,1359.45
7/25/23,1380.45
7/24/23,1401.52
7/21/23,1409.95
7/20/23,1421.9
7/19/23,1400.57
7/18/23,1403.46
7/17/23,1376.82
7/14/23,1377.57
7/13/23,1381.03
7/12/23,1398.35
7/11/23,1408.23
7/10/23,1390.98
7/7/23,1348.8
7/6/23,1330.21
7/5/23,1326.92
7/4/23,1297.18
6/28/23,1262.74
6/27/23,1242.23
6/26/23,1230.47
6/23/23,1240.96
6/22/23,1231.39
6/21/23,1248.63
6/20/23,1217.18
6/19/23,1237.87
6/16/23,1255.25
6/15/23,1245.87
6/14/23,1234.21
6/13/23,1239.08
6/12/23,1227.75
6/9/23,1228.58
6/8/23,1235.27
6/7/23,1230.82
6/6/23,1233.54
6/5/23,1232.55
6/2/23,1234.01
6/1/23,1226.65
5/31/23,1194.53
5/30/23,1185.36
5/29/23,1210.31
5/26/23,1206.15
5/25/23,1209.72
5/24/23,1202.04
5/23/23,1212.84
5/22/23,1234.62
5/19/23,1267.64
5/18/23,1242.01
5/17/23,1256.97
5/16/23,1253.33
5/15/23,1262.07
5/12/23,1305.03
5/11/23,1312.13
5/10/23,1308.87
5/9/23,1306.49
5/8/23,1316.63
5/4/23,1325.54
