Traded Date,Value
10/13/23,2069.76
10/12/23,2066.53
10/11/23,2043.16
10/10/23,2064.15
10/9/23,2070.72
10/6/23,2119.77
10/5/23,2119.82
10/4/23,2146.45
10/3/23,2113.59
10/2/23,2144.87
9/27/23,2181.45
9/26/23,2165.2
9/25/23,2142.92
9/22/23,2159.27
9/21/23,2155.7
9/20/23,2169.79
9/19/23,2184.46
9/18/23,2204.28
9/15/23,2226.48
9/14/23,2226.76
9/13/23,2220.31
9/12/23,2229.88
9/11/23,2222.5
9/8/23,2253.96
9/7/23,2258.26
9/6/23,2247.12
9/5/23,2296.74
9/4/23,2275.23
9/1/23,2205.69
8/31/23,2201.31
8/29/23,2225.35
8/28/23,2203.55
8/25/23,2214.86
8/24/23,2237.5
8/23/23,2299.06
8/22/23,2330.05
8/21/23,2352.81
8/18/23,2379.41
8/17/23,2318.16
8/16/23,2265.27
8/15/23,2194.12
8/14/23,2180.48
8/11/23,2207.2
8/10/23,2237.27
8/9/23,2212.84
8/8/23,2226.53
8/7/23,2240.33
8/4/23,2274.2
8/3/23,2280.69
8/2/23,2280.12
7/31/23,2276.54
7/28/23,2258.12
7/27/23,2226.95
7/26/23,2148
7/25/23,2155.29
7/24/23,2151.98
7/21/23,2115.12
7/20/23,2132.16
7/19/23,2090.34
7/18/23,2074.92
7/17/23,2042.4
7/14/23,2014.17
7/13/23,2004.77
7/12/23,2012.29
7/11/23,1942.2
7/10/23,1951.13
7/7/23,1969.61
7/6/23,1933.5
7/5/23,1889.82
7/4/23,1907.9
6/28/23,1729.98
6/27/23,1696.09
6/26/23,1702.77
6/23/23,1704.75
6/22/23,1715.53
6/21/23,1719.03
6/20/23,1700.67
6/19/23,1704.2
6/16/23,1705.44
6/15/23,1712.24
6/14/23,1720.69
6/13/23,1666.96
6/12/23,1650.98
6/9/23,1593.74
6/8/23,1577.5
6/7/23,1564.73
6/6/23,1571.42
6/5/23,1562.66
6/2/23,1581.19
6/1/23,1560.04
5/31/23,1555.59
5/30/23,1541.6
5/29/23,1569.32
5/26/23,1585.32
5/25/23,1567.09
5/24/23,1582.64
5/23/23,1548.23
5/22/23,1542.04
5/19/23,1574.07
5/18/23,1579.68
5/17/23,1587.9
5/16/23,1586.78
5/15/23,1599.8
5/12/23,1614.09
5/11/23,1616.17
5/10/23,1615.54
5/9/23,1623.87
5/8/23,1637.64
5/4/23,1612.36
5/3/23,1622.59
5/2/23,1587.46
4/28/23,1638.8
4/27/23,1652.99
4/26/23,1662.81
4/25/23,1681.87
4/24/23,1701.37
4/21/23,1696.54
4/20/23,1715.24
4/19/23,1737.57
4/18/23,1717.73
4/17/23,1761.35
4/12/23,1775.12
4/11/23,1791.33
4/10/23,1736.42
4/6/23,1739.88
4/4/23,1722.53
4/3/23,1731.17
3/31/23,1743.53
3/30/23,1721.65
3/29/23,1750.21
3/28/23,1723.77
3/27/23,1737.12
3/24/23,1771.6
3/23/23,1773.63
3/22/23,1790.19
3/21/23,1799.79
3/20/23,1828.79
3/17/23,1792.62
3/16/23,1817.1
3/15/23,1781.97
3/14/23,1797.08
3/13/23,1759.82
3/10/23,1794.46
3/9/23,1823.73
3/8/23,1835.28
3/7/23,1839.34
3/3/23,1797.75
3/2/23,1757.67
3/1/23,1758.31
2/28/23,1719.14
2/27/23,1726.54
2/24/23,1738.98
2/23/23,1760.09
2/22/23,1740.84
2/21/23,1741.87
2/20/23,1742.43
2/17/23,1694.25
2/16/23,1709.61
2/15/23,1653.77
2/14/23,1652.26
2/13/23,1700.57
2/10/23,1743.26
2/9/23,1724.89
2/8/23,1733.73
2/7/23,1734.74
2/6/23,1748.24
2/3/23,1793.54
2/2/23,1765.15
2/1/23,1772.74
1/31/23,1754.44
1/30/23,1773.93
1/27/23,1804.82
1/26/23,1829.65
1/25/23,1805.67
1/24/23,1772.25
1/23/23,1773.61
1/20/23,1697.62
1/19/23,1643.35
1/18/23,1642.43
1/17/23,1639.15
1/13/23,1615.61
1/12/23,1616.41
1/11/23,1623.17
1/10/23,1658.39
1/9/23,1678.29
1/5/23,1688.26
1/4/23,1688.12
1/3/23,1694.21
1/2/23,1702.29
12/30/22,1680.36
12/29/22,1670.21
12/28/22,1660.35
12/27/22,1661.47
12/23/22,1666.3
12/22/22,1649.04
12/21/22,1661.04
12/20/22,1675.14
12/19/22,1703.66
