Traded Date,Value
10/13/23,1624.71
10/12/23,1628.81
10/11/23,1524.94
10/10/23,1570.94
10/9/23,1575.49
10/6/23,1588.69
10/5/23,1607.62
10/4/23,1598.17
10/3/23,1593.47
10/2/23,1604.99
9/27/23,1616.51
9/26/23,1641.17
9/25/23,1638.16
9/22/23,1645.7
9/21/23,1639.89
9/20/23,1677.68
9/19/23,1638.64
9/18/23,1652.21
9/15/23,1648.68
9/14/23,1680.55
9/13/23,1623.84
9/12/23,1676.76
9/11/23,1678.68
9/8/23,1691.25
9/7/23,1695.32
9/6/23,1728.69
9/5/23,1664.31
9/4/23,1657.56
9/1/23,1585.18
8/31/23,1650.87
8/29/23,1708.02
8/28/23,1596.12
8/25/23,1618
8/24/23,1596.56
8/23/23,1614.64
8/22/23,1733.81
8/21/23,1603.47
8/18/23,1582.48
8/17/23,1575.31
8/16/23,1569.37
8/15/23,1574.53
8/14/23,1556.98
8/11/23,1554.59
8/10/23,1553.1
8/9/23,1663.72
8/8/23,1635.63
8/7/23,1665.21
8/4/23,1585.22
8/3/23,1660.39
8/2/23,1667.37
7/31/23,1647.5
7/28/23,1682.85
7/27/23,1682.88
7/26/23,1705.72
7/25/23,1618.39
7/24/23,1630.09
7/21/23,1701.71
7/20/23,1666.48
7/19/23,1644.78
7/18/23,1605.02
7/17/23,1613.91
7/14/23,1584.95
7/13/23,1634.84
7/12/23,1626.09
7/11/23,1577.64
7/10/23,1593.19
7/7/23,1577.69
7/6/23,1572.8
7/5/23,1570.19
7/4/23,1481.42
6/28/23,1519.88
6/27/23,1518.06
6/26/23,1532.34
6/23/23,1534.33
6/22/23,1542.65
6/21/23,1503.39
6/20/23,1497.13
6/19/23,1457.49
6/16/23,1519.73
6/15/23,1509.83
6/14/23,1511.39
6/13/23,1539.42
6/12/23,1451.42
6/9/23,1379.01
6/8/23,1405.96
6/7/23,1417.86
6/6/23,1410.92
6/5/23,1429.82
6/2/23,1423.94
6/1/23,1446.08
5/31/23,1416.2
5/30/23,1439.44
5/29/23,1429.11
5/26/23,1438.79
5/25/23,1459.85
5/24/23,1448.77
5/23/23,1447.8
5/22/23,1444.24
5/19/23,1451.82
5/18/23,1462.91
5/17/23,1458.82
5/16/23,1465.07
5/15/23,1473.34
5/12/23,1512.91
5/11/23,1474.02
5/10/23,1460
5/9/23,1461.94
5/8/23,1455.76
5/4/23,1458.79
