Traded Date,Value
8/3/16,947.06
8/4/16,941.78
8/5/16,942.11
8/8/16,942.92
8/9/16,949.75
8/10/16,949.33
8/11/16,950.32
8/12/16,949.18
8/15/16,959.53
8/16/16,964.39
8/18/16,963.17
8/19/16,977.23
8/22/16,981.47
8/23/16,987.62
8/24/16,980.58
8/25/16,981.57
8/26/16,972.05
8/29/16,973.48
8/30/16,976.46
8/31/16,975.53
9/1/16,978.75
9/2/16,979.71
9/5/16,977.55
9/6/16,978.32
9/7/16,983.38
9/8/16,982.78
9/9/16,985.15
9/13/16,987.22
9/14/16,981.62
9/15/16,977.92
9/19/16,978.56
9/20/16,967.76
9/21/16,971.75
9/22/16,981.73
9/23/16,978.5
9/26/16,975.85
9/27/16,973.91
9/28/16,984.81
9/29/16,994.74
9/30/16,995.5
10/3/16,996.3
10/4/16,999.06
10/5/16,1001.83
10/6/16,1011.74
10/7/16,1013.73
10/10/16,1010.36
10/11/16,1006.48
10/12/16,996.36
10/13/16,991.89
10/14/16,993.93
10/17/16,987.87
10/18/16,989.24
10/19/16,992.49
10/20/16,992.28
10/21/16,995.73
10/24/16,987.41
10/25/16,994.31
10/26/16,991.07
10/27/16,988.38
10/28/16,985.05
10/31/16,979.45
11/1/16,978.77
11/2/16,986.06
11/3/16,986.49
11/4/16,984.16
11/7/16,983.27
11/8/16,980.21
11/9/16,972.02
11/10/16,980
11/11/16,979.84
11/15/16,970.7
11/16/16,963.53
11/17/16,954.73
11/18/16,951.28
11/21/16,937.7
11/22/16,933.82
11/23/16,936.74
11/24/16,933.73
11/25/16,940.4
11/28/16,938.65
11/29/16,937.1
11/30/16,939.26
12/1/16,952.09
12/2/16,958.14
12/5/16,965.48
12/6/16,960.66
12/7/16,955.23
12/8/16,952.89
12/9/16,954.23
12/14/16,949.78
12/15/16,949.93
12/16/16,948.16
12/19/16,943.61
12/20/16,939.47
12/21/16,941.83
12/22/16,940.47
12/23/16,935.67
12/27/16,933.29
12/28/16,941.12
12/29/16,941.11
12/30/16,939.56
1/2/17,936.31
1/3/17,929.28
1/4/17,933.8
1/5/17,925.07
1/6/17,921.71
1/9/17,934.76
1/10/17,929.51
1/11/17,942.82
1/13/17,957.79
1/16/17,956.57
1/17/17,954.22
1/18/17,956.39
1/19/17,956.75
1/20/17,961.67
1/23/17,959.28
1/24/17,954.17
1/25/17,948.95
1/26/17,952.21
1/27/17,953.91
1/30/17,955.12
1/31/17,947.54
2/1/17,950.37
2/2/17,947.72
2/3/17,942.63
2/6/17,938.44
2/7/17,939.22
2/8/17,946.62
2/9/17,944.91
2/13/17,954.03
2/14/17,958.47
2/15/17,966
2/16/17,968.5
2/17/17,970.41
2/20/17,965.28
2/21/17,965.24
2/22/17,974.34
2/23/17,972.12
2/27/17,976
2/28/17,972.4
3/1/17,968.25
3/2/17,970.49
3/3/17,974.53
3/6/17,975.16
3/7/17,973.61
3/8/17,972.93
3/9/17,972.38
3/10/17,967.8
3/13/17,961.66
3/14/17,953.85
3/15/17,949.32
3/16/17,951.46
3/17/17,957.67
3/20/17,958.79
3/21/17,956.26
3/22/17,947.82
3/23/17,939.79
3/24/17,938.46
3/27/17,937
3/28/17,938.47
3/29/17,942.44
3/30/17,950.01
3/31/17,946.52
4/3/17,954.65
4/4/17,957.51
4/5/17,973.22
4/6/17,980.99
4/7/17,980.15
4/11/17,981.6
4/12/17,988.12
4/17/17,984.01
4/18/17,987.92
4/19/17,997.85
4/20/17,1008.69
4/21/17,1014.77
4/24/17,1006.67
4/25/17,1007.18
4/26/17,1014.21
4/27/17,1018
4/28/17,1030.09
5/2/17,1032.5
5/3/17,1015.02
5/4/17,1021.11
5/5/17,1030.4
5/8/17,1031.23
5/9/17,1034.04
5/12/17,1037.09
5/15/17,1034.54
5/16/17,1035.74
5/17/17,1035.5
5/18/17,1037.25
5/19/17,1040.62
5/22/17,1039.15
5/23/17,1034.27
5/24/17,1026.13
5/25/17,1036.74
5/26/17,1036.39
5/29/17,1035.02
5/30/17,1033.68
5/31/17,1031.18
6/1/17,1036.26
6/2/17,1025.02
6/5/17,1025.87
6/6/17,1027.79
6/7/17,1031.59
6/9/17,1037.87
6/12/17,1041.15
6/13/17,1034.89
6/14/17,1035.99
6/15/17,1048.06
6/16/17,1048.13
6/19/17,1045.94
6/20/17,1048.51
6/21/17,1050.3
6/22/17,1051.84
6/23/17,1059.44
6/27/17,1072.54
6/28/17,1071.09
6/29/17,1067.15
6/30/17,1075.1
7/3/17,1074.82
7/4/17,1072.53
7/5/17,1072.53
7/6/17,1071.11
7/7/17,1077.06
7/10/17,1076.51
7/11/17,1070.23
7/12/17,1069.35
7/13/17,1067.89
7/14/17,1070.63
7/17/17,1064.43
7/18/17,1065.76
7/19/17,1046.57
7/20/17,1043.67
7/21/17,1038.88
7/24/17,1030.41
7/25/17,1034.16
7/26/17,1036.66
7/27/17,1030.11
7/28/17,1031.29
7/31/17,1025.42
8/1/17,999.35
8/2/17,1005.46
8/3/17,999.4
8/4/17,986.7
8/8/17,971.23
8/9/17,948.82
8/10/17,961.63
8/11/17,957.77
8/14/17,957.65
8/15/17,948.28
8/16/17,942.29
8/17/17,945.28
8/18/17,958.78
8/21/17,952.54
8/22/17,942.54
8/23/17,932.97
8/24/17,935.7
8/25/17,945.31
8/28/17,947.3
8/29/17,937.67
8/30/17,937.17
8/31/17,930.57
9/4/17,932.66
9/6/17,931.82
9/7/17,928.61
9/8/17,925.06
9/11/17,923.43
9/12/17,917.51
9/13/17,920.27
9/14/17,917.82
9/15/17,921.5
9/18/17,921.33
9/19/17,921.85
9/20/17,918.62
9/21/17,919.67
9/22/17,921.96
9/25/17,911.66
9/26/17,910.11
9/27/17,910.1
9/28/17,910.43
9/29/17,918.04
10/2/17,922.19
10/3/17,923.56
10/4/17,914.63
10/6/17,916.16
10/9/17,916.26
10/10/17,914.38
10/11/17,917.25
10/12/17,921.75
10/13/17,921.15
10/16/17,912.04
10/17/17,898.39
10/19/17,903.01
10/20/17,913.9
10/23/17,910.44
10/24/17,899.88
10/25/17,908.12
10/26/17,919.01
10/27/17,919.46
10/30/17,914.05
10/31/17,918.18
11/1/17,921.38
11/2/17,918.24
11/6/17,910.91
11/7/17,911.43
11/8/17,905.25
11/9/17,904.62
11/10/17,898.06
11/13/17,895.52
11/14/17,878.77
11/15/17,884.32
11/16/17,882.09
11/17/17,886.88
11/20/17,882.2
11/21/17,883.54
11/22/17,874.85
11/23/17,876.94
11/24/17,873.84
11/27/17,875.1
11/28/17,867
11/29/17,867.74
11/30/17,865.71
12/4/17,866.44
12/5/17,852.08
12/6/17,847.03
12/7/17,837.42
12/8/17,845.47
12/11/17,842.03
12/12/17,838.96
12/13/17,839.91
12/14/17,843.66
12/15/17,839.68
12/18/17,840.82
12/19/17,841.22
12/20/17,838.44
12/21/17,835.2
12/22/17,837.79
12/26/17,849.69
12/27/17,850.08
12/28/17,859.91
12/29/17,861.9
1/2/18,865.77
1/3/18,868.23
1/4/18,865.92
1/5/18,869
1/8/18,876.19
1/9/18,869.16
1/10/18,868.02
1/11/18,861.7
1/12/18,857.61
1/16/18,854.42
1/17/18,854.16
1/18/18,847
1/19/18,854.41
1/22/18,856.22
1/23/18,860.95
1/24/18,857.58
1/25/18,850.99
1/26/18,854.04
1/29/18,850.59
1/30/18,848.13
2/1/18,851.05
2/2/18,853.04
2/6/18,847.72
2/7/18,850.91
2/8/18,845.84
2/9/18,845.7
2/12/18,843.49
2/14/18,837.25
2/15/18,837.26
2/16/18,836.04
2/19/18,830.85
2/20/18,820.79
2/21/18,817.78
2/22/18,815.19
2/23/18,813.12
2/26/18,815.16
2/27/18,811.86
2/28/18,804.45
3/2/18,802.16
3/5/18,806.91
3/6/18,805.24
3/7/18,804.48
3/8/18,806.52
3/9/18,810.66
3/12/18,811.22
3/13/18,812.1
3/14/18,804.44
3/15/18,795.29
3/16/18,796.53
3/19/18,784.25
3/20/18,780.74
3/21/18,773.85
3/22/18,773.14
3/23/18,766.16
3/26/18,769.52
3/27/18,764.26
3/28/18,761.28
3/29/18,762.67
4/2/18,770
4/3/18,764.59
4/4/18,759.94
4/5/18,774.19
4/6/18,765.85
4/9/18,765.64
4/10/18,766.94
4/11/18,764.3
4/12/18,764.4
4/16/18,767.05
4/17/18,767.4
4/18/18,765.5
4/19/18,758.22
4/20/18,753.28
4/23/18,749.88
4/24/18,749.2
4/25/18,745.76
4/26/18,739.33
4/27/18,743.01
5/1/18,746.21
5/2/18,730.31
5/3/18,729.63
5/4/18,728.3
5/8/18,725.94
5/9/18,727.52
5/10/18,723.36
5/11/18,729.11
5/14/18,725.62
5/15/18,722.36
5/16/18,717.79
5/17/18,719.23
5/18/18,720.22
5/21/18,709.78
5/22/18,706.36
5/23/18,703.78
5/24/18,698.95
5/25/18,699.79
5/28/18,697.4
5/30/18,689.03
5/31/18,682.47
6/1/18,666.59
6/4/18,667.33
6/5/18,656.21
6/6/18,650.23
6/7/18,622.06
6/8/18,617.4
6/11/18,622.89
6/12/18,622.23
6/13/18,619.83
6/14/18,616.52
6/18/18,609.83
6/19/18,609.78
6/20/18,604.68
6/21/18,604.73
6/22/18,601.5
6/25/18,598.16
6/26/18,596.54
6/28/18,594.47
6/29/18,597.45
7/2/18,593.34
7/3/18,591.6
7/4/18,591.21
7/5/18,598.79
7/6/18,600.85
7/9/18,599.03
7/10/18,599.74
7/11/18,601.45
7/12/18,602.94
7/13/18,605.35
7/16/18,604.02
7/17/18,610.63
7/18/18,607.78
7/19/18,609.6
7/20/18,615.4
7/23/18,615.68
7/24/18,617.74
7/25/18,625.76
7/26/18,630.11
7/30/18,618.08
7/31/18,619.38
8/1/18,619.52
8/2/18,623.35
8/3/18,625.05
8/6/18,628.28
8/7/18,628.05
8/8/18,627.26
8/9/18,627.03
8/10/18,610.88
8/13/18,605.46
8/14/18,598.43
8/15/18,600.84
8/16/18,598.11
8/17/18,594.91
8/20/18,586.87
8/21/18,587.93
8/23/18,584.35
8/24/18,582.91
8/27/18,580.76
8/28/18,570.19
8/29/18,566.62
8/30/18,575.11
8/31/18,574.74
9/3/18,574.17
9/4/18,575.27
9/5/18,575
9/6/18,564.39
9/7/18,567.5
9/10/18,566.57
9/11/18,558.04
9/12/18,553.76
9/13/18,554.84
9/14/18,550.49
9/17/18,539.89
9/18/18,533.57
9/19/18,536.65
9/20/18,533.29
9/21/18,532.82
9/25/18,521.3
9/26/18,524.2
9/27/18,520.77
9/28/18,518.47
10/1/18,519.37
10/2/18,518.01
10/3/18,516.28
10/4/18,517.58
10/5/18,526.57
10/8/18,527.43
10/9/18,526.43
10/10/18,523.49
10/11/18,517.8
10/12/18,515.79
10/15/18,513.34
10/16/18,514.37
10/17/18,512.87
10/18/18,511.04
10/19/18,512.07
10/22/18,507.89
10/23/18,508.63
10/25/18,504.9
10/26/18,512.25
10/29/18,527.05
10/30/18,538.42
10/31/18,533.79
11/1/18,562.39
11/2/18,553.86
11/5/18,548.24
11/7/18,539.01
11/8/18,529.8
11/9/18,541.31
11/12/18,535.81
11/13/18,541.15
11/14/18,533.09
11/15/18,533.24
11/16/18,536.24
11/19/18,531.1
11/21/18,533.66
11/23/18,533.09
11/26/18,538.32
11/27/18,546.5
11/28/18,549.56
11/29/18,549.74
11/30/18,549.56
12/3/18,554.78
12/4/18,551.84
12/5/18,546.46
12/6/18,550.28
12/7/18,549.65
12/10/18,547.87
12/11/18,547.25
12/12/18,543.32
12/13/18,545.67
12/14/18,542.52
12/17/18,540.56
12/18/18,541.01
12/19/18,535.86
12/20/18,532.65
12/21/18,539.93
12/24/18,539.78
12/26/18,535.89
12/27/18,538
12/28/18,534.8
12/31/18,539.35
1/2/19,540.58
1/3/19,542.73
1/4/19,544.92
1/7/19,540.84
1/8/19,539.51
1/9/19,540.64
1/10/19,533.64
1/11/19,539.24
1/14/19,541.01
1/16/19,534.56
1/17/19,536.3
1/18/19,537.59
1/21/19,535.46
1/22/19,533.87
1/23/19,540.2
1/24/19,539.61
1/25/19,537.85
1/28/19,538.91
1/29/19,539.06
1/30/19,537.15
1/31/19,536.75
2/1/19,539.59
2/5/19,538.7
2/6/19,536.89
2/7/19,540.04
2/8/19,538.86
2/11/19,538.97
2/12/19,538.9
2/13/19,543.98
2/14/19,540.15
2/15/19,538.81
2/18/19,538.92
2/20/19,522.74
2/21/19,510.95
2/22/19,501.97
2/25/19,504.83
2/26/19,504.37
2/27/19,495.95
2/28/19,493.48
3/1/19,495.15
3/5/19,495.52
3/6/19,491.56
3/7/19,491.27
3/8/19,487.38
3/11/19,485.55
3/12/19,479.7
3/13/19,478.36
3/14/19,480.66
3/15/19,482.21
3/18/19,481.54
3/19/19,479.39
3/21/19,476.99
3/22/19,473.28
3/25/19,477.92
3/26/19,473.24
3/27/19,473.88
3/28/19,478.13
3/29/19,477.89
4/1/19,476.53
4/2/19,477.48
4/3/19,482.89
4/4/19,487.75
4/5/19,488.29
4/8/19,481.38
4/9/19,478.16
4/10/19,480.17
4/11/19,480.04
4/12/19,476.4
4/16/19,482.14
4/17/19,484.08
4/18/19,483.71
4/23/19,464.94
4/24/19,463.81
4/25/19,468.52
4/26/19,470.79
4/29/19,470.68
4/30/19,473.92
5/2/19,473.61
5/3/19,470.52
5/6/19,464.44
5/7/19,456.6
5/8/19,452.78
5/9/19,450.82
5/10/19,449.16
5/13/19,446.81
5/14/19,443.36
5/15/19,439.12
5/16/19,442.13
5/17/19,446.54
5/21/19,449.26
5/22/19,454.26
5/23/19,452.22
5/24/19,454.72
5/27/19,454.64
5/28/19,451.34
5/29/19,464.37
5/30/19,468.2
5/31/19,465.89
6/3/19,467.16
6/4/19,466.06
6/6/19,467.76
6/7/19,465.46
6/10/19,467.59
6/11/19,472.2
6/12/19,480.87
6/13/19,481.27
6/14/19,482.61
6/17/19,484.86
6/18/19,479.88
6/19/19,481.25
6/20/19,481.19
6/21/19,480.51
6/24/19,481.91
6/25/19,479.65
6/26/19,479.78
6/27/19,474.93
6/28/19,475.02
7/1/19,478.44
7/2/19,478.22
7/3/19,479.14
7/4/19,488.81
7/5/19,495.33
7/8/19,495.5
7/9/19,495.21
7/10/19,500.17
7/11/19,502.07
7/12/19,503.39
7/15/19,508.77
7/17/19,514.2
7/18/19,514.46
7/19/19,519.01
7/22/19,517.86
7/23/19,525.4
7/24/19,536.2
7/25/19,545.75
7/26/19,552.9
7/29/19,581.66
7/30/19,571.47
7/31/19,564.62
8/1/19,550.45
8/2/19,550.01
8/5/19,548.73
8/6/19,539.31
8/7/19,550.45
8/8/19,549.45
8/9/19,570.17
8/13/19,573.75
8/15/19,567.26
8/16/19,564.72
8/19/19,559.99
8/20/19,561.77
8/21/19,562.26
8/22/19,561.97
8/23/19,565.92
8/26/19,563.98
8/27/19,558.5
8/28/19,561.41
8/29/19,557.9
8/30/19,560.69
9/2/19,557.07
9/3/19,559.03
9/4/19,557.73
9/5/19,555.51
9/6/19,551.37
9/9/19,553.75
9/10/19,551.01
9/11/19,555.72
9/12/19,558.99
9/16/19,559.05
9/17/19,554.94
9/18/19,555.14
9/19/19,555.72
9/20/19,551.36
9/23/19,544.59
9/24/19,538.74
9/25/19,545.7
9/26/19,545.66
9/27/19,551.23
9/30/19,551.39
10/1/19,553.47
10/2/19,548.64
10/3/19,547.59
10/4/19,549.8
10/7/19,557.46
10/8/19,559.69
10/9/19,577.73
10/10/19,587.71
10/11/19,586.27
10/14/19,599.01
10/15/19,595.3
10/16/19,590.13
10/17/19,595.53
10/18/19,597.23
10/21/19,594.85
10/22/19,606.97
10/23/19,615.07
10/24/19,619.97
10/25/19,633.4
10/28/19,633.88
10/29/19,637.3
10/30/19,639.3
10/31/19,652.85
11/1/19,655.2
11/4/19,646.61
11/5/19,642.3
11/6/19,629.11
11/7/19,618.25
11/8/19,623.56
11/13/19,632.79
11/14/19,633.45
11/15/19,643.1
11/18/19,663.45
11/19/19,671.62
11/20/19,681.41
11/21/19,680.12
11/22/19,681.06
11/25/19,677.08
11/26/19,681.71
11/27/19,699.49
11/28/19,711.6
11/29/19,710.27
12/2/19,713.49
12/3/19,710.97
12/4/19,710.39
12/5/19,697.87
12/6/19,695.15
12/9/19,686
12/10/19,678.3
12/12/19,688.65
12/13/19,687.36
12/16/19,677.5
12/17/19,675.95
12/18/19,673.89
12/19/19,674.42
12/20/19,674.02
12/23/19,675.04
12/24/19,681.55
12/26/19,690.61
12/27/19,692.58
12/30/19,680.65
12/31/19,681.21
1/2/20,679.26
1/3/20,682.11
1/6/20,670.84
1/7/20,652.02
1/8/20,622.46
1/9/20,652.78
1/13/20,656.46
1/14/20,652.19
1/16/20,648.24
1/17/20,648.08
1/20/20,647.36
1/21/20,648.7
1/22/20,653.4
1/23/20,671.81
1/24/20,675.17
1/27/20,668.88
1/28/20,657.53
1/29/20,666.07
1/30/20,651.82
1/31/20,657.37
2/3/20,652.25
2/5/20,662.14
