Traded Date,Value
10/13/23,3042.1
10/12/23,3040.57
10/11/23,2997.85
10/10/23,3041.32
10/9/23,3047.7
10/6/23,3100.8
10/5/23,3112.82
10/4/23,3121.29
10/3/23,3111.98
10/2/23,3150.71
9/27/23,3197.72
9/26/23,3165.96
9/25/23,3164.52
9/22/23,3178.59
9/21/23,3154.43
9/20/23,3172.81
9/19/23,3167.65
9/18/23,3213.42
9/15/23,3244.51
9/14/23,3264.42
9/13/23,3237.29
9/12/23,3208.13
9/11/23,3221.82
9/8/23,3248.36
9/7/23,3213.46
9/6/23,3218.84
9/5/23,3268.67
9/4/23,3234.27
9/1/23,3153.65
8/31/23,3131.07
8/29/23,3150.26
8/28/23,3152.84
8/25/23,3169.8
8/24/23,3195.65
8/23/23,3249.17
8/22/23,3204.26
8/21/23,3238.4
8/18/23,3266.88
8/17/23,3299.99
8/16/23,3314.63
8/15/23,3257.35
8/14/23,3311.08
8/11/23,3420.56
8/10/23,3448.59
8/9/23,3447.96
8/8/23,3470.13
8/7/23,3447.44
8/4/23,3411.06
8/3/23,3389.67
8/2/23,3321.06
7/31/23,3309.6
7/28/23,3279.98
7/27/23,3277.53
7/26/23,3167.38
7/25/23,3198.99
7/24/23,3218.32
7/21/23,3231.83
7/20/23,3205.16
7/19/23,3184.54
7/18/23,3162.66
7/17/23,3156.92
7/14/23,3106.77
7/13/23,3058.32
7/12/23,3060.5
7/11/23,3003.5
7/10/23,3003.96
7/7/23,3022.38
7/6/23,3002.53
7/5/23,3013.37
7/4/23,2973.12
6/28/23,2713.65
6/27/23,2694.92
6/26/23,2732.36
6/23/23,2714.86
6/22/23,2667.06
6/21/23,2657.11
6/20/23,2606.15
6/19/23,2608.87
6/16/23,2638.82
6/15/23,2642.42
6/14/23,2634.81
6/13/23,2573.8
6/12/23,2569.74
6/9/23,2494.68
6/8/23,2479.87
6/7/23,2463.82
6/6/23,2477.87
6/5/23,2494.26
6/2/23,2487.29
6/1/23,2470.42
5/31/23,2421.49
5/30/23,2420.73
5/29/23,2438.93
5/26/23,2428.92
5/25/23,2489.82
5/24/23,2496.55
5/23/23,2466.78
5/22/23,2448.89
5/19/23,2478.4
5/18/23,2507.71
5/17/23,2539.17
5/16/23,2542.68
5/15/23,2569.37
5/12/23,2587.89
5/11/23,2603.92
5/10/23,2588.63
5/9/23,2604.47
5/8/23,2593.44
5/4/23,2558.67
5/3/23,2534.03
5/2/23,2514.37
4/28/23,2617.79
4/27/23,2625.2
4/26/23,2646.48
4/25/23,2656.88
4/24/23,2684.84
4/21/23,2683.75
4/20/23,2718.22
4/19/23,2710.43
4/18/23,2728.95
4/17/23,2767.88
4/12/23,2756.64
4/11/23,2754.23
4/10/23,2728.01
4/6/23,2685.91
4/4/23,2664.27
4/3/23,2676.48
3/31/23,2682.83
3/30/23,2676.2
3/29/23,2673.25
3/28/23,2656.3
3/27/23,2677.98
3/24/23,2725.52
3/23/23,2676.48
3/22/23,2768.27
3/21/23,2800.75
3/20/23,2851.65
3/17/23,2840.11
3/16/23,2814.61
3/15/23,2809.99
3/14/23,2791.33
3/13/23,2791.33
3/10/23,2829.26
3/9/23,2823.14
3/8/23,2851.54
3/7/23,2869.14
3/3/23,2838.18
3/2/23,2828.48
3/1/23,2805.26
2/28/23,2796.71
2/27/23,2804.42
2/24/23,2833.45
2/23/23,2824.1
2/22/23,2789.45
2/21/23,2793.47
2/20/23,2777.78
2/17/23,2712.74
2/16/23,2718.31
2/15/23,2644.74
2/14/23,2648.99
2/13/23,2695.36
2/10/23,2756.41
2/9/23,2767.48
2/8/23,2782.56
2/7/23,2785.19
2/6/23,2836.62
2/3/23,2863.64
2/2/23,2812.75
2/1/23,2799.53
1/31/23,2764.51
1/30/23,2782.25
1/27/23,2815
1/26/23,2798
1/25/23,2807.22
1/24/23,2784.92
1/23/23,2818.94
1/20/23,2724.22
1/19/23,2635.77
1/18/23,2607.38
1/17/23,2607.51
1/13/23,2528.08
1/12/23,2549.92
1/11/23,2560.95
1/10/23,2565.33
1/9/23,2580.87
1/5/23,2612.94
1/4/23,2632.96
1/3/23,2652.68
1/2/23,2640.55
12/30/22,2635.63
12/29/22,2626.09
12/28/22,2631.03
12/27/22,2655.59
12/23/22,2623.7
12/22/22,2642.81
12/21/22,2653.84
12/20/22,2694.45
12/19/22,2749.54
12/16/22,2795.71
12/15/22,2809.72
12/14/22,2840.56
12/13/22,2819.81
12/12/22,2829.67
12/9/22,2827.72
12/8/22,2844.48
12/6/22,2835.66
12/5/22,2809.49
12/2/22,2774.6
12/1/22,2739.74
11/30/22,2730.08
11/29/22,2640.31
11/28/22,2612.76
11/25/22,2538.18
11/24/22,2458.58
11/23/22,2513.57
11/22/22,2454.96
11/21/22,2366.55
11/18/22,2381.53
11/17/22,2460.17
11/16/22,2464.2
11/15/22,2545.28
11/14/22,2566.61
11/11/22,2580.18
11/10/22,2560.28
11/9/22,2541.58
11/8/22,2518.83
11/4/22,2585.43
11/3/22,2583.75
11/2/22,2601.73
11/1/22,2610.6
10/31/22,2590.61
10/28/22,2642.44
10/27/22,2677.03
10/26/22,2608.15
10/25/22,2554.01
10/21/22,2597.87
10/20/22,2613.06
10/19/22,2677.37
10/18/22,2674.33
10/17/22,2720.73
10/14/22,2782.73
