Traded Date,Value
10/13/23,1161.57
10/12/23,1152.94
10/11/23,1160.09
10/10/23,1173.93
10/9/23,1178.5
10/6/23,1201.62
10/5/23,1209.28
10/4/23,1154.67
10/3/23,1146.43
10/2/23,1149.07
9/27/23,1158.73
9/26/23,1146.43
9/25/23,1143.92
9/22/23,1164.91
9/21/23,1182.23
9/20/23,1167.49
9/19/23,1174.12
9/18/23,1174.64
9/15/23,1183.84
9/14/23,1205.8
9/13/23,1183.84
9/12/23,1193.05
9/11/23,1205.8
9/8/23,1191.06
9/7/23,1186.93
9/6/23,1169.48
9/5/23,1188.48
9/4/23,1199.17
9/1/23,1207.48
8/31/23,1214.11
8/29/23,1194.02
8/28/23,1200.65
8/25/23,1194.02
8/24/23,1184.36
8/23/23,1201.75
8/22/23,1203.29
8/21/23,1221.26
8/18/23,1225.89
8/17/23,1234.52
8/16/23,1239.09
8/15/23,1214.63
8/14/23,1224.28
8/11/23,1252.94
8/10/23,1270.26
8/9/23,1264.72
8/8/23,1270.39
8/7/23,1280.18
8/4/23,1291.96
8/3/23,1254.75
8/2/23,1240.58
7/31/23,1234.46
7/28/23,1243.16
7/27/23,1255.46
7/26/23,1230.41
7/25/23,1237.62
7/24/23,1268.34
7/21/23,1277.54
7/20/23,1251.33
7/19/23,1239.04
7/18/23,1240.52
7/17/23,1262.8
7/14/23,1265.38
7/13/23,1265.38
7/12/23,1270.72
7/11/23,1246.06
7/10/23,1247.15
7/7/23,1261.13
7/6/23,1250.63
7/5/23,1228.73
7/4/23,1185.4
6/28/23,1178.76
6/27/23,1158.8
6/26/23,1192.09
6/23/23,1194.67
6/22/23,1198.34
6/21/23,1215.99
6/20/23,1181.79
6/19/23,1141.8
6/16/23,1136.13
6/15/23,1129.88
6/14/23,1141.67
6/13/23,1127.82
6/12/23,1129.3
6/9/23,1127.18
6/8/23,1162.79
6/7/23,1154.55
6/6/23,1155.13
6/5/23,1154.1
6/2/23,1161.31
6/1/23,1157.12
5/31/23,1112.95
5/30/23,1100.65
5/29/23,1115.97
5/26/23,1120.1
5/25/23,1110.95
5/24/23,1098.2
5/23/23,1104.83
5/22/23,1100.2
5/19/23,1101.16
5/18/23,1090.86
5/17/23,1108.89
5/16/23,1115.52
5/15/23,1127.76
5/12/23,1150.3
5/11/23,1179.98
5/10/23,1177.41
5/9/23,1191.25
5/8/23,1199.88
5/4/23,1172.64
5/3/23,1183.39
5/2/23,1169.61
4/28/23,1198.4
4/27/23,1190.29
4/26/23,1203.55
4/25/23,1213.86
4/24/23,1219.01
4/21/23,1209.8
4/20/23,1207.8
4/19/23,1209.93
4/18/23,1227.83
4/17/23,1196.15
4/12/23,1201.88
4/11/23,1206.07
4/10/23,1201.3
4/6/23,1215.28
4/4/23,1167.81
4/3/23,1164.72
3/31/23,1184.3
3/30/23,1191
3/29/23,1216.56
3/28/23,1273.43
3/27/23,1266.8
3/24/23,1268.28
3/23/23,1266.8
3/22/23,1282.44
3/21/23,1178.18
3/20/23,1113.91
3/17/23,1105.99
3/16/23,1115.2
3/15/23,1115.2
3/14/23,1107.6
3/13/23,1099.94
3/10/23,1124.54
3/9/23,1129.62
3/8/23,1158.28
3/7/23,1096.01
3/3/23,1068.71
3/2/23,1028.21
3/1/23,1025.12
2/28/23,1032.78
2/27/23,1025.7
2/24/23,1028.27
2/23/23,1053.45
2/22/23,1021.57
2/21/23,1004.12
2/20/23,990.66
2/17/23,961.23
2/16/23,950.48
2/15/23,957.56
2/14/23,952.41
2/13/23,956.08
2/10/23,1003.6
2/9/23,1000.51
2/8/23,1007.66
2/7/23,1010.62
2/6/23,1041.92
2/3/23,1008.43
2/2/23,980.42
2/1/23,972.69
1/31/23,965.54
1/30/23,964.51
1/27/23,956.85
1/26/23,948.67
1/25/23,960.52
1/24/23,960.52
1/23/23,930.12
1/20/23,943.52
1/19/23,937.34
1/18/23,935.34
1/17/23,941.97
1/13/23,928.64
1/12/23,931.8
1/11/23,934.83
1/10/23,944.03
1/9/23,927.81
1/5/23,916.02
1/4/23,901.21
1/3/23,910.94
1/2/23,914.61
12/30/22,913.58
12/29/22,908.94
12/28/22,940.3
12/27/22,936.18
12/23/22,915.57
12/22/22,910.81
12/21/22,900.12
12/20/22,888.72
12/19/22,903.08
12/16/22,900.12
12/15/22,909.33
12/14/22,916.54
12/13/22,919.05
12/12/22,933.47
12/9/22,954.98
12/8/22,941.65
12/6/22,962.97
12/5/22,958.97
12/2/22,963.61
12/1/22,949.83
11/30/22,938.63
11/29/22,931.03
11/28/22,927.94
11/25/22,928.07
11/24/22,934.7
11/23/22,942.43
11/22/22,964.52
11/21/22,928.07
11/18/22,916.28
