Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,66.8,69.6,66.4,68.4,99,80101,5411897.5
10/12/23,68.4,69.8,66,68.5,107,18993,1268553.8
10/11/23,68,70.3,67.8,68,127,108851,7419123.8
10/10/23,70,71.5,68,68.2,130,121403,8466613.5
10/9/23,70,70,67.5,69.3,158,77078,5267133.8
10/6/23,72.3,72.3,70,70.2,147,37316,2618416.8
10/5/23,72.5,72.5,70.4,70.7,147,166106,11715778.6
10/4/23,72,74.1,70,71.7,146,120571,8537526.6
10/3/23,73.7,74,71,71.5,136,41766,3012939.1
10/2/23,74.5,74.9,73.4,73.6,82,62320,4584394.8
9/27/23,75,75,73.8,74,109,63448,4706694.9
9/26/23,76,76,74.4,74.5,58,58682,4400655.8
9/25/23,76.5,76.8,74.8,75,42,44372,3327985.2
9/22/23,74.2,76.1,74.1,75.1,151,144933,10880576.8
9/21/23,77.2,78,74.2,74.9,116,80725,6078259.1
9/20/23,73.1,77.3,73.1,76.8,240,205046,15594571.2
9/19/23,76,76,73.2,73.5,133,66900,4960558.9
9/18/23,75,77,74.3,74.7,147,97564,7343734.8
9/15/23,75.5,75.8,74.7,74.9,86,90829,6815046.3
9/14/23,75.8,75.8,75,75,49,27608,2072954.4
9/13/23,75,76.1,74.5,75,87,59528,4495089.7
9/12/23,76.1,76.1,74.8,75,140,68445,5138346.5
9/11/23,77.9,77.9,75.6,75.7,99,62998,4804587.8
9/8/23,75.6,78.2,75.6,77.8,124,53232,4106051.3
9/7/23,78,79.5,75.6,76.8,178,150696,11745321.1
9/6/23,78,79.5,75.1,76.8,205,133185,10433388.6
9/5/23,76.9,78,76.1,77.8,187,189104,14614563.2
9/4/23,76.1,77.4,74.5,75.9,117,84360,6441032.3
9/1/23,75.3,77.4,75,76.9,128,190389,14585517.3
8/31/23,76,76,73.4,75,96,141756,10625723.3
8/29/23,74.9,76.7,73.2,75.8,164,254242,19083976.5
8/28/23,75,75.7,73.1,75,81,148795,11137697.2
8/25/23,74.9,74.9,73,73.1,151,129985,9514708.4
8/24/23,74.5,74.9,73.4,73.9,139,134022,9903883.1
8/23/23,76.8,78.1,74.5,74.9,154,97202,7303591.6
8/22/23,73.5,77.9,72.6,76.2,261,175648,13159572.6
8/21/23,75.2,75.3,73.3,73.7,233,194736,14544798.4
8/18/23,78,78.1,75,75.1,226,230266,17314629.5
8/17/23,78.7,80,77,77.3,133,26197,2036571.3
8/16/23,78,79.9,77.5,79.3,357,305363,24050344.5
8/15/23,78,82.9,76.7,78,1113,1716680,135929235.3
8/14/23,74,74.9,72.9,73,206,114310,8373451
8/11/23,77.9,77.9,74,74.6,200,122268,9178362.4
8/10/23,78,78.1,76,76.4,239,305658,23614265.4
8/9/23,74,79.7,74,76,597,596043,45649967
8/8/23,74,74.5,71.4,71.8,264,132672,9556418
8/7/23,75,76.7,73,73.1,201,111524,8194890.7
8/4/23,74.8,76,73,75.3,247,225309,16749646.8
8/3/23,75.5,76.7,73,73.3,392,314187,23176347.8
8/2/23,75.5,76.7,74,75.4,252,313309,23464141.5
7/31/23,74.8,76.8,74.2,75.3,188,113266,8501951.3
7/28/23,76.5,79.4,74,74.4,550,544932,40990138.7
7/27/23,80,80,75.5,76.1,544,527537,40391284.1
7/26/23,77.8,80,77.4,77.8,148,143809,11281798.4
7/25/23,78.8,79,76.5,77.1,273,186963,14547709.5
7/24/23,80,83,78.4,78.7,237,204199,16279276
7/21/23,84,84,79.1,79.4,454,443988,35609261.3
7/20/23,79.5,85.9,79.5,82.6,484,553287,46239073.7
7/19/23,78,81,77,79.4,387,387966,30396282.7
7/18/23,79.8,81.9,77.7,78.1,358,279745,22133298
7/17/23,82.5,84,79.3,79.7,674,540632,43644296.2
7/14/23,85,85.9,82,82.4,298,123917,10250201
7/13/23,86.1,86.3,84.3,84.6,319,200277,17062305.9
7/12/23,85.5,88.5,85,85.3,455,563306,49042212
7/11/23,86,87,84,84.4,186,131947,11195746.4
7/10/23,86,87.8,84.2,86,343,393567,33721849.3
7/7/23,87.2,87.5,84.5,86,178,161519,13820780.7
7/6/23,86,87.5,84.9,86.8,575,424873,36634978.1
7/5/23,82.5,85.5,81.1,84.4,312,295995,24703522.3
7/4/23,84,85,80.2,82.3,230,167042,13760792.6
6/28/23,82.5,82.5,80,80.6,167,150152,12174470.1
6/27/23,83.9,84.5,80.2,81.2,246,158790,12971313.1
6/26/23,81.8,86,75,83.4,675,544728,45635353.1
6/23/23,74.5,82,74,81.2,591,480327,37804986.2
6/22/23,73.5,75,73,73.9,103,120657,8917131.8
6/21/23,73.3,75.4,73,73.9,120,69064,5114924.2
6/20/23,72,74,72,72.9,61,22353,1623536
6/19/23,75,75,71.8,72,116,25123,1814146
6/16/23,75.9,75.9,73,73.4,102,43864,3226201.1
6/15/23,75.6,76.9,73,74.5,172,116677,8837867.3
6/14/23,75.5,79,75.1,75.8,424,380854,29526590.6
6/13/23,73,78,71.6,76.4,365,268738,20310988.3
6/12/23,68.5,73,67,73,273,140368,10014992.9
6/9/23,68.4,68.4,66.5,67,82,39483,2638229.1
6/8/23,67.5,68.5,66.4,67.2,84,93487,6316639.4
6/7/23,68,68,66.1,67.1,74,9287,624674.7
6/6/23,70,70,67.1,67.2,105,30887,2092513.7
6/5/23,69,71.5,67.6,68.5,119,56138,3844980.3
6/2/23,70.4,71.9,69,70.1,109,34673,2454776.1
6/1/23,67,70,66.2,69.8,122,72157,4982204.6
5/31/23,65.1,66.7,64.1,65,79,95603,6217724.6
5/30/23,65.3,67.9,63.6,64.1,140,82414,5306698.1
5/29/23,68.3,70,65,65.3,134,91288,6075838
5/26/23,69.5,69.5,68.5,68.9,81,57617,3983653.2
5/25/23,70.3,71.8,69.5,69.9,43,42357,2962963.4
5/24/23,71.6,74.5,70,70.2,134,70776,5000570.6
5/23/23,69.1,71,68.5,70.1,72,44158,3076847.8
5/22/23,73.5,73.5,68,69.1,99,51866,3609899.8
5/19/23,72,73,70,71.8,99,84670,6076320
5/18/23,72.5,74,72,72.1,79,103889,7506509.2
5/17/23,70.1,73.5,70.1,72.6,104,129663,9397732.3
5/16/23,74,74,71,71.1,80,33658,2405641.3
5/15/23,77.2,78.9,73,73.2,139,41371,3106693.5
5/12/23,77.9,79,75.8,76.9,203,233265,18160596.7
5/11/23,71.4,77.9,70.2,76.7,452,344407,25791356.8
5/10/23,69.5,71.2,69.4,70.9,114,51844,3639972.6
5/9/23,68.1,69.8,66,69,178,136820,9348709.8
5/8/23,67.7,69.7,66.5,68.1,241,184628,12557786.2
5/4/23,65,68,65,66.8,62,24561,1642100.3
5/3/23,69,69,64.7,65,240,114333,7527223.1
5/2/23,70,70,64.7,65.2,328,248301,16200680.5
4/28/23,70.5,71.9,69.1,70.4,145,83524,5871696.1
4/27/23,70.2,73,68.5,70.5,229,174089,12441687.2
4/26/23,72.1,76.9,70,71.1,405,526488,37628047.1
4/25/23,74.4,76.5,70,71,478,244232,17510274.4
4/24/23,75.5,78.9,73.9,74.4,284,77017,5756898
4/21/23,78.9,79,76,76.6,239,84302,6484799.1
4/20/23,81.5,81.5,77.7,78.2,339,281767,22360970.2
4/19/23,82,83,80.5,80.8,162,95679,7750526.2
4/18/23,82,83.5,80.8,81.6,249,150008,12297538.5
4/17/23,85.2,85.2,82,82,261,129890,10720158.8
4/12/23,87.8,87.8,83,83.8,129,78449,6601397
4/11/23,83,87,81.5,86,160,115181,9763789.1
4/10/23,83,85.8,81,83.1,283,192431,15990935
4/6/23,84.5,85,80.5,81.2,350,160994,13150279.6
4/4/23,84.5,87.5,83.5,84.2,111,58166,4964819.2
4/3/23,86,87.9,84.1,84.8,103,43896,3746082.4
3/31/23,87,87.5,82.5,84.4,173,149392,12558749.5
3/30/23,89.1,89.9,83.8,85,268,206187,17569486.5
3/29/23,89,91.1,87.1,87.5,94,41099,3629821.8
3/28/23,90,92,86,88.8,156,95436,8394958.2
