Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/19/22,0.1,0.2,0.1,0.1,139,5664597,620269.8
7/18/22,0.2,0.3,0.1,0.2,88,3424767,679822.6
7/15/22,0.3,0.3,0.2,0.2,28,259269,67760.2
7/14/22,0.3,0.3,0.2,0.2,18,519932,104301.4
7/12/22,0.3,0.4,0.3,0.3,47,341541,102664.2
7/11/22,0.2,0.5,0.2,0.3,124,1544268,496702.6
11/4/14,0.1,0.2,0.1,0.1,189,4513688,455381.6
11/3/14,0.3,0.3,0.1,0.1,255,5691956,652300.2
10/31/14,0.5,0.6,0.2,0.2,404,6304551,2103814.8
10/30/14,1.8,1.8,0.3,0.4,1029,23721753,11929010.8
10/29/14,0.3,2.1,0.3,1.7,789,5356248,7123568.2
10/28/14,0.2,0.2,0.2,0.2,3,545,109
