Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,18.8,18.9,18.6,18.6,45,156512,2922448.8
10/12/23,18.5,18.8,18.5,18.6,27,73778,1371841.7
10/11/23,18.9,18.9,18.5,18.6,83,841120,15685674.9
10/10/23,18.8,18.9,18.7,18.7,49,750464,14050161.7
10/9/23,18.8,19,18.7,18.8,108,419047,7879540.3
10/6/23,19,19.2,19,19,46,1077204,20478805
10/5/23,19,19.2,19,19.1,51,260368,4963082
10/4/23,19,19.2,18.8,19,127,872802,16575560.6
10/3/23,19.2,19.5,19.1,19.1,109,615207,11778944.9
10/2/23,19.7,19.7,19.3,19.3,95,363626,7064070.7
9/27/23,19.5,20,19.4,19.8,90,426284,8344498.3
9/26/23,19.6,19.6,19.5,19.5,47,245354,4784421.1
9/25/23,19.6,19.8,19.5,19.5,49,40996,802218.7
9/22/23,19.4,19.6,19.2,19.5,77,140781,2727224.1
9/21/23,19.4,19.6,19.2,19.3,80,1199731,23389229.2
9/20/23,19.8,19.9,19.5,19.5,75,137694,2693605.9
9/19/23,19.8,20,19.7,19.8,147,451328,8938471
9/18/23,20.4,20.5,19.8,19.8,329,1235951,24687401.3
9/15/23,19.3,20.2,19.3,20,487,3062025,60971300.2
9/14/23,18.1,19.5,18,19.3,490,3260337,61657273.7
9/13/23,18,18.2,18,18,45,346029,6228734
9/12/23,18.2,18.2,17.8,18.1,41,173294,3130538.1
9/11/23,18,18.3,17.5,18,108,282747,5082537
9/8/23,17.5,18.2,17.4,18,147,277848,4949688
9/7/23,17.2,17.5,17.1,17.4,51,140597,2415750.9
9/6/23,17.1,17.3,17.1,17.1,57,115648,1978565
9/5/23,17.2,17.3,17.1,17.1,62,203102,3487870.1
9/4/23,17.3,17.3,17,17.2,52,46176,788190.1
9/1/23,17.4,17.4,17,17.3,67,369426,6295950.2
8/31/23,17.5,17.5,17,17.1,84,264497,4546049.8
8/29/23,17.4,17.5,17.3,17.5,32,65482,1139663
8/28/23,17.4,17.7,17.4,17.5,43,142112,2486599.9
8/25/23,17.6,17.6,17.3,17.5,32,115519,2020912.5
8/24/23,17.2,17.8,17,17.7,102,486811,8454752.1
8/23/23,17,17.5,17,17.2,42,40590,699351.2
8/22/23,17.2,17.6,16.9,17.1,63,213548,3667147.8
8/21/23,17.5,17.5,17,17.1,65,510115,8804702.7
8/18/23,17.3,17.6,17,17.3,96,628617,10926178.4
8/17/23,17.5,18,17,17.3,143,410701,7211921.7
8/16/23,16.9,17.6,16.7,17.3,102,338327,5814272.1
8/15/23,16.9,17,16.7,16.8,77,179076,3017111.3
8/14/23,16.7,17,16.6,16.9,69,237394,4006503.5
8/11/23,17.2,17.2,16.6,16.9,140,146428,2475990.9
8/10/23,17.4,17.5,16.8,17.1,202,717073,12192289.2
8/9/23,17.5,17.5,17.3,17.4,58,110099,1910566.6
8/8/23,17.7,17.8,17.5,17.6,82,224984,3948402.4
8/7/23,17.8,18,17.7,17.7,102,553375,9801425
8/4/23,18.1,18.1,17.7,17.8,103,1013105,18192257.8
8/3/23,17.9,18.2,17.6,18,129,540300,9686273.7
8/2/23,17.7,18,17.5,17.8,154,1157269,20444754.1
7/31/23,17.5,17.8,17.4,17.5,140,632964,11083963.6
7/28/23,17.7,17.9,17.4,17.5,149,406555,7188180.3
7/27/23,18,18,17.7,17.9,70,132785,2383331.2
7/26/23,18,18,17.7,18,91,259749,4649134.4
7/25/23,18,18.3,17.8,17.9,128,212027,3821562.8
7/24/23,18.4,18.4,18,18.2,139,215771,3919093.9
7/21/23,18.4,18.6,18.4,18.5,116,768156,14191545.3
7/20/23,18.7,18.7,18.4,18.6,113,594590,11039003.3
7/19/23,18.7,18.8,18.1,18.7,134,543781,10104054.5
7/18/23,18.6,18.7,18.4,18.6,146,625146,11617822.7
7/17/23,18.2,18.8,18,18.5,249,1567037,28973490.1
7/14/23,17.9,18.2,17.9,18.2,117,795635,14342155.8
7/13/23,18.2,18.2,18,18,101,253060,4561890.8
7/12/23,17.8,18.2,17.8,18.1,195,2358652,42504196.7
7/11/23,18.3,18.3,17.2,17.8,194,1117110,19697679.1
7/10/23,18.3,18.5,18,18,167,455725,8261484.5
7/7/23,17.9,18.3,17.6,18.1,278,1419504,25534350.6
7/6/23,17.3,18,17.2,17.8,276,1309066,23208383.1
7/5/23,17.2,17.4,17,17.1,197,1093043,18690196.4
7/4/23,16.7,17.8,16.7,17.2,286,1933017,33021466.8
6/28/23,16.3,16.7,16.2,16.6,178,3704171,60433788.7
6/27/23,16.3,16.5,16.1,16.5,90,1273138,20926943.8
6/26/23,16.2,16.6,15.7,16.5,171,1568544,25340924.2
6/23/23,16.3,16.6,16.2,16.5,85,413279,6805700
6/22/23,16.5,16.6,16,16.5,171,777012,12730215
6/21/23,16,16.6,16,16.4,223,607631,9917190.4
6/20/23,15.9,16,15.8,16,118,815524,13028038.9
6/19/23,16.1,16.1,15.9,16,87,259102,4139335.2
6/16/23,15.7,16.3,15.7,16.1,406,3561631,56950865.1
6/15/23,15.7,15.9,15.5,15.8,171,948475,14957887.1
6/14/23,15.4,15.9,15,15.7,250,1340847,20882003.4
6/13/23,14.8,15.5,14.6,15.2,209,3610907,54838794.6
6/12/23,14.7,14.8,14.6,14.6,98,232115,3403487.7
6/9/23,14.8,14.8,14.6,14.7,62,100214,1471970.6
6/8/23,14.8,14.9,14.7,14.7,42,67476,994356.8
6/7/23,14.7,14.9,14.6,14.9,33,29706,438026.4
6/6/23,15,15.2,14.8,15,75,197332,2948808.6
6/5/23,14.7,15.2,14.7,14.9,212,3006350,44793284.7
6/2/23,15,15.1,14.6,14.7,150,789957,11797310.2
6/1/23,14.1,15,14.1,14.8,144,3231516,47082801.6
5/31/23,14.5,14.5,14,14.1,47,100590,1413224
5/30/23,14.5,14.5,14,14,56,305538,4307945.3
