Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/11/23,24.3,24.3,24.3,24.3,2,200,4860
10/4/23,24.7,24.7,24.7,25,1,1,24.7
10/2/23,23.6,25,23.6,25,4,65,1540.9
9/19/23,25.9,25.9,25.9,25,1,5,129.5
9/18/23,26,26,25.9,25,2,2,51.9
9/15/23,26.2,26.2,26,25,2,31,807
9/14/23,26.3,26.3,26,25,2,2,52.3
9/12/23,25,25,25,25,2,250,6250
9/7/23,23.2,26.6,23.2,25,3,3,73.8
9/4/23,26.6,26.6,25,25,4,31,776.6
9/1/23,25,25,25,25,1,2000,50000
8/31/23,25,25,25,25,1,990,24750
8/29/23,25,25,25,25,1,100,2500
8/25/23,25.1,27,25,25.2,10,852,21452.8
8/24/23,26.5,26.5,25.1,25.1,7,270,6794
8/23/23,25.1,25.1,25.1,25.1,3,575,14432.5
8/21/23,27.2,27.2,26.1,27,6,239,6462.4
8/18/23,24.1,27.3,24,27.3,26,6957,187780.9
8/17/23,24.1,25.9,24.1,25.8,9,1092,28003.6
8/16/23,24.1,24.1,24,24,3,1560,37490
8/15/23,26,26,26,26,1,10,260
8/14/23,25.5,26.4,24,26,9,1400,34176
8/11/23,24,24,24,24,2,98,2352
8/10/23,23,24.5,23,24,21,4860,115367.5
8/9/23,23.5,23.5,23,23.1,8,227,5240.5
8/8/23,23.5,23.5,23.5,23.3,1,50,1175
8/7/23,23.7,23.7,23,23.3,6,430,10011
8/4/23,24.8,24.8,24.8,24.2,1,11,272.8
8/3/23,24.7,24.7,24,24.2,4,108,2609.5
8/2/23,24.2,24.5,24.1,24.2,5,135,3273.5
7/31/23,25,25,24.1,24.1,3,785,19278.5
7/28/23,24.5,25,23.9,24.3,14,298,7243
7/27/23,24.2,25.2,24.2,25.2,18,697,17461.5
7/26/23,26,26,25.5,25.5,5,5500,140500
7/25/23,25.3,26.2,25.2,26,15,15669,395049.8
7/24/23,25.6,25.6,25.2,25.2,7,4631,116823.7
7/21/23,25.6,25.6,25.6,25.6,2,295,7552
7/20/23,27,27.3,25.5,25.5,12,916,24297.5
7/19/23,22.9,27,22.9,27,53,75925,1982323.1
7/18/23,23.9,25,23.9,24,17,41448,993442.3
7/17/23,22.7,24,22.2,23,24,1822,41934.8
