Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
9/27/22,3,3.6,2.5,3.1,66,29826,90995.8
9/26/22,4.1,6,3,3.7,129,58159,234078.9
9/23/22,5.9,7.5,3.1,4,96,25599,115997.8
9/22/22,7.5,7.5,4,5.9,137,47246,264291.8
9/21/22,12,13,7.2,7.5,137,24770,201728.1
9/20/22,0.2,19.5,0.2,11.5,424,121196,1055559
4/28/17,3,3.1,2.1,3,51,32855,89221.3
4/27/17,3,3.7,2.5,2.7,25,19485,53830
4/26/17,2.5,3,2.5,3,10,1425,3810.2
4/25/17,2.5,2.7,2.5,2.5,3,446,1119.3
4/24/17,3.2,3.2,2.5,3,6,680,1920.2
4/21/17,1.5,5,1.5,3,21,7947713,11925001
4/7/16,10,10,10,10,12,120,1200
4/6/16,9.8,10,9.8,10,5,7472,74685.2
4/5/16,15,15,1.4,10,7,19308,193080
4/4/16,3.1,15,3.1,8,9,379,2039.4
4/1/16,20,20,20,13.2,1,1,20
