Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,73,73,72.5,72.5,18,7105,515754.8
10/12/23,73.4,73.4,72.9,73,8,1517,110741.8
10/11/23,73,73,72.8,72.8,18,7434,541563.3
10/10/23,73,73,72.9,72.9,29,9931,724099.4
10/9/23,74,74,73,73,33,6545,480490
10/6/23,73.7,78,73.7,74,29,38139,2822907.4
10/5/23,77.4,78.9,74.2,77.4,19,5370,413963
10/4/23,76.3,77.5,75,77.5,26,37857,2846573.2
10/3/23,77.5,77.5,76,76.8,26,23646,1820078.4
10/2/23,80,80,78.5,78.5,18,102216,8124813.7
9/27/23,79.1,79.9,79.1,79.1,8,5462,432124.2
9/26/23,79.1,79.1,76.8,79,22,14422,1137827.9
9/25/23,78,78.5,77.5,78.5,11,4903,383990.5
9/22/23,79.5,80,76.5,79.6,25,4522,349791.8
9/21/23,79.5,80.5,79.5,79.5,33,411066,32882547
9/20/23,76.3,80,76.3,79.7,21,13453,1058713.2
9/19/23,77.5,77.5,76.5,76.5,18,1610,123924.4
9/18/23,79,79,77.6,77.6,4,655,51055
9/15/23,79.4,79.4,77.5,78.5,28,14606,1155291.4
9/14/23,82,82,79.1,79.8,86,83237,6670257.6
9/13/23,86.5,87.9,81.1,82.8,108,17820,1509133.5
9/12/23,79,90,77,79.6,198,371760,29421787.1
9/11/23,75.5,79,75.5,76.5,49,133948,10256453.5
9/8/23,75,77,74.2,76,75,339064,25573959.6
9/7/23,74.9,75,73,74,16,12615,927090
9/6/23,75,75,73,73.1,9,1081,79092.8
9/5/23,73.5,75,73.1,74.7,21,16338,1212078.7
9/4/23,73.2,75,73,73.4,36,57493,4199127.6
9/1/23,74.3,75,73,74.9,45,59528,4440551.9
8/31/23,76,76,71.6,74.9,13,2924,219978.5
8/29/23,76,76,73,74,23,52687,3899200
8/28/23,75.5,76,74.5,74.9,10,4741,355531
8/25/23,77,77,74.5,74.5,48,42455,3201549.4
8/24/23,75,80,75,77,254,397192,30508439.4
8/23/23,72,74.8,72,74.5,14,27269,2026572
8/22/23,71.6,75,71.6,72,21,13616,981052.9
8/21/23,73.6,74,73,73.7,31,28389,2083762.5
8/18/23,74.8,76.4,73.6,75,142,346277,25932935.9
8/17/23,69.9,75,69.9,73.3,125,322775,23456096
8/16/23,69.5,69.9,68,68.5,29,36650,2523223.5
8/15/23,68.4,70,66.1,69.6,38,37386,2581008.1
8/14/23,70,70,68.5,69.1,37,31223,2161891.5
8/11/23,71,71,70,71,54,285443,20198221.9
8/10/23,73,73,71,71,53,282734,20342349.4
8/9/23,73.5,73.5,72,72.9,16,3034,221376.1
8/8/23,73,74,71.6,73.7,39,17206,1249674.5
8/7/23,73.6,75,73.6,74,37,180458,13425271.2
8/4/23,75,75,73.5,74.9,69,552543,41400780.5
8/3/23,74.5,75,73.9,74.7,32,19019,1421978.3
8/2/23,70.4,75,70.4,74.5,160,428653,31896606.1
7/31/23,68.5,70.6,68.5,70.5,65,153553,10794698.6
7/28/23,68.5,70.2,68.5,69,14,21940,1515743.9
7/27/23,70.5,70.5,68.5,70,25,161519,11301731.8
7/26/23,70,71,70,70.2,93,485325,34184440.6
7/25/23,68.5,70,68.5,70,59,185047,12891219
7/24/23,68.5,69.4,68.5,69,47,69983,4823583.6
7/21/23,69,70.2,66.2,69,94,569289,39759782
7/20/23,66,69,66,68,53,319511,21746409.6
7/19/23,67.5,68,67,67.9,52,363819,24641183.7
7/18/23,67.1,67.9,66.5,67.1,30,657005,43866911.7
7/17/23,66.9,68.4,66.9,67.9,58,96228,6558959.2
