Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
4/29/22,0.9,1,0.9,0.9,12,111711,100797
4/28/22,0.9,1,0.9,0.9,22,88925,80512.7
4/27/22,0.9,0.9,0.8,0.9,15,19977,16824.3
4/26/22,1,1,0.9,0.9,11,88373,79716
4/25/22,1,1,1,1,5,3851,3851
4/8/22,1,1.1,1,1,12,24175,24195
4/7/22,1.1,1.1,1,1,7,23955,24060.5
4/6/22,1.1,1.1,1,1,10,33701,35071.1
4/5/22,1,1.1,1,1,8,15411,16421.6
4/4/22,1,1,0.9,1,12,291000,285550
3/31/22,1.2,1.2,1.1,1.1,8,58172,69006.4
3/30/22,1.2,1.3,1.1,1.1,17,180271,211632.8
3/29/22,1.3,1.4,1.2,1.2,13,26050,32220
3/28/22,1.2,1.3,1.2,1.2,5,11510,13962
3/25/22,1.4,1.4,1.2,1.2,14,31214,37965
3/24/22,1.3,1.4,1.3,1.4,5,8888,12389.2
3/23/22,1.2,1.4,1.2,1.3,10,18626,22936.3
3/22/22,1.3,1.4,1.2,1.4,65,983655,1342916.8
3/21/22,1.3,1.3,1.2,1.3,5,710,873
3/18/22,1.2,1.2,1.2,1.2,5,6872,8246.4
3/16/22,1.1,1.2,1.1,1.2,16,175061,202664.2
3/15/22,1.2,1.2,1.1,1.2,12,42035,48242
3/14/22,1.3,1.3,1.2,1.2,23,109831,132157.2
3/11/22,1.3,1.3,1.3,1.3,5,16108,20940.4
3/10/22,1.2,1.3,1.2,1.2,18,28771,37107.1
3/9/22,1.3,1.3,1.1,1.1,45,473618,560526.6
3/8/22,1.4,1.4,1.1,1.1,58,549538,650780.6
3/7/22,1.4,1.4,1.3,1.3,27,90187,117447.8
3/4/22,1.3,1.3,1.3,1.3,25,236746,307769.8
3/3/22,1.4,1.4,1.3,1.4,10,30719,41706.6
3/2/22,1.4,1.4,1.3,1.3,6,43253,56254.2
2/28/22,1.3,1.4,1.3,1.4,13,116533,162646.2
2/25/22,1.3,1.4,1.2,1.4,27,140041,183653.8
2/24/22,1.4,1.4,1.3,1.3,28,432779,572087.7
2/23/22,1.4,1.5,1.3,1.4,50,497914,685854.6
2/22/22,1.4,1.6,1.3,1.4,107,1433114,2145496.6
2/21/22,1.5,1.5,1.3,1.3,74,914914,1253009.6
2/18/22,1.5,1.5,1.4,1.4,38,443921,622491.4
2/17/22,1.4,1.5,1.4,1.5,14,90351,127716.4
2/15/22,1.5,1.5,1.4,1.4,25,409825,582687.5
2/14/22,1.5,1.5,1.4,1.5,24,280468,394605.5
2/11/22,1.4,1.6,1.4,1.5,65,454034,676351
2/10/22,1.5,1.6,1.4,1.5,42,195164,280238.6
2/9/22,1.5,1.6,1.4,1.5,39,178888,258432.1
2/8/22,1.6,1.6,1.4,1.4,45,148477,212049.5
2/7/22,1.7,1.8,1.5,1.6,130,1601124,2582193
2/3/22,1.3,1.6,1.2,1.6,448,11686579,17883692.2
2/2/22,1.4,1.4,1.2,1.3,40,442336,572259.5
2/1/22,1.3,1.4,1.2,1.3,71,620474,804473.5
1/31/22,1.2,1.4,1.2,1.4,35,163545,213037.7
1/28/22,1.3,1.4,1.2,1.3,83,1084269,1344466.3
1/27/22,1.3,1.4,1.3,1.3,54,539695,701981.2
1/26/22,1.4,1.4,1.3,1.3,43,531315,695957.1
1/25/22,1.4,1.5,1.3,1.3,51,567744,747250.4
1/7/22,1.5,1.5,1.3,1.4,69,1331110,1853143.1
1/6/22,1.5,1.5,1.4,1.4,44,341630,496487.2
1/5/22,1.5,1.5,1.4,1.4,131,1173895,1701485.5
1/4/22,1.5,1.5,1.4,1.4,63,940406,1320424.2
1/3/22,1.3,1.5,1.3,1.4,82,1640229,2226024
12/31/21,1.4,1.5,1.3,1.4,122,2409194,3233221
12/30/21,1.5,1.5,1.3,1.4,188,2475336,3454495.2
12/29/21,1.3,1.4,1.3,1.3,24,170828,222247.8
12/28/21,1.3,1.4,1.3,1.3,44,514587,670062
12/27/21,1.3,1.4,1.3,1.3,21,205693,269053.2
12/24/21,1.3,1.4,1.2,1.3,14,109594,142441.5
12/23/21,1.3,1.4,1.2,1.3,29,151253,197174.2
12/22/21,1.4,1.4,1.3,1.3,46,161452,211277.2
12/21/21,1.3,1.3,1.2,1.2,19,47700,61310
12/20/21,1.4,1.4,1.2,1.3,80,1174956,1541285.4
12/17/21,1.3,1.4,1.3,1.3,15,17933,24184
12/16/21,1.3,1.4,1.3,1.3,38,560173,738763.4
12/15/21,1.4,1.4,1.3,1.4,38,691735,941438
12/14/21,1.3,1.5,1.3,1.3,80,1257155,1771990.2
12/13/21,1.4,1.4,1.3,1.3,39,604522,815470.8
12/10/21,1.4,1.4,1.3,1.4,35,355055,496054.9
12/9/21,1.3,1.5,1.3,1.4,162,5212952,7247563.4
12/8/21,1.4,1.4,1.3,1.3,16,58690,77556
12/7/21,1.3,1.4,1.2,1.3,16,72219,96888.9
12/6/21,1.4,1.4,1.2,1.3,33,400608,501865.9
12/3/21,1.4,1.4,1.3,1.3,23,276035,366979
12/2/21,1.3,1.4,1.3,1.4,18,190161,256537.5
12/1/21,1.2,1.4,1.2,1.3,20,140088,182024.1
11/30/21,1.3,1.4,1.2,1.3,34,156270,205036
11/29/21,1.4,1.4,1.2,1.3,38,623808,810974.8
11/26/21,1.3,1.3,1.2,1.3,54,457174,582776.2
11/25/21,1.3,1.4,1.2,1.2,60,884523,1110019.4
11/24/21,1.3,1.4,1.3,1.3,11,104672,136163.8
11/23/21,1.4,1.4,1.3,1.3,20,192243,251235.2
11/22/21,1.3,1.4,1.3,1.3,47,527352,685668.1
11/19/21,1.3,1.4,1.3,1.3,19,202162,273413.7
11/17/21,1.3,1.4,1.3,1.3,26,136595,177833
11/16/21,1.3,1.5,1.3,1.4,65,2384616,3103245
11/15/21,1.4,1.5,1.3,1.4,64,880936,1182146.3
11/12/21,1.4,1.5,1.4,1.4,44,630994,886429.9
11/11/21,1.5,1.5,1.4,1.5,61,786614,1151582.7
11/10/21,1.3,1.6,1.3,1.5,130,3258936,4759662.2
11/9/21,1.4,1.4,1.3,1.3,63,1596535,2080834.7
11/8/21,1.4,1.4,1.3,1.3,59,664922,918834.9
11/5/21,1.4,1.5,1.4,1.4,76,2096462,3007559.9
11/3/21,1.4,1.5,1.4,1.4,56,1016790,1428884.9
11/2/21,1.4,1.5,1.4,1.4,20,145209,203543
11/1/21,1.5,1.5,1.4,1.5,47,589121,848095.4
10/29/21,1.6,1.6,1.4,1.5,77,648241,973701.5
10/28/21,1.5,1.6,1.4,1.5,72,532945,800624.5
10/27/21,1.5,1.5,1.4,1.4,16,57056,80199.8
10/26/21,1.5,1.5,1.3,1.4,61,1542898,2167368.8
10/25/21,1.4,1.5,1.4,1.5,62,582773,818262.5
10/22/21,1.5,1.5,1.4,1.5,24,244995,343237.3
10/21/21,1.5,1.6,1.4,1.5,29,242949,354723.5
10/18/21,1.6,1.6,1.5,1.5,30,118967,179680.6
10/15/21,1.5,1.6,1.4,1.5,38,196235,294882.3
10/14/21,1.5,1.6,1.5,1.5,28,228373,342979.5
