Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,9.3,9.4,9.2,9.3,28,37886,352385.3
10/12/23,9.1,9.4,9,9.2,42,192769,1745470
10/11/23,9.6,9.6,9.1,9.1,41,109029,1002211
10/10/23,9.3,9.5,9.1,9.3,39,262876,2438900.1
10/9/23,9.3,9.6,9.2,9.2,36,71623,666182.3
10/6/23,9.7,9.7,9.3,9.4,28,35231,328888.7
10/5/23,9.4,9.7,9.4,9.5,22,38866,368524.7
10/4/23,9.3,9.7,9.3,9.5,54,453927,4308046.5
10/3/23,9.5,9.7,9.4,9.4,40,68699,648831.9
10/2/23,9.6,9.7,9.5,9.5,40,214103,2051095
9/27/23,9.8,9.8,9.6,9.6,42,36483,351108.2
9/26/23,9.8,9.8,9.6,9.7,38,330593,3204576.4
9/25/23,9.8,9.9,9.6,9.7,89,454002,4414788.2
9/22/23,9.7,9.9,9.6,9.6,65,194465,1873887
9/21/23,9.9,9.9,9.7,9.7,11,8944,86758.8
9/20/23,9.8,10,9.7,9.7,59,205595,2011000.8
9/19/23,10,10,9.7,9.8,70,383596,3756213
9/18/23,10.2,10.2,9.8,9.9,89,213865,2120486.1
9/15/23,10.3,10.4,9.8,10,140,619739,6249147.4
9/14/23,9.7,10.4,9.7,10.2,634,5160278,51909219.9
9/13/23,9.7,9.7,9.5,9.6,58,150601,1438778.9
9/12/23,9.6,9.8,9.5,9.6,54,123986,1188344
9/11/23,9.7,9.8,9.6,9.7,39,71137,689561.9
9/8/23,9.6,9.7,9.4,9.6,101,322867,3099855.7
9/7/23,9.1,9.8,9.1,9.4,132,808026,7582499.5
9/6/23,9,9.3,9,9.2,47,55584,509491
9/5/23,9,9.3,9,9,32,64018,578441.3
9/4/23,9.2,9.3,9,9.1,59,70033,638382.1
9/1/23,9.3,9.3,9,9.1,12,5499,50082.1
8/31/23,9.3,9.3,9,9,45,129935,1170523.5
8/29/23,9,9.5,9,9.1,48,124073,1127044
8/28/23,9.3,9.5,9.1,9.2,39,41021,382045.7
8/25/23,9.3,9.4,9,9.2,29,23959,223903.3
8/24/23,9.2,9.3,9.2,9.3,45,110262,1021640.6
8/23/23,9,9.2,9,9.1,31,45986,417267.9
8/22/23,9.3,9.3,8.9,9,30,34557,312465.1
8/21/23,9,9.3,8.8,9.2,36,36625,332815.3
8/18/23,9.3,9.3,8.9,9,55,51026,461640.8
8/17/23,9.2,9.4,8.7,9.2,70,145292,1327324.3
8/16/23,9.1,9.2,8.9,9,52,91806,826734.1
8/15/23,9.2,9.4,9,9.1,54,149872,1362938.2
8/14/23,8.8,9.2,8.8,9,49,104749,943376.7
8/11/23,8.6,9.2,8.6,9.1,61,83013,750147
8/10/23,8.8,9,8.6,8.6,92,125750,1094463
8/9/23,9,9.1,8.7,8.7,90,126921,1119297.5
8/8/23,8.8,9,8.8,8.8,74,113972,1005397
8/7/23,9.2,9.2,8.8,8.9,137,273753,2453046.4
8/4/23,9.5,9.5,9.1,9.2,130,307138,2825415.8
8/3/23,9.3,9.5,9.2,9.4,109,242884,2275735.7
8/2/23,9.8,9.8,9.3,9.4,113,330546,3145773.7
7/31/23,9.6,9.9,9.6,9.7,67,128418,1238645.1
7/28/23,9.5,9.9,9.4,9.8,81,307726,2965317.9
7/27/23,9.6,10,9.5,9.5,77,124399,1187081.2
7/26/23,9.7,9.7,9.6,9.6,72,151209,1455612.1
7/25/23,9.8,9.8,9.6,9.7,58,86346,838487.4
7/24/23,10,10,9.8,9.8,65,259087,2557958.1
7/21/23,10,10.1,9.8,10,84,495892,4942358.7
7/20/23,9.9,10,9.6,9.9,146,1548751,15300512.1
7/19/23,10,10.2,9.7,10,81,228906,2268624.6
7/18/23,9.9,10.2,9.8,9.9,50,122729,1219632.4
7/17/23,10.2,10.3,9.9,10,108,599050,6042397.8
7/14/23,10.2,10.3,10,10,90,1230617,12317891.3
7/13/23,10.1,10.4,10,10.2,189,1228106,12545523.5
7/12/23,10.3,10.3,9.9,10,167,1341679,13437611.3
7/11/23,10.4,10.4,9.7,10,102,321092,3202018.6
7/10/23,10.1,10.5,10,10,146,538712,5444147.7
7/7/23,10.4,10.6,10.1,10.3,222,2189239,22916460.7
7/6/23,9.7,10.4,9.6,10.4,264,1623780,16329868.3
7/5/23,9.7,10,9.5,9.6,164,1114225,10844377.5
7/4/23,9.2,9.9,9.2,9.7,163,1040149,9926443.3
6/28/23,9,9.6,9,9.5,76,357846,3368757.7
6/27/23,9.4,9.6,9.1,9.2,72,365851,3431160.1
6/26/23,9.1,9.3,9,9.3,93,231143,2113807.7
6/23/23,8.8,9.3,8.8,9.1,126,497057,4508266.7
6/22/23,8.9,9,8.8,8.9,34,53596,477025.3
6/21/23,8.9,9,8.6,8.8,51,149352,1300861.1
6/20/23,8.8,9,8.7,8.8,35,63027,552583.7
6/19/23,8.9,8.9,8.7,8.8,57,294559,2604028.5
6/16/23,8.8,9,8.8,8.9,90,452572,4064924.3
6/15/23,8.5,9.1,8.5,8.6,126,668470,5901042.9
6/14/23,8.2,8.7,8.2,8.5,41,157249,1337452.9
6/13/23,8.5,8.5,8.4,8.4,17,11050,93080.1
6/12/23,8.1,8.6,8.1,8.5,42,215945,1832603.7
6/9/23,8.2,8.3,8.2,8.3,15,32409,268869.5
6/8/23,8.4,8.5,8.1,8.2,29,25926,213253.3
6/7/23,8.3,8.5,8.2,8.3,15,1934,16126
6/6/23,8.5,8.5,8.1,8.4,22,15580,128885.8
6/5/23,8.5,8.6,8.4,8.6,33,60174,516774.4
6/2/23,8.6,8.6,8.4,8.5,33,77301,660306.5
6/1/23,7.9,8.6,7.9,8.2,45,150537,1219217
5/31/23,7.8,7.9,7.8,7.9,18,88378,695344.3
5/30/23,7.9,7.9,7.7,7.7,23,132243,1035711.3
5/29/23,8,8.1,7.9,7.9,27,171743,1372524.1
5/26/23,7.9,8.1,7.9,7.9,17,42011,332629.1
5/25/23,8,8.1,8,8,34,160885,1287090.2
5/24/23,8,8.3,8,8.2,20,90870,731954.2
5/23/23,8.3,8.3,8,8,19,24573,196626.9
5/22/23,8.2,8.2,8,8,24,66631,533209.7
5/19/23,8,8.2,8,8.2,25,271752,2174078
5/18/23,8,8,7.9,8,39,176992,1413341.1
5/17/23,8.2,8.2,7.9,7.9,38,32383,257354.6
5/16/23,8.1,8.2,8,8,36,49178,394018.4
5/15/23,8,8.5,8,8.1,23,38137,307472
5/12/23,8.2,8.5,8,8.1,34,28235,228908.5
5/11/23,8.5,8.6,8.1,8.2,42,70764,583655.1
5/10/23,8.3,8.3,8.2,8.3,16,29655,245781
5/9/23,8.5,8.5,8.3,8.3,15,8262,68775
5/8/23,8.6,8.7,8.1,8.1,47,97053,803120.5
5/4/23,8.4,8.4,8.4,8.4,1,1000,8400
5/3/23,8.2,8.5,8.2,8.4,41,157312,1291668.8
5/2/23,8.6,8.6,8.2,8.3,57,140318,1174378.3
4/28/23,8.6,8.8,8.6,8.7,14,203180,1767638
4/27/23,8.7,8.9,8.6,8.6,58,347714,2992526.3
4/26/23,8.7,9,8.7,8.8,64,1855767,16511564.9
4/25/23,9,9,8.7,8.7,40,166732,1469167.4
4/24/23,8.8,9,8.8,9,58,382993,3419363.4
4/21/23,8.9,9,8.8,8.9,57,140074,1235962.6
4/20/23,8.8,8.9,8.8,8.8,75,353201,3108378.8
4/19/23,8.8,8.9,8.8,8.8,49,161065,1418031
4/18/23,8.8,9,8.8,8.8,72,1014174,8934828.8
4/17/23,8.8,8.9,8.6,8.8,65,187904,1644198.3
4/12/23,8.9,9.2,8.8,8.9,128,660996,5950561.7
4/11/23,8.5,8.9,8.5,8.9,173,2768484,23913103
4/10/23,8.5,8.6,8.4,8.5,63,113431,962645.9
4/6/23,8.3,8.6,8.3,8.5,69,223464,1887299.5
4/4/23,8.2,8.4,8.2,8.3,36,156769,1299478.2
4/3/23,8.1,8.4,8.1,8.3,46,159743,1310502
3/31/23,8.5,8.5,8.1,8.2,34,53684,442602.1
3/30/23,8,8.6,8,8.3,21,62182,515857.2
3/29/23,8.4,8.7,8,8.2,35,41929,344972.4
3/28/23,8.1,8.3,7.9,8,86,324150,2603573.8
3/27/23,8.4,8.8,8.1,8.3,62,93172,773983.1
3/24/23,8.2,8.7,8.2,8.6,31,47479,403492.3
3/23/23,8.4,8.8,8.2,8.3,46,93656,777086.6
3/22/23,8.8,8.8,8.4,8.5,56,74599,634086.7
3/21/23,9,9,8.6,8.8,69,515502,4572491.2
3/20/23,9,9.1,8.8,8.8,102,1647146,14703856.3
3/17/23,8.7,9,8.6,8.9,213,2511659,22320196.3
3/16/23,8.7,8.8,8.5,8.6,64,586663,5094359.2
3/15/23,8.5,9,8.5,8.7,117,380868,3342725.7
3/14/23,8.3,8.7,8.3,8.5,63,243367,2071966.4
3/13/23,8.6,8.6,8.2,8.3,134,598711,5014309.2
3/10/23,8.8,8.9,8.5,8.7,141,506715,4385966.6
3/9/23,8.5,8.9,8.4,8.8,406,13492712,114965197
3/8/23,7.9,8.3,7.9,8.2,153,533907,4364126.4
3/7/23,7.5,8,7.5,7.9,155,693699,5408185.1
3/3/23,7.7,7.8,7.4,7.5,72,135608,1029126
3/2/23,7.5,7.9,7.5,7.7,114,812275,6269598.3
3/1/23,7.6,7.7,7.4,7.4,52,108975,808796.2
2/28/23,7.4,7.7,7.3,7.6,119,589263,4429389.8
2/27/23,7.8,7.8,7.3,7.5,122,339034,2528754.3
2/24/23,7.1,7.8,7.1,7.6,575,4054919,29930440.3
2/23/23,7.1,7.2,7,7.1,74,254341,1794441.5
2/22/23,6.7,7.3,6.7,7,262,3390578,23148384.7
2/21/23,6.7,6.7,6.5,6.6,44,34172,225765.5
2/20/23,6.7,6.7,6.5,6.6,24,34897,227570.7
2/17/23,6.7,6.7,6.4,6.5,50,66219,430050.3
2/16/23,6.3,6.7,6.3,6.6,26,11317,74584.7
2/15/23,6.3,6.5,6.3,6.4,23,15711,100559.3
2/14/23,6.5,6.5,6.1,6.4,78,188600,1197798.4
2/13/23,6.7,6.7,6.5,6.5,51,70652,460861.5
2/10/23,6.8,6.8,6.6,6.6,36,51863,342878
2/9/23,6.7,6.8,6.5,6.7,188,620913,4144483.5
2/8/23,6.8,6.8,6.6,6.7,76,186547,1245781.9
2/7/23,6.7,6.8,6.6,6.7,60,114196,763072.1
2/6/23,6.9,7,6.7,6.8,56,84783,574471.3
2/3/23,6.9,7,6.8,6.8,144,528190,3618033.5
2/2/23,6.9,7,6.8,7,57,109674,765038.7
2/1/23,7,7,6.6,6.8,83,88193,594740.4
1/31/23,6.8,7.3,6.6,6.7,510,2317858,16090610.5
1/30/23,7,7,6.8,6.9,65,100727,691823.1
1/27/23,7.1,7.1,6.9,7,36,164621,1152047.1
1/26/23,7.2,7.2,6.9,7,45,107275,747713.7
1/25/23,7.1,7.1,6.9,7,133,404240,2823840
1/24/23,7.3,7.3,6.9,7,59,175396,1241817.6
1/23/23,7.4,7.4,6.9,7.1,102,632436,4521394.8
1/20/23,6.9,7.3,6.8,7.2,88,174389,1234354
1/19/23,6.8,7,6.6,7,37,64867,449791.5
1/18/23,6.8,6.9,6.7,6.8,34,43835,297794
1/17/23,6.7,6.8,6.5,6.6,51,45064,297657.1
1/13/23,6.7,6.8,6.6,6.7,65,82435,549232.3
1/12/23,6.8,6.8,6.7,6.7,30,40735,275448
1/11/23,6.9,6.9,6.7,6.7,95,160412,1083661.1
1/10/23,7.1,7.1,6.8,6.9,66,458937,3132471.4
1/9/23,7,7,6.6,6.8,67,129155,872224.9
1/5/23,7,7,6.8,6.8,58,59971,411323.7
1/4/23,7,7.3,7,7,76,337816,2367634.1
1/3/23,7.4,7.5,7.1,7.2,38,88108,642029.6
1/2/23,7.2,7.2,7.1,7.2,36,27101,193030.6
12/30/22,7.4,7.4,7.1,7.2,10,15181,109081.1
12/29/22,7.5,7.5,7,7,32,43392,305113.3
12/28/22,7.3,7.4,7,7,46,173502,1218016.4
12/27/22,7.1,7.1,7,7.1,28,54454,386178
12/23/22,7.1,7.1,7,7.1,16,33606,237542
12/22/22,7,7.1,6.8,7.1,28,59312,412019.5
12/21/22,7.1,7.3,6.9,7,70,81492,571564.8
12/20/22,7.2,7.3,7.1,7.2,27,20255,146010.8
12/19/22,7.7,7.8,7.2,7.3,98,93645,697971.5
12/16/22,7.8,7.9,7.7,7.7,15,21491,166519.9
12/15/22,7.9,7.9,7.7,7.8,21,52116,409964.5
12/14/22,8,8,7.7,7.9,52,104987,828021.3
12/13/22,8,8.1,7.8,8,52,56287,449431
12/12/22,8,8,7.9,7.9,19,24353,193745.7
12/9/22,8,8.2,7.7,7.8,39,131906,1033114.2
12/8/22,7.9,8.5,7.9,7.9,77,109327,886276.9
12/6/22,7.8,8,7.7,7.9,30,43500,341352.5
12/5/22,7.7,7.9,7.6,7.8,39,58991,454329.8
12/2/22,7.8,7.9,7.6,7.7,43,42427,326529.1
12/1/22,8,8,7.6,7.7,66,65565,504407.1
11/30/22,7.3,8.2,7.3,7.9,120,285941,2207772.9
11/29/22,6.9,7.5,6.9,7.3,72,175706,1276530.9
11/28/22,6.9,7.5,6.8,7.2,50,129870,899100.9
11/25/22,7.1,7.1,6.7,6.9,44,70301,480115.3
11/24/22,6.9,7,6.9,7,31,32180,224749.7
11/23/22,6.7,7,6.5,6.9,65,135930,936049.1
11/22/22,6.7,6.7,6.6,6.6,41,54784,362341.8
11/21/22,6.5,6.5,6.3,6.3,82,100915,646303.2
11/18/22,7.2,7.2,6.5,6.5,109,108627,727962.8
11/17/22,7.1,7.1,6.9,7,34,22157,154865.4
11/16/22,7.3,7.3,6.9,7,73,236968,1658745.9
11/15/22,7.3,7.4,7.1,7.2,53,43969,318176.5
11/14/22,7.5,7.5,7.2,7.3,84,78306,568848.7
11/11/22,7.3,7.5,7.3,7.4,56,57906,431154.8
11/10/22,7.4,7.5,7.3,7.5,40,19813,146855.4
11/9/22,7.5,7.5,7.4,7.5,52,60589,453432.6
11/8/22,7.9,7.9,7.5,7.6,83,154141,1175100.9
11/4/22,8,8.3,7.9,8,51,32735,262332.5
11/3/22,8.3,8.3,8,8,54,138768,1113445.3
11/2/22,8.3,8.3,8,8.1,34,30491,247931.6
11/1/22,8.3,8.3,8.1,8.1,86,124222,1013710
10/31/22,8.6,8.7,8.2,8.3,97,185669,1559481.3
10/28/22,8.6,8.8,8.3,8.4,340,560196,4786096.1
10/27/22,9,9.2,9,9.1,54,143171,1303602.6
10/26/22,9,9,8.9,9,64,88266,789334.5
10/25/22,8.8,9.1,8.8,9,143,1204143,10835633.2
10/21/22,9,9,8.9,8.9,46,123266,1100128.8
10/20/22,9.1,9.1,9,9,35,255609,2301395
10/19/22,9.2,9.4,9,9.1,78,238815,2184085.9
10/18/22,8.9,9.2,8.8,9,69,1999220,17956387.2
10/17/22,9.1,9.2,9,9,47,169202,1531364.2
10/14/22,9.4,9.4,9,9.1,59,74924,681165.5
10/13/22,9,9.2,8.8,9,144,649444,5856321.2
10/12/22,8.4,9.1,8.2,8.8,106,355333,3066275.8
10/11/22,8.9,9.3,8.4,8.5,179,697889,6012578.4
10/7/22,9,9.1,8.8,8.9,140,648709,5792866.6
10/6/22,9.3,9.4,9,9,106,308751,2800453.7
10/5/22,9,9.6,9,9.3,101,197489,1827300.5
10/4/22,9.5,9.5,8.8,9,210,740414,6705340.9
10/3/22,9.8,10,9.4,9.6,173,285032,2742301.3
9/30/22,10.1,10.1,9.8,9.8,128,577872,5722031.6
9/29/22,10.1,10.2,9.8,9.9,103,810353,8041179.3
9/28/22,9.9,10.2,9.9,10,88,178158,1782319.8
9/27/22,10,10.2,9.8,10,224,1437830,14336858.3
9/26/22,10.4,10.5,9.9,10,246,947756,9531491.9
9/23/22,10.3,10.4,10,10,202,568847,5717132.4
9/22/22,10,10.7,9.9,10.5,478,4941021,52264211
9/21/22,10,10,9.7,9.8,169,498051,4869550.9
9/20/22,10.2,10.4,9.8,10,180,1544149,15422936.5
9/19/22,10.2,10.5,9.9,10.2,210,802042,8078640.9
9/16/22,10.2,10.3,9.9,10,225,763343,7672091.1
9/15/22,10.7,10.7,10.2,10.3,347,1296818,13597879.3
9/14/22,11,11,10.4,10.6,586,3551531,38080356.3
9/13/22,10,10.8,9.8,10.5,1125,7080894,72604102.7
9/12/22,9.5,10,9.5,9.8,436,3335825,32533070.7
9/9/22,9.3,9.3,8.9,9.1,228,987155,8935335.4
9/8/22,9.5,9.7,8.8,8.9,454,2411032,21983986.9
9/7/22,9.5,9.9,9.3,9.4,599,3307614,31520453.8
9/6/22,8.5,9.5,8.4,9.1,622,4412371,39806127.6
9/5/22,8.5,8.7,8.2,8.5,113,409273,3469250.7
9/2/22,8.9,9,8.4,8.5,144,399500,3417171.1
9/1/22,8.5,9.1,8.4,8.9,385,2337009,20629924
8/31/22,8.3,8.4,7.9,8.1,82,112715,924457.1
8/30/22,7.8,7.9,7.7,7.7,77,149534,1157540
8/29/22,8.1,8.2,7.8,7.8,100,175209,1399271
8/26/22,8.3,8.5,7.8,8.2,131,189016,1547782.1
8/25/22,8.9,8.9,8.2,8.5,391,1134016,9683716.3
8/24/22,7.8,8.7,7.5,8.3,419,1477519,12183163.6
8/23/22,7.9,7.9,7.4,7.5,163,595292,4519848.7
8/22/22,8,8,7.4,7.8,126,157720,1222982.1
8/19/22,8.2,8.2,7.6,7.7,147,437559,3406125.8
8/18/22,8.3,8.3,7.9,8,104,231381,1850486.8
8/17/22,8.5,8.5,8,8.1,155,355843,2885946.9
8/16/22,9.2,9.3,8.4,8.5,349,1643261,14389491.1
8/15/22,7.5,9.1,7.4,8.5,564,4774604,38898069.9
8/12/22,7.3,7.5,7.2,7.3,187,922051,6748180.7
8/10/22,7.4,7.5,7.3,7.4,111,583886,4343457.2
8/9/22,7.2,7.5,7,7.4,112,481332,3502227.6
8/8/22,7,7.2,6.8,7,78,150160,1045497.5
8/5/22,7.2,7.4,6.9,7.1,91,188511,1341519.8
8/4/22,7.5,7.7,7,7.1,153,515311,3740523.1
8/3/22,6.6,7.6,6.6,7.2,304,1183849,8350517.7
8/2/22,6.2,6.5,6.2,6.4,151,274405,1755688.6
8/1/22,6.4,6.4,6.2,6.2,48,168245,1045130.6
7/29/22,6.5,6.5,6.2,6.3,70,193947,1221384
7/28/22,6.3,6.5,6.2,6.5,24,21701,139886.5
7/27/22,6.4,6.4,6.2,6.2,43,50069,313551.4
7/26/22,6.6,6.6,6.3,6.5,18,51926,336348
7/25/22,6.6,6.7,6.5,6.5,40,42546,278328.8
7/22/22,6.6,6.6,6.5,6.6,32,32286,212310.1
7/21/22,6.5,6.8,6.5,6.6,63,158414,1045571.1
7/20/22,6.4,6.7,6.4,6.5,143,611566,3975151.1
7/19/22,6.3,6.3,6.2,6.2,57,125842,787999.1
7/18/22,6.2,6.3,6.2,6.2,48,125311,778728.2
7/15/22,6.3,6.4,6.1,6.2,84,233649,1454521.8
7/14/22,6,6.1,5.9,6,34,168514,1009181.9
7/12/22,6.2,6.2,5.8,6,117,842725,5103920.2
7/11/22,5.8,6.5,5.7,6.1,144,421788,2511017.6
7/8/22,5.7,5.8,5.4,5.6,58,123627,688054.4
7/7/22,5.7,5.7,5.4,5.5,131,821141,4501531.5
7/6/22,6,6,5.6,5.6,128,542801,3081250.5
7/5/22,6.2,6.2,5.9,6,147,485909,2916709.3
7/4/22,6.3,6.3,6.2,6.2,37,23877,148517.6
7/1/22,6.4,6.6,6.2,6.3,47,106520,668136
6/30/22,6.1,6.3,6.1,6.3,20,12625,77591.1
6/29/22,6.5,6.7,6.4,6.6,29,94409,617660
6/28/22,6.4,6.5,6.3,6.5,39,51541,330167
6/27/22,6.6,6.6,6.4,6.4,53,80359,516831.7
6/24/22,6.6,6.7,6.5,6.7,29,14616,96981.6
6/23/22,6.5,6.7,6.5,6.6,28,51401,335766.7
6/22/22,6.6,6.8,6.5,6.5,41,98734,653305.4
6/21/22,6.4,6.5,6.2,6.3,46,118499,746559.4
6/20/22,6.2,6.5,6.2,6.3,76,387834,2424920.8
6/17/22,6.9,6.9,6.2,6.4,89,201921,1299075
6/16/22,7.1,7.4,6.6,6.8,58,273257,1901094.9
6/15/22,7.1,7.2,6.9,7.1,68,309613,2192399.9
6/13/22,6.9,7.3,6.5,7.1,163,487097,3417551
6/10/22,6.9,6.9,6.4,6.7,112,460317,3052653.2
6/9/22,6.2,7,6.2,6.8,169,1111672,7322300.5
6/8/22,6.2,6.2,6.1,6.2,86,151959,938355.8
6/7/22,6.4,6.5,6.2,6.2,38,54556,341811.2
6/6/22,6.4,6.4,6.2,6.2,37,54251,341436.3
6/3/22,6.4,6.5,6.3,6.4,36,94267,602979.8
6/2/22,6.3,6.3,6,6.1,118,405624,2491794.1
6/1/22,6.6,6.6,6,6.1,110,171453,1062218.5
5/31/22,6.7,6.7,6.5,6.6,60,145943,962905.2
5/30/22,6.9,6.9,6.6,6.7,47,40535,274353.1
5/27/22,7,7,6.7,6.8,107,412498,2804987.3
5/26/22,7,7.1,6.9,6.9,73,61556,429664.1
5/25/22,6.9,7,6.9,7,30,148893,1036756
5/24/22,7,7.1,6.9,7,53,132578,922270.7
5/23/22,7.1,7.2,6.9,6.9,111,366087,2561809.7
5/20/22,7.2,7.3,6.9,7,113,418581,2934901.2
5/19/22,7.6,7.6,7.1,7.2,61,160306,1167354.5
5/18/22,8.1,8.3,7.4,7.7,163,793026,6267697.4
5/17/22,7.4,8,7.3,7.7,256,2524507,19140241.1
5/13/22,7,7.5,6.8,7,312,2509508,17599235.2
5/12/22,6.5,6.7,6.3,6.6,87,204597,1339970.1
5/9/22,6.7,6.7,6,6.1,136,736406,4450219
5/6/22,6.9,6.9,6.1,6.2,59,122343,766253.8
5/5/22,7,7,6.4,6.5,67,75249,494009.4
5/4/22,7,7.1,6.4,6.7,89,176493,1183127.4
4/29/22,6.9,7.2,6.4,6.7,105,161829,1102530.9
4/28/22,6.3,6.8,6.3,6.8,75,135600,906449.9
4/27/22,5.9,7,5.9,6.2,153,437249,2720039.9
4/26/22,6.5,6.5,6,6,39,44866,274324
4/25/22,6.9,6.9,6.8,6.8,27,80210,548060.8
4/8/22,7.2,7.3,7,7,112,543142,3818276.2
4/7/22,7.7,8,7.3,7.3,78,163389,1204725.4
4/6/22,7.9,8,7.6,7.8,97,207323,1643947.8
4/5/22,7.5,8.3,7.2,7.9,128,633730,4795029.8
4/4/22,7,7.4,6.9,7.3,108,473901,3431765.5
4/1/22,7.3,7.3,7,7,26,59853,421149.1
3/31/22,7.5,7.7,7.1,7.3,75,117116,863878.8
3/30/22,8,8,7,7.5,148,306757,2277743.9
3/29/22,9.2,9.2,8,8.1,246,470776,4011493.9
3/28/22,9.8,9.8,8.9,9,179,360979,3255414.8
3/25/22,9.5,9.7,9.3,9.5,67,155902,1485457.5
3/24/22,9.4,9.6,9.3,9.4,111,392903,3662004.6
3/23/22,9.8,9.8,9.4,9.8,41,108020,1040977.5
3/22/22,9.7,10,9.6,9.6,139,478862,4694483.1
3/21/22,9.9,9.9,9.5,9.6,71,81484,782399.7
3/18/22,9.9,9.9,9,9.1,147,500674,4577498.7
3/16/22,9.6,9.7,8.7,9.4,156,519542,4699408.1
3/15/22,9.6,9.7,9,9.5,154,358202,3279204.2
3/14/22,10,10,9.5,9.5,147,281542,2718335.4
3/11/22,10.3,10.3,9.3,9.9,150,337936,3359717.2
3/10/22,9.7,10.3,9.3,10.3,165,343967,3476284.2
3/9/22,10,10,9.4,9.6,260,1197085,11453075.8
3/8/22,11,11,9.8,10,293,644212,6561818.2
3/7/22,11.5,11.5,10.8,11,241,1149459,12772839.4
3/4/22,11.3,11.8,11.2,11.2,140,554483,6247669.4
3/3/22,11.6,11.6,11.4,11.4,156,230998,2654238.7
3/2/22,12.1,12.1,11.5,11.8,248,936154,11087446.7
2/28/22,11.8,12,11.7,11.9,333,1555908,18483279
2/25/22,11.5,11.8,11.2,11.7,128,294808,3383505.9
2/24/22,12,12,11.2,11.3,182,305249,3533436.6
2/23/22,12.6,12.7,11.5,12,210,592596,7091478
2/22/22,12.4,12.8,12.3,12.7,88,603588,7659760.3
2/21/22,13,13,12,12.4,210,696586,8689481.5
2/18/22,13.2,13.2,12.9,13,236,1542343,20034493.5
2/17/22,13.9,13.9,13,13.3,166,494824,6535957.4
2/15/22,13.9,13.9,13.5,13.8,65,80259,1102960.6
2/14/22,14.2,14.4,13.6,13.9,132,249123,3439643.1
2/11/22,13.3,14.3,13.3,14.2,176,534489,7431918.2
2/10/22,14,14,12.9,13.3,206,760124,10059088.6
2/9/22,14.5,14.7,13,13.3,336,1466916,19791177.4
2/8/22,14.9,14.9,13.9,14,303,663177,9328726.8
2/7/22,15,15.3,14.5,14.6,224,375306,5553503.4
2/3/22,14.6,14.9,14.4,14.6,131,1177062,17089151.3
2/2/22,15,15.3,14.4,14.6,219,388387,5685309.9
2/1/22,15.3,15.5,14.9,15,152,361531,5453231.2
1/31/22,15.2,15.4,15.1,15.1,83,84123,1278860.7
