Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,12.2,12.5,12,12.2,25,47580,578227.7
10/12/23,12,12.2,12,12.1,15,28568,345145.1
10/11/23,12.2,12.3,11.8,11.9,40,80612,963496.9
10/10/23,12.1,12.6,12,12.3,22,23308,282407.8
10/9/23,12.5,12.5,12.1,12.1,34,95037,1157142.8
10/6/23,12.9,13.1,12.6,12.6,43,168959,2194125.5
10/5/23,12.5,13,12.5,12.8,132,642032,8319094.8
10/4/23,12.1,12.5,12.1,12.3,12,29000,351040
10/3/23,12.2,12.5,12.1,12.2,10,33001,401820
10/2/23,12.8,12.8,12.1,12.2,23,120084,1467895.4
9/27/23,12.6,12.9,12.6,12.8,36,108984,1392117.9
9/26/23,12.7,12.8,12.4,12.7,15,25686,321904.5
9/25/23,12.8,12.8,12.5,12.5,22,76723,961219.5
9/22/23,12.6,12.8,12.5,12.6,50,183052,2305792.5
9/21/23,12.6,12.7,12.3,12.5,35,897934,11227393.6
9/20/23,12.4,12.6,12.2,12.4,26,67612,835927.6
9/19/23,12.7,12.8,12.5,12.6,48,200458,2510469.5
9/18/23,12.9,13,12.5,12.6,45,112333,1420103.2
9/15/23,12.8,13,12.5,12.8,48,55760,716784.4
9/14/23,12.9,13,12.5,12.6,38,141112,1795975.5
9/13/23,12.1,13.1,12.1,12.8,194,2181231,27626281.1
9/12/23,12.1,12.5,12.1,12.4,16,23955,294766.6
9/11/23,12.5,12.5,12.1,12.2,17,12826,156251.2
9/8/23,12.5,12.5,12.1,12.4,31,370828,4594880.2
9/7/23,12.5,12.5,12,12.4,26,14914,184251.4
9/6/23,12.6,13,12,12.1,184,413984,5197241.8
9/5/23,11.9,12.7,11.5,12.5,177,947363,11553493.8
9/4/23,11.8,12,11.3,11.5,44,55701,653073.5
9/1/23,11.8,11.8,11.4,11.7,13,5191,59426.8
8/31/23,11.9,11.9,11.5,11.7,34,118466,1367121.3
8/29/23,11.5,12,11.5,11.9,51,54577,649102.6
8/28/23,12,12,11.5,11.6,57,88113,1028580.7
8/25/23,11.7,12.1,11.6,12,58,47073,559200.2
8/24/23,12.4,12.4,11.8,11.9,73,59429,707661.8
8/23/23,12.7,12.8,12,12.2,118,208795,2579324.3
8/22/23,13.1,13.1,12.5,12.6,172,311432,3996023.1
8/21/23,13.5,13.8,12.9,13.1,392,855553,11403503.6
8/18/23,10.8,13.5,10.8,13.1,938,2708757,33748443.6
8/17/23,10.5,10.8,10.3,10.6,53,174203,1844821.8
8/16/23,10.5,10.5,10.2,10.5,17,21332,223727.5
8/15/23,10.8,10.8,10,10,37,95060,954750.9
8/14/23,10.5,10.8,10.2,10.3,12,36325,375044.7
8/11/23,10.8,10.8,10.3,10.5,18,11098,116571.9
8/10/23,10.7,10.8,10.5,10.5,26,195185,2056057.3
8/9/23,10.5,10.8,10.3,10.5,35,99037,1032660.3
8/8/23,11,11,10.4,10.5,44,285319,3010481.8
8/7/23,10.5,11.1,10.2,10.9,87,296156,3212429.2
8/4/23,10.8,10.9,10.5,10.6,27,68566,739886.4
8/3/23,10.7,11,10.4,10.9,103,377635,4005347.8
8/2/23,10.8,11,10.4,10.5,36,142008,1508468
7/31/23,11,11,10.7,10.7,28,50234,547402.9
7/28/23,10.7,11.1,10.7,10.9,81,308116,3372352.9
7/27/23,10.9,10.9,10.5,10.5,54,137218,1451052.2
7/26/23,10.1,11.1,10.1,10.7,348,1552846,16717669.2
7/25/23,10,10.1,9.6,10,33,97960,976350.4
7/24/23,10.5,10.5,10,10.1,41,192648,1968802.3
7/21/23,10.5,10.8,10.5,10.5,86,179851,1912358
7/20/23,10.2,10.9,9.9,10.7,222,625732,6506682
7/19/23,8.3,10.3,8.3,10,195,1553331,15230531.9
7/18/23,8.4,8.5,8.1,8.4,9,12316,102865
7/17/23,8.3,8.5,8,8.3,42,84962,713472.2
7/14/23,8.1,8.4,8.1,8.3,53,67400,559950.4
7/13/23,8.2,8.3,8.2,8.3,6,410,3373
7/12/23,7.9,8.2,7.9,8.1,29,71848,577869.8
7/11/23,8.1,8.1,7.9,7.9,10,4363,34472.7
7/10/23,8.3,8.3,8,8,11,4020,32376
7/7/23,7.9,8.3,7.8,8.1,29,44998,361344.7
7/6/23,8.2,8.2,7.7,7.9,20,32355,262754.7
7/5/23,7.9,8,7.8,8,19,6156,48842.6
7/4/23,7.3,7.9,7.1,7.8,23,27039,198966.9
6/28/23,7.3,7.3,7.3,7.3,4,5219,38098.7
6/27/23,7.7,7.7,7.6,7.6,3,6005,45638.5
6/26/23,7.4,7.6,7.4,7.5,10,4285,31982.9
6/23/23,7.2,7.7,7.2,7.5,6,4530,33864.1
6/22/23,7.5,7.5,7.5,7.5,2,2000,15000
6/21/23,7.7,7.7,7.7,7.2,1,4,30.8
6/20/23,7.1,7.8,7.1,7.2,13,2666,19232.4
6/19/23,7.3,7.3,7.3,7.7,1,9,65.7
6/16/23,7.7,7.7,7.7,7.7,5,2149,16547.3
6/15/23,8,8,7,7.4,15,26403,195185.6
