Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,13,13.3,13,13,8,2356,30643.6
10/12/23,12.8,12.8,12.8,12.8,3,3000,38400
10/11/23,12.8,13.3,12.8,12.8,6,1101,14122.8
10/10/23,12.8,13.4,12.8,13.4,4,111,1484.4
10/9/23,12.8,13.4,12.8,13.4,11,2600,33641.9
10/6/23,13.2,13.5,13.2,13.2,7,1741,22994.1
10/5/23,13.2,13.2,13.2,13.2,3,1425,18810
10/4/23,13.1,13.1,13,13,15,22184,288599.1
10/3/23,13.5,13.5,13.1,13.1,17,2975,39564.3
9/27/23,13.3,13.6,13.3,13.3,4,100,1331.5
9/26/23,13.6,13.6,13.6,13.6,3,107,1455.2
9/25/23,13.5,13.6,13.4,13.4,7,1626,21866.1
9/22/23,13.3,13.5,13.1,13.1,23,10987,144122.9
9/21/23,13.5,13.5,13.5,13.5,3,2500,33750
9/20/23,13.4,13.6,13.4,13.5,4,1501,20313.4
9/19/23,13.7,13.7,13.3,13.4,8,712,9597.6
9/18/23,13.6,13.6,13.3,13.5,27,28801,388026.7
9/15/23,13.5,13.6,13.5,13.5,6,1745,23557.7
9/14/23,13.4,13.6,13.4,13.5,22,287752,3884659.2
9/13/23,13.5,13.5,13.1,13.1,8,3232,42437.6
9/12/23,13.5,13.5,13.3,13.4,10,20665,278914.5
9/11/23,13.4,13.5,13.3,13.3,10,2564,34502.2
9/8/23,13.4,13.5,13.1,13.5,3,17500,236049.9
9/7/23,13.1,13.5,13.1,13.1,10,2373,31188.1
9/6/23,13.4,13.6,12.8,13.5,43,76979,1032837
9/5/23,13.2,13.2,12.8,13.2,15,2262,29438.4
9/4/23,13.2,13.2,12.9,13.2,7,3960,52257
9/1/23,12.8,13.1,12.7,13.1,15,1468,18784.4
8/31/23,13.2,13.2,12.8,12.8,12,11146,142684.4
8/28/23,13.5,13.5,12.8,12.9,26,13346,171666.6
8/25/23,13.1,13.4,13,13.4,16,24503,319214.8
8/24/23,13.2,13.5,13.1,13.1,4,319,4191.7
8/23/23,13.1,13.4,13.1,13.4,14,41060,548107.4
8/22/23,13.4,13.4,13,13.1,11,4488,58762.8
8/21/23,13.3,13.3,13.3,13.3,8,2362,31414.6
8/18/23,13.2,13.3,13,13.3,14,9373,124406.2
8/17/23,13,13.4,13,13.3,2,82,1066.4
8/16/23,13.4,13.4,13.3,13.3,8,2680,35679
8/15/23,13,13.4,12.8,13,13,35708,459090.9
8/14/23,13.4,13.4,13,13,19,20230,269840
8/11/23,13.3,13.4,13.3,13.3,11,8000,106420
8/10/23,13.2,13.4,13.2,13.2,7,20545,271199.4
8/9/23,13,13.1,12.7,12.8,23,17874,231354.9
8/8/23,13.2,13.2,13.1,13.2,13,22136,291682.3
8/7/23,13.2,13.4,13.2,13.2,22,36433,481017.6
8/4/23,12.8,13.2,12.7,13.2,29,93640,1213889.1
8/3/23,12.7,12.8,12.7,12.7,25,16639,211963.1
8/2/23,12.8,12.9,12.7,12.8,28,14576,186496.5
7/31/23,12.9,12.9,12.7,12.8,19,3999,50954.7
7/28/23,12.8,12.9,12.7,12.7,27,14915,190182.9
7/27/23,12.7,13,12.5,12.8,31,13136,168532.4
7/26/23,13,13,12.7,12.7,4,343,4359.1
7/25/23,12.7,13,12.2,12.7,23,6003,73929
7/24/23,13,13,12.7,12.9,25,11437,147597.4
7/21/23,13,13,12.9,12.9,14,2888,37475.4
7/20/23,13,13,12.8,13,13,3584,46410.3
7/19/23,13.2,13.2,12.9,12.9,22,11912,154426.9
7/18/23,13.2,13.2,13,13,11,1942,25380.2
7/17/23,13.4,13.5,13.3,13.3,23,27506,368472.6
7/14/23,13.3,13.5,13.3,13.3,24,6428,85741.8
7/13/23,13.1,13.2,13,13.1,7,1261,16513.1
7/12/23,12.9,13.3,12.9,13.2,28,11539,151285
7/11/23,13.1,13.1,12.7,12.8,22,18618,238218
