Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
3/31/21,176.25,176.25,176,180,4,12,2112.25
3/30/21,180,180,179.75,180,2,51,9179.75
3/26/21,179.5,180,179.5,180,4,656,118068.75
3/23/21,180,180,180,180,4,922,165960
3/22/21,180,180,180,180,3,26,4680
3/19/21,181.75,181.75,181.75,180,1,9,1635.75
3/18/21,177.25,177.25,177.25,180,2,53,9394.25
3/17/21,182.75,182.75,176,180,2,2,358.75
3/16/21,180,180,179.5,180,5,90,16190
3/15/21,179.75,180,179.75,180,10,160,28792.5
3/12/21,179.75,179.75,179.75,175,2,6,1078.5
3/9/21,182,185,161.25,175,8,283,50166.25
3/8/21,181.25,184,176,176.25,4,653,115030.75
3/5/21,176,176,174,175.75,9,217,38083
3/3/21,179,179,176,179,6,38,6703
3/2/21,179,179,179,179,2,268,47972
3/1/21,190.5,198.75,180,180.5,15,1169,211556.25
2/25/21,170.5,199.75,170,199,10,1169,204068.25
2/24/21,170,205,170,171,4,209,35745
2/23/21,175,175,175,175,1,195,34125
2/19/21,170,185,151.75,176,7,105,18476.75
2/18/21,168.75,168.75,168.75,170,1,1,168.75
2/16/21,169,180,168.75,170,4,313,53195
2/15/21,200,200,180,180,6,103,18590
2/12/21,173,200,170.25,191,14,940,169253.5
2/11/21,176.5,178,168.75,170.25,14,871,152915.25
2/10/21,182.5,182.5,167.25,196,2,15,2585
2/9/21,195,195,195,196,1,1,195
2/8/21,196,196,196,196,1,1,196
2/5/21,199.5,199.75,199.5,196,2,11,2197
2/3/21,194.75,194.75,194.75,196,1,50,9737.5
2/2/21,191,195,191,196,3,55,10705
2/1/21,206,209.75,180,196,14,1343,263138
1/27/21,210,214,210,213.5,6,818,174598
1/26/21,210,210,199,200,6,591,119210
1/25/21,202.5,203,198,202,10,1266,253887
1/22/21,200,203,198.25,201.5,16,3191,638509
1/21/21,201,203,200,200.25,10,1419,286919.25
1/20/21,201.25,203.25,201.25,202.75,20,2611,529656
1/19/21,219.75,219.75,210,210,10,349,73434
1/18/21,210,210,210,210,10,872,183120
1/15/21,207.25,210,207,208.25,15,3042,630300.25
1/13/21,207.25,210,207,208.75,11,802,166496.5
1/12/21,211.25,214,210,210,10,629,132368.5
1/11/21,210,220,210,214.25,6,98,21530.5
1/8/21,200.25,225,200.25,214.25,11,485,100727.5
1/7/21,216.2,216.2,215,215,11,590,127191.8
1/6/21,216.4,220,216.4,217.8,7,171,37249.6
1/5/21,221,222,215,216.4,15,1127,243945
1/4/21,222,228.9,212,213.1,18,2263,497433.8
12/31/20,228.8,228.8,221,221.2,15,2075,459995.5
12/30/20,230,238,220,223.1,41,2705,613622.5
12/28/20,249.9,252,230,233.3,166,14806,3565948.1
12/24/20,168.7,202.5,168.7,202.5,69,6517,1256892.1
12/23/20,141.6,144.4,127.5,135,11,68,8861.6
12/22/20,138.7,140,130.3,135,5,9,1241.7
12/21/20,140,140,130.1,135,20,2306,311817.4
12/17/20,131.9,131.9,131.9,128,2,5,659.5
12/15/20,123.8,131.2,123.8,128,7,519,66449
12/14/20,129.5,129.5,129.5,122.1,2,2,259
12/11/20,138.8,138.8,122.7,122.1,6,21,2880
12/9/20,122,129.5,121.5,122.1,12,1289,157335
12/8/20,124,124,123.1,122,2,15,1859.1
12/7/20,122,123,121.4,122,6,18,2195.4
12/4/20,122,122,121,122,10,1104,134279
12/3/20,121,122,121,120,2,7,852
12/2/20,120,120,120,120,2,1391,166920
11/26/20,127,127,125,125.9,8,2854,359260
11/25/20,117,117,117,122.2,2,20,2340
11/19/20,120,127.9,120,122.2,19,729,89071.3
11/17/20,116.1,116.1,116.1,116.1,2,131,15209.1
11/16/20,112,116.1,112,113.5,7,69,7805.9
11/13/20,119,125,112,113.5,11,451,53695.2
11/12/20,112,115.1,100,100.3,5,467,46851.1
11/10/20,115,116,115,118,5,13,1497
11/9/20,118,118,118,118,1,34,4012
11/6/20,112.5,118,112.5,118,4,219,25656.7
11/5/20,112,116.1,112,110,7,55,6197.8
11/4/20,110,110,110,110,2,100,11000
11/2/20,106.5,106.5,106.5,109.7,2,6,639
10/26/20,112,112,105.8,109.7,5,132,14477.8
10/22/20,118,118,118,105.8,1,1,118
10/21/20,122,122,118,105.8,2,11,1302
10/20/20,105,120,105,105.8,4,108,11431
10/19/20,120,120,120,120,1,1,120
10/14/20,120,122,120,120,3,133,15962
10/13/20,120,120,120,120,3,21,2520
10/12/20,120,120,120,120,5,163,19560
10/9/20,116.1,120,116.1,117.9,8,146,17218
10/8/20,138,138,116.1,116,2,3,370.2
10/7/20,116,116,116,116,1,150,17400
10/6/20,116,139.9,116,116.1,4,153,17785.1
10/5/20,126.5,126.5,116,116,6,222,25881
9/29/20,124.9,132,124.9,126.5,13,1556,194668.3
9/28/20,124.4,124.4,123,124.3,2,270,33560
9/25/20,123,124.5,123,124.4,5,300,37317.6
9/24/20,120,120,116,118.4,4,341,40370.8
9/23/20,116.3,122.4,116.3,116.6,4,156,18185.5
9/22/20,124.4,124.4,124.4,116.3,1,1,124.4
9/18/20,120,122.9,116,116.3,13,1219,141779.9
9/17/20,120,122.9,120,120.7,9,961,115938.1
9/10/20,124.8,124.9,124.8,124.9,4,656,81933.4
9/8/20,127,127,115.2,124.9,9,353,41680.7
9/4/20,127.9,127.9,127.4,127.5,4,190,24226.5
9/3/20,132,132,132,120.2,1,1,132
9/2/20,120,128.9,120,120.2,15,2239,272461.2
8/31/20,115,115,115,115,2,1941,223215
8/27/20,115,115,115,118.6,1,3,345
8/26/20,117,117,117,118.6,1,2,234
8/25/20,110,125,110,118.6,7,203,24040
8/19/20,110,111.8,110,111.8,5,212,23692.4
8/12/20,109.9,110,109.9,105,2,4,439.8
8/7/20,105,105.1,105,105,4,400,42005
7/31/20,102.6,102.6,102.6,109.8,1,10,1026
7/24/20,109.8,109.8,109.8,109.8,1,493,54131.4
7/21/20,100.2,100.2,100.2,100.1,1,1,100.2
7/17/20,98,98,98,100.1,1,9,882
7/14/20,105,105,105,100.1,1,10,1050
7/13/20,100.1,100.1,100.1,100.1,10,470,47047
7/10/20,100.2,104,100.2,100.2,4,311,31166
7/9/20,104.5,104.5,100.5,101,7,596,60331.5
7/8/20,99,100.9,99,100.8,4,414,41381.4
7/7/20,99.9,101.5,99.9,100,6,1054,105416.6
7/6/20,97.6,97.6,97.6,97.6,1,10,976
7/3/20,99.4,104,96,97.6,13,223,22051.5
7/2/20,96,96,95.1,95.1,4,814,77413.2
7/1/20,96.3,99.4,95,95,13,25477,2420511
6/30/20,98.9,98.9,95,96.3,13,531,51205.9
6/29/20,99,99,99,100.4,2,28,2772
6/26/20,100,105,99,100.4,7,296,29715
6/25/20,100,100,95,95,4,1021,97004
6/24/20,95,95.7,95,95.4,15,1257,119635.3
6/22/20,100,100,95,95.2,7,274,26100
6/19/20,99.9,99.9,99.9,95.3,1,10,999
6/18/20,95.1,99.9,95,95.3,5,204,19434
6/16/20,100,102.9,95.1,96.3,18,1041,100376.5
6/15/20,104.9,104.9,103,97.9,3,11,1142.7
6/12/20,97.6,103.9,97.6,97.9,7,169,16537
6/11/20,98,98,97,102.8,3,81,7880.1
6/10/20,102.8,102.8,102.8,102.8,1,1,102.8
6/8/20,102.8,102.8,102.8,102.8,3,101,10382.8
6/3/20,98,98,96,96.3,6,600,57782
6/2/20,100,100,98,98.5,4,185,18230
6/1/20,96.4,96.4,96.4,98,1,95,9158
5/28/20,100,100,96.1,98,9,572,56740.7
5/27/20,98.1,98.1,98.1,100.1,1,50,4905
5/26/20,100,100.1,100,100.1,5,132,13210
5/22/20,100.1,100.1,100.1,99.5,1,97,9709.7
5/21/20,111.5,111.5,98.9,99.5,8,657,65419.5
5/20/20,112.2,112.2,112.2,102.4,1,3,336.6
5/19/20,102.4,102.4,102.4,102.4,6,195,19968
5/18/20,112,114.1,97,101.6,24,1446,146935.1
5/15/20,114.9,114.9,96.5,96.6,13,1719,167685.7
5/14/20,101.2,114.9,101,101,20,1114,112559.9
3/20/20,120.1,120.1,120,125.1,2,20,2401
3/13/20,121,121,121,125.1,2,16,1936
3/12/20,121,121,121,125.1,1,4,484
3/11/20,125.1,125.1,125,125.1,2,110,13760
