Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/3/18,0.1,0.1,0.1,0.1,3,12500,1250
10/2/18,0.1,0.1,0.1,0.1,2,1750,175
10/1/18,0.1,0.2,0.1,0.1,23,41070,4753
9/28/18,0.5,0.5,0.2,0.2,14,39712,7982.4
9/27/18,0.4,0.9,0.3,0.3,19,23933,9150.1
9/26/18,0.5,2,0.1,0.4,15,11459,5288.6
1/27/15,39,50.2,39,47.6,106,28442,1379149
1/26/15,38.1,42,38,40.2,38,13490,524244.6
1/23/15,40,47.5,38,38.1,20,4192,168430.5
1/22/15,36,47.5,32.9,40,73,28639,1121843
1/21/15,40,40.5,33.3,33.5,57,40023,1442162.5
1/20/15,50,50,41.8,46.9,74,3174,148828.8
9/16/92,,0.5,0.5,0.5,2,25100,12550
