Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
1/18/16,4.8,6.5,4.8,4.8,46,34903,171804.9
1/14/16,6,7,4.7,6.3,24,2804,15953.5
1/13/16,5.5,6.2,5.5,5.8,7,2993,17206.5
1/12/16,3.4,5.1,3.4,5,27,20707,79373.4
1/7/16,5.5,5.5,4,4.1,10,3648,15771.4
1/6/16,5.7,5.7,5.2,5.3,7,1714,9178.4
1/5/16,6.3,7.5,4.6,6.2,14,2475,13124.1
1/4/16,6.2,6.2,6.1,6.1,12,4174,25581.4
12/31/15,8,8,8,8,3,2000,16000
12/29/15,7.5,8,7.5,8,7,839,6462
12/22/15,9,11,9,9.9,33,2509,24580.9
12/17/15,8.7,10,8.7,9.6,9,1017,9782.1
12/15/15,9,9.5,9,8,2,89,801.5
12/14/15,9.1,9.1,7.5,8,9,2878,23540.1
12/10/15,11.7,11.7,11.7,10,1,10,117
12/9/15,11,11,10,10,11,2107,21220
12/7/15,13.5,13.5,13,13.1,2,2,26.5
12/4/15,13,13.5,13,13.1,4,128,1672
12/3/15,13.1,14.3,13,13.6,8,1250,16905.2
12/2/15,13,13,13,13,1,100,1300
11/27/15,14.8,14.9,14.8,14.8,4,626,9264.9
11/26/15,12.9,14.9,12.7,12.8,9,1367,17524.3
11/24/15,15,15,13,13,5,1622,21140
11/20/15,15,15.5,15,12.5,3,74,1146.5
11/19/15,15,15,15,12.5,1,1,15
11/18/15,12.6,12.6,12.5,12.5,2,124,1555
11/16/15,16.5,16.5,16.5,16.5,1,112,1848
11/13/15,17.5,17.5,17.5,17.5,1,50,875
11/12/15,14,14,14,17.5,1,91,1274
11/11/15,17,17,17,17.5,1,78,1326
11/6/15,15.3,19,14,17.5,31,5157,89204.3
11/5/15,15.3,15.4,15.3,15.4,3,825,12672.5
11/4/15,16,16,16,18,1,99,1584
10/30/15,18,18,16,18,2,1501,27016
10/29/15,15.2,15.2,15.2,17.9,1,75,1140
10/26/15,17,17.9,15.3,17.9,8,1100,17638
10/23/15,18.4,19.5,18.1,18.8,18,3131,59217.6
10/21/15,16.1,16.1,16,16,6,683,10932
10/20/15,15,18.6,15,17.9,2,4,63.6
10/19/15,18,18.8,17,17.9,25,7738,139219
10/16/15,18,18,18,18,1,100,1800
10/8/15,18.9,18.9,18.9,18.9,2,112,2116.8
10/2/15,15.7,19.5,15.6,18,25,22336,398123.5
10/1/15,18,18,17,17.3,7,3400,58300
9/29/15,15.5,20,15.5,19.9,5,101,2005.5
9/25/15,19.8,19.8,19.8,17.6,1,1,19.8
9/21/15,17.6,17.6,17.6,17.6,7,3887,68411.2
9/17/15,17.1,20,17,17.5,10,4069,70539.5
9/16/15,18.1,21,18,18.1,10,429,7762.1
9/11/15,18.7,19,18.7,20,3,73,1386.7
9/10/15,18.2,20.1,18,20,10,1056,20492.1
9/8/15,23.8,23.8,20.2,20.3,5,1001,20272.3
9/7/15,21.1,21.1,20.1,20.4,4,276,5635.3
9/4/15,22.2,23.9,20.2,21,11,522,10968.1
9/3/15,22.2,22.2,22.2,22.6,2,60,1332
8/31/15,22.3,24,22.3,22.6,8,541,12140.8
8/28/15,22.4,23.9,22.4,23.9,4,101,2412.4
8/26/15,22.5,22.5,22.5,22.5,2,137,3082.5
8/25/15,23,23,22.8,22.8,4,417,9515
8/24/15,23.1,23.9,23,23.2,11,682,15810.3
8/21/15,25,27.4,23,27,13,706,17394
8/19/15,26,27.5,24,22,4,63,1517.5
8/18/15,22,29,22,22,2,1599,35185
8/11/15,29.4,29.5,29.4,28.2,7,24,706.6
8/7/15,27.5,27.5,27.5,28.2,1,10,275
8/6/15,27.1,27.1,27,28.2,4,76,2059.2
8/5/15,27.1,27.1,27.1,28.2,1,25,677.5
8/3/15,29.6,29.6,27,28.2,2,60,1646
7/30/15,27.1,29.5,27.1,28.2,3,231,6524.1
7/29/15,29.4,29.8,26.2,29.7,11,6920,194406.1
7/28/15,26.3,26.3,26.3,26.3,3,1023,26904.9
7/24/15,28,28,26.3,26.3,6,771,20338.5
7/23/15,26.3,28,26.3,26.5,3,289,7664
7/21/15,26,26,26,26,2,200,5200
7/20/15,25.1,25.3,25.1,25.2,3,608,15282.4
7/17/15,24.2,24.2,24.2,24.2,3,147,3557.4
7/16/15,24.1,24.5,24.1,24.5,5,188,4576.2
7/15/15,24.1,24.1,24.1,27.4,1,2,48.2
7/13/15,24.1,24.1,24.1,27.4,2,62,1494.2
7/10/15,27.2,30.9,27.2,27.4,2,30,853
7/6/15,22.6,29.8,22.6,27.4,2,30,750
6/26/15,27.4,27.4,27.4,27.4,2,33,904.2
