Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/12/23,799,799,620.25,749.5,2,3,2218.25
10/11/23,700,700,700,749.5,1,10,7000
10/3/23,740,740,740,749.5,1,1,740
10/2/23,750,750,750,749.5,1,5,3750
9/25/23,749,749,749,749.5,1,1,749
9/22/23,749,749,749,749.5,2,2,1498
9/21/23,745,745,745,749.5,1,3,2235
9/19/23,745,745,745,749.5,1,1,745
9/18/23,792,792,792,749.5,1,3,2376
9/14/23,748,750,748,749.5,4,100,74938
9/8/23,734.75,734.75,734,733.25,5,22,16159.75
9/6/23,710.25,710.25,710.25,733.25,2,20,14205
9/4/23,750,750,700.25,733.25,10,28,20230.5
8/29/23,736,736,736,733.25,3,35,25760
8/24/23,721,721,721,733.25,1,1,721
8/21/23,765,765,765,733.25,1,2,1530
8/18/23,730,730,728,733.25,3,70,51060
8/15/23,745,745,726.25,733.25,3,3,2197.5
8/14/23,730.25,737,730.25,733.25,9,117,85731
8/11/23,726,760,726,748.75,6,16,12126
8/10/23,725.5,779.75,725.5,748.75,2,2,1505.25
8/9/23,750,750,750,748.75,4,10,7500
8/8/23,751,799,751,748.75,2,8,6056
8/7/23,800,804,800,748.75,2,11,8804
8/4/23,760,780,760,748.75,5,29,22578.25
8/3/23,750,750,750,748.75,2,3,2250
8/2/23,750,750,740,748.75,11,158,118294.5
7/28/23,736,750,734,734.25,7,165,121162
7/26/23,770.5,770.5,770,797.5,4,5,3851.5
7/25/23,770.25,770.25,770.25,797.5,1,1,770.25
7/24/23,790,790,785,797.5,4,10,7880
7/21/23,795,797.5,790,797.5,9,46,36518.75
7/20/23,733,804,733,797.5,25,603,477806.5
7/19/23,731,780,731,733.25,5,118,86516
7/18/23,701.25,750,701.25,720.5,9,226,162703.5
7/17/23,715,715,700,713.5,9,89,62977.5
