Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,0.3,0.3,0.2,0.2,17,140826,31397.5
10/12/23,0.2,0.3,0.2,0.3,33,514558,143377.3
10/11/23,0.2,0.3,0.2,0.2,14,216142,58642.4
10/10/23,0.2,0.3,0.2,0.3,23,89830,24098.8
10/9/23,0.3,0.3,0.2,0.3,20,350028,103928.2
10/6/23,0.3,0.3,0.2,0.3,18,196683,59004.8
10/5/23,0.3,0.3,0.2,0.3,35,520684,156005.1
10/4/23,0.2,0.3,0.2,0.3,19,447345,114203.4
10/3/23,0.4,0.4,0.2,0.3,41,2091659,627407.8
10/2/23,0.3,0.4,0.2,0.3,43,970091,291027.7
9/27/23,0.3,0.4,0.3,0.3,19,1400833,421755.3
9/26/23,0.3,0.4,0.2,0.3,28,251952,75938.1
9/25/23,0.3,0.4,0.2,0.3,93,2117666,616352.7
9/22/23,0.3,0.4,0.2,0.3,88,1853666,556827.5
9/21/23,0.3,0.4,0.2,0.3,64,986499,289113.7
9/20/23,0.4,0.4,0.3,0.3,31,579183,175321.7
9/19/23,0.4,0.4,0.3,0.4,28,545656,164697.7
9/18/23,0.4,0.4,0.3,0.3,23,441904,132641.6
9/15/23,0.4,0.4,0.3,0.4,27,1128117,340246.8
9/14/23,0.4,0.4,0.3,0.4,33,1096755,329312.2
9/13/23,0.3,0.4,0.3,0.4,39,1062930,333037
9/12/23,0.4,0.4,0.3,0.3,12,251884,78153.6
9/11/23,0.3,0.4,0.3,0.3,41,1367323,410544
9/8/23,0.4,0.4,0.3,0.3,9,74739,22431.9
9/7/23,0.4,0.4,0.3,0.3,9,194141,59905.4
9/6/23,0.4,0.4,0.3,0.3,13,172384,51743.5
9/5/23,0.3,0.4,0.3,0.3,52,3688924,1106988.6
9/4/23,0.3,0.4,0.3,0.3,31,997852,299360.9
9/1/23,0.3,0.4,0.3,0.3,94,3932968,1180677.2
8/31/23,0.3,0.4,0.3,0.3,36,990887,297310.7
8/29/23,0.3,0.4,0.3,0.3,33,294392,94541.8
8/28/23,0.4,0.4,0.3,0.3,27,460267,138256.8
8/25/23,0.3,0.4,0.3,0.3,12,1101081,331097.4
8/24/23,0.3,0.4,0.3,0.3,16,402077,120624.7
8/23/23,0.4,0.4,0.3,0.3,24,642303,193171.3
8/22/23,0.4,0.4,0.3,0.3,35,1032400,313659
8/21/23,0.3,0.4,0.3,0.3,67,1875116,563189.6
8/18/23,0.3,0.4,0.3,0.3,45,2647070,796690.6
8/17/23,0.3,0.4,0.3,0.3,57,3054627,918573.6
8/16/23,0.4,0.4,0.3,0.3,10,133248,40979.2
8/15/23,0.3,0.4,0.3,0.3,12,95417,33604.3
8/14/23,0.4,0.4,0.3,0.3,97,8649152,2596159.9
8/11/23,0.3,0.4,0.3,0.3,33,2417178,726361.6
8/10/23,0.3,0.4,0.3,0.3,23,810029,245831.5
8/9/23,0.4,0.4,0.3,0.3,15,403388,121244.1
8/8/23,0.3,0.4,0.3,0.4,50,2674196,805156.4
8/7/23,0.4,0.4,0.3,0.3,32,904238,272874.2
8/4/23,0.4,0.4,0.3,0.3,24,658542,201845.4
8/3/23,0.3,0.4,0.3,0.4,51,4297848,1291806.4
8/2/23,0.4,0.4,0.3,0.3,17,595280,184037.2
7/31/23,0.4,0.4,0.3,0.4,22,672446,203602.3
7/28/23,0.4,0.4,0.3,0.3,17,133408,46234.2
7/27/23,0.3,0.4,0.3,0.3,15,49761,16104
7/26/23,0.4,0.4,0.3,0.4,20,118128,38676.3
7/25/23,0.4,0.4,0.3,0.3,14,182656,54800.6
7/24/23,0.3,0.4,0.3,0.4,30,1218302,376704.3
7/21/23,0.4,0.4,0.3,0.3,16,2523,862.2
7/20/23,0.3,0.4,0.3,0.4,31,704114,214684.7
7/19/23,0.3,0.4,0.3,0.4,34,2423316,940500.2
7/18/23,0.4,0.4,0.3,0.3,29,595189,187062
7/17/23,0.3,0.4,0.3,0.4,63,1514691,466907.6
