Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,12,12,12,12,1,15,180
10/12/23,12,12,12,12,1,607,7284
10/11/23,12,12,12,12,7,1025,12300
10/10/23,12,12,12,12,5,1130,13560
10/9/23,12,12,12,12,1,1,12
10/6/23,12.5,12.5,12,12,2,600,7450
10/4/23,12.7,12.8,12,12,3,1255,15063.9
10/3/23,12,12,12,12,5,1170,14040
10/2/23,11.8,12,11.8,12,6,337,4033.8
9/27/23,12.1,12.1,12,12.1,13,15000,180862.7
9/26/23,12.1,12.1,12.1,12.1,5,9898,119765.8
9/25/23,12.8,12.8,12.8,12.8,1,600,7680
9/22/23,12.6,13.9,12.6,12.7,15,20637,262987.1
9/21/23,12,12,12,12,1,100,1200
9/20/23,12,12,12,11.7,1,1,12
9/19/23,12,12,11.7,11.7,11,6525,77702.5
9/18/23,12.1,12.1,12,12.1,4,6000,72500
9/15/23,12.2,12.2,12.2,12.2,2,317,3867.4
9/14/23,12.5,12.5,12.1,12.1,7,1710,20697.5
9/13/23,12.3,13.7,12.3,13.1,28,7793,101510.1
9/12/23,11.6,12,11.5,12,7,1269,15156.4
9/8/23,11.9,11.9,11.3,11.6,4,3880,45026
9/7/23,12,12,12,12,3,9002,108024
9/6/23,12.4,12.5,11.9,11.9,4,1820,22466.1
9/5/23,11.5,12.4,11.3,12.3,10,10601,130242.4
9/4/23,12.2,12.2,12.2,12.2,6,1962,23936.4
9/1/23,12.2,12.3,12.2,12.3,4,2958,36336.6
8/31/23,11.8,12.3,11.8,12.3,6,4151,50958.8
8/29/23,11.4,11.4,11.4,12.2,1,1,11.4
8/28/23,12.2,12.2,12,12.2,2,2,24.2
8/22/23,12,12.2,12,12.2,12,1029,12435.5
8/21/23,11.5,12,11.5,12,3,215,2575
8/18/23,11.7,11.7,11.7,12,1,1,11.7
8/17/23,11.5,12,11.5,12,14,19929,233940.4
8/16/23,11.6,12,11.3,11.7,20,16296,184559.9
8/15/23,12,12,11.9,12,6,1967,23548.1
8/14/23,11.4,11.7,11.4,11.7,8,2200,25356
8/11/23,12,12,12,11.6,2,50,600
8/10/23,11.6,11.6,11.6,11.6,7,72360,839376
8/9/23,12.3,12.3,12,12,5,551,6667.3
8/8/23,11.6,11.6,11.4,11.4,3,1200,13715
8/4/23,11.5,12.5,11.5,12,6,7097,84664.2
8/3/23,11.8,11.8,11.8,11.8,2,930,10974
8/2/23,11.8,13.6,11.8,12.1,35,7861,96725.4
7/31/23,11.5,11.8,11.1,11.8,11,2545,29211.4
7/28/23,11.9,11.9,11.5,11.9,8,1005,11940
7/27/23,11.5,11.9,11.5,11.9,9,6729,77583.5
7/26/23,12,12.1,11.8,11.8,7,7051,84517
7/25/23,11.8,12,11.8,12,3,1000,11980
7/24/23,11.1,12,11.1,12,15,121117,1385819
7/21/23,11.5,11.5,11.5,11.4,1,64,736
7/20/23,11.4,11.4,11.4,11.4,2,120,1368
7/19/23,11.4,11.8,11.3,11.5,5,373,4284.9
7/18/23,11.2,11.3,11.2,11.2,3,1080,12104
7/17/23,11.6,12,11.5,11.5,8,1187,13671.5
