Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,29.9,29.9,29,31.8,2,46,1334.9
10/9/23,32,32,28.5,31.8,2,210,6685
10/6/23,32,32,32,28.2,1,10,320
10/5/23,32.4,32.4,32,28.2,3,56,1794.4
10/4/23,32.5,32.5,32.5,28.2,2,9,292.5
10/3/23,28.2,28.2,28.2,28.2,1,1000,28200
10/2/23,28.1,28.1,28.1,29,2,2,56.2
9/25/23,29,29,29,29,2,563555,16343095
9/22/23,30,30,30,30,1,500,15000
9/21/23,29,30,29,30,13,37135,1113745
9/20/23,29.1,29.1,28.6,29,4,615,17810
9/19/23,29.1,29.5,29,29,4,1001,29034.5
9/15/23,29.1,29.1,29,29,2,102,2963
9/14/23,30,30,30,30,1,80,2400
9/12/23,30,30,28.2,30,6,204,6116
9/11/23,28.1,30,28.1,30,6,8997,269861.5
9/7/23,28.1,31,28.1,28.8,4,130,3740
9/6/23,31,31,31,31,1,100,3100
9/5/23,30.6,30.6,30,30.2,8,380,11471
8/31/23,30.5,30.5,30.5,30.5,1,4,122
8/23/23,30.5,30.5,30.5,30.5,9,1281,39070.5
8/22/23,29.1,29.1,29,29,4,100,2902.5
8/21/23,28.5,30.5,28.5,29,15,1114,32303.5
8/15/23,29.9,31,29.6,29.7,9,1054,31307.2
8/14/23,30,30,29.9,29.9,3,100,2990.6
8/10/23,30.2,30.2,30,30.1,14,23801,714991.1
8/9/23,33.5,33.5,33.5,30.6,3,22,737
8/7/23,30.6,30.6,30.6,30.6,4,200,6120
8/4/23,31.5,31.5,30.5,30.6,4,150,4620
8/3/23,30,34,30,31,6,355,10855
7/28/23,32,33.9,32,32,8,477,15834
7/27/23,31.9,31.9,30.6,30.9,9,552,17063.6
7/25/23,31.5,31.5,31.5,31.6,2,33,1039.5
7/24/23,32,32,30.6,31.6,9,308,9733.8
7/21/23,33,33,31,31,9,348,10923
7/20/23,31.4,33,31.1,32.3,7,1600,51746.9
7/19/23,31.5,31.5,31.5,31.5,2,62,1953
7/18/23,31.5,31.5,31.5,31.5,1,100,3150
7/17/23,32.7,32.7,31.5,32.1,9,103,3303.1
