Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/2/23,105,105,105,105,3,570,59850
9/27/23,129.75,129.75,129.75,105,1,1,129.75
9/25/23,105,105,105,105,1,6,630
9/15/23,108.25,108.25,106,105,2,8,850.25
9/13/23,108.25,108.25,108.25,105,1,1,108.25
9/12/23,105,105,105,105,1,62,6510
9/11/23,108.25,108.25,105,105,8,2204,231447.5
9/8/23,105,105,105,105,1,319,33495
9/7/23,114.75,114.75,102,104,17,197,20559.25
9/6/23,106,115,106,104.25,3,35,3845
9/5/23,108,108,108,104.25,1,10,1080
9/4/23,108,112.75,104,104.25,11,1007,105029.25
9/1/23,107.25,107.25,107,113,2,7,750.25
8/31/23,113,113,112.5,113,7,102,11513.75
8/29/23,113.5,113.5,113.5,106,2,13,1475.5
8/22/23,106,106,106,106,7,432,45792
8/21/23,102,131,102,102.75,4,206,21159
8/18/23,134.5,134.5,134.5,135.5,1,1,134.5
8/17/23,125,140,111.25,135.5,8,331,45143.75
8/16/23,115,115,115,115,1,200,23000
8/14/23,110,115,110,115,4,35,3947.5
8/11/23,101,115,101,115,2,15,1585
8/10/23,115,115,115,115,5,270,31050
8/8/23,124.5,124.5,123.25,112.75,3,61,7527.25
8/7/23,114.5,128.75,111.25,112.75,8,59,7242.75
8/4/23,129,129,125.25,112.75,2,6,755.25
8/3/23,115.25,115.25,112,112.75,7,178,20072.5
8/2/23,130.25,130.25,114.5,117,4,55,6644.5
7/31/23,131.75,132,131,117,4,5,658.25
7/28/23,110,142.75,110,117,19,315,36792
7/25/23,115,115,115,114.25,2,25,2875
7/24/23,115,115,115,114.25,1,5,575
7/21/23,115,115,115,114.25,2,71,8165
7/20/23,115,115,115,114.25,1,6,690
7/19/23,115,115,100.25,114.25,6,102,11650.75
7/18/23,114.75,115,111,111,6,55,6249.5
7/17/23,109,114.75,109,111,14,106,11766.25
