Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,57.5,57.5,55,55.7,7,806,44961.5
10/12/23,56.8,57.9,56,57.1,7,1270,72386
10/11/23,57.9,57.9,55,56.1,16,4640,259851
10/10/23,56.9,56.9,55,55.5,24,3382,186508.7
10/9/23,59,59,55,56,52,12517,697810
10/6/23,57.1,59,57.1,57.1,6,965,55139.5
10/5/23,58.5,58.5,57.1,57.1,3,118,6763
10/4/23,57.2,59,56.8,57.1,51,9040,514782.8
10/3/23,58.5,58.5,57.2,57.6,34,10089,581549.8
10/2/23,59.5,59.5,58.5,58.5,13,2053,120669.9
9/27/23,59.5,59.5,59,59,12,3421,202839.5
9/26/23,59,59.5,59,59.1,10,4187,247898
9/25/23,59.5,59.5,59,59.1,6,517,30536.7
9/22/23,60,60,59.5,59.9,5,619,37101.5
9/21/23,58.5,58.5,58.5,58.9,3,85,4972.5
9/20/23,58.5,59.8,58.5,58.9,13,2976,175363
9/19/23,58.6,60,58.5,58.5,15,6312,369949.6
9/18/23,60.8,60.8,58.6,58.6,25,18205,1073177.2
9/15/23,60,60,59,59,23,7614,449450.1
9/14/23,59,60.8,59,59.6,31,6760,404420.6
9/13/23,60.8,60.8,59,59.5,14,3279,194125.8
9/12/23,59.3,59.3,59,59,22,15200,897279.6
9/11/23,61,61,59,59.3,21,2269,134652.3
9/8/23,59.9,61,59.9,60.5,9,189,11434.4
9/7/23,60,60,59.8,60,13,12012,720314.1
9/6/23,61.3,61.3,60,60,17,1745,105091.4
9/5/23,60.1,61,60.1,60.7,26,11878,720624.7
9/4/23,62,62,60,60.5,12,1116,67668.6
9/1/23,59.5,63,59.5,61.7,12,10066,621692.5
8/31/23,58.5,62,58.4,61.4,29,15627,929924.6
8/29/23,59,59,58.4,58.4,17,20283,1184755.2
8/28/23,59.7,59.7,58.4,58.4,49,35956,2104951.9
8/25/23,58.8,60,58,59.7,31,7583,453279.1
8/24/23,57.5,58.2,57,57.9,24,5738,328769.4
8/23/23,58.5,58.5,57,57.5,29,5228,301180.2
8/22/23,57.1,59.7,56.6,57.3,43,15351,876824.3
8/21/23,60.9,60.9,56.9,57.6,89,34202,1981926.2
8/18/23,60,61,59,59.6,76,27560,1650042.4
8/17/23,61.1,61.8,60,60.3,45,6547,396396.4
8/16/23,61.6,62,60.6,61.5,64,12872,783958.9
8/15/23,64,64,61.6,61.8,100,33521,2098241.7
8/14/23,64,65.5,63.2,64.4,28,7364,470427.1
8/11/23,65.5,65.5,64.5,64.9,15,2544,165885.6
8/10/23,63.7,65.5,63.1,63.6,54,71075,4541645.3
8/9/23,66.8,66.8,63.7,64.3,35,17602,1129397.3
8/8/23,66.5,66.7,64.9,65,38,14734,958596.4
8/7/23,67.1,67.4,65,66.7,30,7598,501442.8
8/4/23,64.2,67.3,64,64.2,40,9863,632296.3
8/3/23,64.6,66,64,64.3,84,27131,1742409
8/2/23,68.7,68.7,64,64.7,186,86902,5698650.1
7/31/23,69.9,69.9,67.5,68.5,80,28089,1920267.4
7/28/23,70.5,71,69.3,70.1,77,29926,2094344.4
7/27/23,71.4,71.4,69.5,70.9,91,48875,3479331.1
7/26/23,71.5,72.6,69.3,70.3,288,383501,27609382
7/25/23,67.3,72,67.3,70.9,202,327981,23071242.9
7/24/23,68.2,68.3,67,67.3,37,13651,924411.7
7/21/23,68,68.8,67,67.9,38,37294,2532085.7
7/20/23,67,68.8,67,67.6,26,52007,3524823.1
7/19/23,66.9,67.9,66.7,67,22,83336,5607631.3
7/18/23,68,68,66.3,66.9,18,3981,265639.1
7/17/23,68.8,68.8,66,66.4,55,31274,2086033.6
