Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,1.3,1.3,1.3,1.3,2,8200,10660
10/12/23,1.3,1.4,1.3,1.3,28,186870,242991.2
10/11/23,1.4,1.4,1.3,1.4,26,159318,212032.8
10/10/23,1.4,1.4,1.3,1.4,15,23214,32479.2
10/9/23,1.4,1.4,1.3,1.4,7,24172,31538.6
10/6/23,1.3,1.5,1.3,1.4,32,53825,70235.4
10/5/23,1.4,1.5,1.4,1.5,22,23551,32999.4
10/4/23,1.4,1.4,1.3,1.4,11,56694,79370.1
10/3/23,1.4,1.5,1.3,1.3,18,40496,52868.9
10/2/23,1.5,1.5,1.3,1.4,18,10765,14386.7
9/27/23,1.5,1.5,1.4,1.4,13,106514,149146.2
9/26/23,1.5,1.5,1.4,1.4,12,46611,67154.9
9/25/23,1.5,1.5,1.4,1.4,37,440159,650226.5
9/22/23,1.4,1.5,1.4,1.5,10,2109,3158.3
9/21/23,1.5,1.5,1.4,1.4,10,115030,162100.5
9/20/23,1.4,1.5,1.4,1.4,12,20721,29010.5
9/19/23,1.4,1.5,1.4,1.4,37,700167,1046250.5
9/18/23,1.4,1.5,1.4,1.4,6,44445,62223.1
9/15/23,1.5,1.5,1.4,1.4,21,131544,184161.7
9/14/23,1.4,1.5,1.4,1.4,24,76330,106878.8
9/13/23,1.5,1.5,1.4,1.5,12,25420,37935
9/12/23,1.5,1.5,1.5,1.5,10,11047,16570.5
9/11/23,1.5,1.5,1.4,1.4,26,278964,390650.5
9/8/23,1.4,1.5,1.4,1.5,23,137056,194651.7
9/7/23,1.4,1.5,1.4,1.4,27,76928,107856.8
9/6/23,1.5,1.5,1.4,1.4,19,66232,92745.4
9/5/23,1.5,1.5,1.4,1.4,43,365960,512365.9
9/4/23,1.5,1.5,1.4,1.4,22,34975,49094.4
9/1/23,1.5,1.5,1.4,1.4,11,53700,80450
8/31/23,1.5,1.5,1.4,1.5,8,49024,73435.8
8/29/23,1.5,1.6,1.4,1.5,58,532061,797094.5
8/28/23,1.5,1.5,1.4,1.5,12,10394,15540.9
8/25/23,1.4,1.5,1.4,1.4,38,586443,821287.8
8/24/23,1.5,1.5,1.5,1.5,11,44766,67149
8/23/23,1.5,1.5,1.3,1.5,36,157588,231199.3
8/22/23,1.5,1.5,1.4,1.4,23,53972,79958
8/21/23,1.5,1.5,1.4,1.4,13,18521,26429.4
8/18/23,1.3,1.5,1.3,1.4,14,9577,13537.9
8/17/23,1.4,1.4,1.4,1.4,14,151500,212100
8/16/23,1.4,1.5,1.4,1.5,19,47543,68343.1
8/15/23,1.4,1.4,1.4,1.4,4,26510,37114
8/14/23,1.5,1.5,1.4,1.4,28,162980,238370
8/11/23,1.4,1.5,1.4,1.4,44,1029125,1521127.2
8/10/23,1.4,1.4,1.3,1.4,14,42266,58672.4
8/9/23,1.5,1.5,1.4,1.4,26,90817,127157.3
8/8/23,1.5,1.5,1.4,1.5,28,5081,7511
8/7/23,1.4,1.5,1.4,1.4,20,268513,396688.2
8/4/23,1.5,1.5,1.3,1.4,20,221494,310116.4
8/3/23,1.4,1.5,1.4,1.4,39,153669,215357.6
8/2/23,1.4,1.5,1.4,1.4,19,45921,64419.8
7/31/23,1.4,1.5,1.4,1.5,17,13779,19664.2
7/28/23,1.5,1.5,1.4,1.5,16,17809,26053
7/27/23,1.5,1.5,1.4,1.4,60,259426,365533.2
7/26/23,1.5,1.5,1.3,1.4,88,530074,745092.9
7/25/23,1.5,1.6,1.5,1.5,19,191209,286838.7
7/24/23,1.4,1.6,1.4,1.5,60,571969,852986.5
7/21/23,1.4,1.5,1.4,1.4,17,51404,73080.1
7/20/23,1.5,1.5,1.4,1.4,11,12367,17590.1
7/19/23,1.4,1.5,1.4,1.5,41,307797,453875.5
7/18/23,1.4,1.5,1.4,1.4,17,148307,218989.8
7/17/23,1.5,1.5,1.4,1.5,22,113675,160183.4
