Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,190,197.5,185.5,194.25,74,18568,3565176.25
10/12/23,181.25,189.75,180,188,41,20374,3762663.5
10/11/23,184,187.5,182,182.25,33,14586,2666845.25
10/10/23,184,187.5,184,187.5,5,233,43368
10/9/23,192,192,184.25,185.25,51,12269,2283108.5
10/6/23,191,192,187.5,190,26,73518,14028773
10/5/23,196.5,197,191,193.25,11,1724,336085
10/4/23,191.75,194.75,190,191.25,41,27127,5165117
10/3/23,197.5,198,191,191.25,47,16843,3234062.25
10/2/23,195.5,197,190,195.5,60,21714,4177403
9/27/23,195,197,195,195.5,24,21231,4151784.75
9/26/23,195.25,197,193,195,20,2495,486993.5
9/25/23,196,199.5,195.75,196,23,5612,1103055
9/22/23,196.5,200,194.5,197,60,19277,3781363.75
9/21/23,198,199,196,197,53,22203,4388289.5
9/20/23,198.5,204,198,198,35,19333,3848863
9/19/23,205,205,198,198.5,60,79893,16031154.25
9/18/23,206,206.75,200.25,202.5,62,35526,7214650.25
9/15/23,207,208,205.25,206,68,45163,9314628.25
9/14/23,207.75,209.75,206,209,65,69129,14373709.5
9/13/23,206.75,208.75,204,208,111,46351,9569585.5
9/12/23,202.75,208.75,199.5,203.75,185,110947,22539655.5
9/11/23,203.25,203.25,199,201.75,76,38882,7847487.25
9/8/23,198.5,203,195.5,198.75,189,115368,22917070.5
9/7/23,191.5,198,188,194.75,161,126634,24480682.75
9/6/23,191.25,192.75,188,189.75,57,16181,3071534
9/5/23,189.5,192.75,189,191.75,116,74160,14163825.5
9/4/23,184.5,189,181,188.5,164,115427,21515669.5
9/1/23,187.75,189.5,182.5,185.75,123,49065,9103297
8/31/23,190,190,187.5,189.25,37,3442,649812.75
8/29/23,194.5,196,188,190.5,234,135791,26264716.5
8/28/23,195,199.75,188,188.25,241,86903,16852279.5
8/25/23,185.5,196,181,194.75,391,302230,57055867.75
8/24/23,182.25,188.75,180.75,185.75,133,73371,13664643.25
8/23/23,170,185,170,182.5,146,62378,11067510.25
8/22/23,173.5,173.5,169.5,172.25,74,22799,3910512.75
8/21/23,173,175.25,171,173.5,103,45694,7924869.5
8/18/23,167.75,172,165,169.75,176,78007,13142005.25
8/17/23,165.25,169,164,164.75,69,27894,4644438.5
8/16/23,167.75,169.75,167.5,168,37,6494,1091892
8/15/23,174,174,166,169,79,29303,4975083.25
8/14/23,174.75,175,167.5,170.5,102,52817,8982414
8/11/23,174,179.5,174,175.75,204,165579,29091912.5
8/10/23,168,173.75,166,173,164,196833,33119617.25
8/9/23,165.25,169,164.5,167.25,85,30753,5106651
8/8/23,161.75,167,160,164.75,135,114574,18764772
8/7/23,157,162.5,157,160,105,70092,11173347.75
8/4/23,160.5,161.5,156,160,71,72236,11554551.25
8/3/23,154.75,160.5,154.75,159.75,111,55204,8697864.5
8/2/23,150,153,150,152.25,45,15037,2264967.5
7/31/23,152,155,152,154.75,27,4389,672984.75
7/28/23,154.5,154.75,152.5,153.25,47,23476,3599604.25
7/27/23,157,157,153.5,153.5,18,11548,1774793.75
7/26/23,155,155,151,154.25,32,4383,674286.5
7/25/23,158,158,153,157.5,48,6896,1077588
7/24/23,157.5,160,157.5,158,46,9617,1522522.75
7/21/23,157,158.75,157,157.5,29,4468,703769.25
7/20/23,155.25,158,155.25,156.75,28,2877,450044.25
7/19/23,158,158,155,155.25,107,28171,4384249.75
7/18/23,159.75,162.5,158.5,159,166,65135,10461126.25
7/17/23,164,164,159.5,159.75,37,5090,814932.25
7/14/23,163,167,160,163,61,11656,1878399.5
7/13/23,164.5,169.5,162,163,165,226563,37990032.25
7/12/23,150,165.5,149.75,164.25,345,224816,35910761
7/11/23,151,151,147,150,32,5982,897067.5
7/10/23,146.25,151.75,146.25,151.25,76,33428,4995684.75
7/7/23,141,148.25,140,147,123,129285,18249966.75
7/6/23,139.5,140,136,139.75,35,8015,1118514.25
7/5/23,138,140,135,138.5,37,1727,238489.25
7/4/23,130,139.75,130,133.75,38,7500,1000965.5
6/28/23,129.25,133,128.5,131.25,22,2154,279405.75
6/27/23,130.75,130.75,128.5,128.75,39,4360,563794.25
6/26/23,129.5,133.5,129.5,130.75,21,9419,1220851.5
6/23/23,130,130,129.5,129.5,22,1315,170794.75
6/22/23,133.25,133.5,129.25,131,30,3976,519504.75
6/21/23,131,131,129,129.25,6,268,34632
6/20/23,133,133,128.5,128.75,29,5678,732648
6/19/23,130,130,129,130,15,1976,256130
6/16/23,133,133,130,130,12,4315,561760
6/15/23,130,133,128.5,130,23,4020,520606.75
6/14/23,131,134,129,130.5,40,15930,2073008.75
6/13/23,134.25,134.25,128.5,130,46,16501,2143358.5
6/12/23,134.75,134.75,127,128.5,30,20209,2595468.75
6/9/23,127.75,130,127.75,130,10,1805,234387.75
6/8/23,130,130,127.75,127.75,14,998,127600.25
6/7/23,130,130,128,128,30,13099,1677217.25
6/6/23,135.75,135.75,130,130,19,5082,663023.25
6/5/23,131,135.75,129.5,130,22,14526,1891152.75
6/2/23,134,134,130,130,23,8402,1092330.5
6/1/23,131,131,128.75,129.75,17,7440,966500
5/31/23,130,130,128.25,129.25,30,49984,6489467.25
5/30/23,126.25,131,126,129.25,56,16728,2159807.75
5/29/23,133,134,132,132.25,25,19573,2587712
5/26/23,135,135,132.25,133.5,6,22,2958
5/25/23,133.5,133.75,132.5,133.5,19,9284,1239184.75
5/24/23,133.25,136.75,133.25,133.75,13,7637,1021843
5/23/23,132,132.5,132,132,14,11131,1470136.25
5/22/23,132.75,137,132,132.5,23,6994,927506
5/19/23,132.75,135,132.5,132.5,13,3024,401070
5/18/23,135,135,133.25,133.25,14,1961,261931
5/17/23,134.75,135,132.75,133,48,14186,1887469.75
5/16/23,136.5,137,132.75,133.25,83,35769,4777373
5/15/23,138,138,137.75,138,5,108,14902.25
5/12/23,134,137,133,133.5,42,9205,1232686.75
5/11/23,135,137,134,134.5,35,7847,1060327
5/10/23,136,136,134.5,135,41,13681,1856628
5/9/23,139,139,135,135.5,104,43526,5924099.25
5/8/23,138,142,136.5,137.75,28,5635,776686
5/4/23,140,140,135,138.25,26,3842,533130.75
5/3/23,137,139.75,137,138.5,48,6278,870102.25
5/2/23,137.25,140,136,137,52,8655,1184621.25
4/28/23,141.25,142.75,138,140,59,8432,1172323.75
4/27/23,141.5,141.5,139,140,72,21534,3021453.5
4/26/23,144.5,144.5,142,142.5,21,340,48629.5
4/25/23,145,145,143,143,30,4406,636857
4/24/23,147.75,149.5,144,146,20,4094,595881.25
4/21/23,144.5,148.75,143.5,144.75,38,24443,3534630.75
4/20/23,144.5,149.5,144.25,144.5,30,18793,2714129.75
4/19/23,150,150,144,144.25,19,1176,170953.25
4/18/23,152,153.5,140.5,145.5,44,8593,1264594.75
4/17/23,150.25,153.5,148.5,152.5,24,3172,485889.5
4/12/23,148,152,145,149,29,4844,721732
4/11/23,145.5,147,144,145,42,20561,2982031
4/10/23,143.5,146.5,140.5,145.5,59,11924,1715459.25
4/6/23,143.25,145.75,143.25,143.5,20,2162,310494.75
4/4/23,146.75,146.75,144,144,16,5642,815496.75
4/3/23,147,147,143.5,144.25,30,6547,945131.25
3/31/23,147,147,144,145,22,2794,405570.75
3/30/23,145.75,146.75,145.75,146,16,1780,259830.25
3/29/23,145.5,147,145.25,146.5,22,4307,626742
3/28/23,148,149,146,146.25,18,2549,372841
3/27/23,146,150.75,146,146.25,26,4753,697451.5
3/24/23,146.25,151,146,146.5,41,17025,2492540.25
3/23/23,153,155,148,151.5,29,2666,402720.75
3/22/23,158.5,158.5,152.5,153.75,20,12747,2011148.75
3/21/23,160,160,150.25,154.5,63,22014,3431644.5
3/20/23,161,161,160,160,17,1673,267831.75
3/17/23,161.25,162,159.5,160,25,5583,896750.75
3/16/23,160,169.75,160,161.25,35,8301,1362285.5
3/15/23,160,162,157.25,157.5,62,7116,1127268.75
3/14/23,159,165,159,162.75,150,45452,7388135.25
3/13/23,152,159.75,150.75,158.25,158,56850,8909874.5
3/10/23,151,157.25,151,152.75,59,19475,2995993
3/9/23,148,155,145,150.75,124,74254,11046598.5
3/8/23,141,155,141,147,77,39226,5791616.25
3/7/23,139.25,141,139.25,140.75,79,69180,9705216.25
3/3/23,139.5,139.75,137.75,139.25,55,9959,1381495.5
3/2/23,140,140,139,139.75,40,28022,3918368.5
3/1/23,140,140,138.25,139.75,19,8435,1177895.75
2/28/23,139.25,140,138,139,22,3898,539747
2/27/23,140.5,141.25,138,138.75,38,6953,970014.25
2/24/23,141.75,142.5,140,140.75,27,1330,187286.5
2/23/23,139.75,145,139.75,140,46,33597,4714821
2/22/23,140,140,139,139.75,22,3442,480912
2/21/23,140,140,137,137.25,50,14817,2049840.75
2/20/23,140,140,136.25,139.25,57,41651,5759315
2/17/23,140,140,137.5,139.25,17,2640,367929
2/16/23,140,140,137.5,139.75,35,4387,612202.25
2/15/23,144.75,144.75,137.5,138.25,47,11132,1539452.25
2/14/23,141,144.75,140,140,41,12748,1786507.5
2/13/23,142.5,145.75,140,141.25,44,10084,1426346.25
2/10/23,144.5,144.5,141.25,144.5,37,8639,1225292.25
2/9/23,146,146,141,143.25,45,6629,947937
2/8/23,144.75,146.75,144,145.25,21,2510,362780
2/7/23,147,147,144,144.5,50,4630,669331.75
2/6/23,147.25,148,147,147.25,30,2624,386740
2/3/23,147.5,148,147,147.25,19,11563,1702875.75
2/2/23,147.5,147.5,144,144.25,45,7146,1045764.25
2/1/23,148.5,148.5,147.5,147.75,47,7008,1035726.75
1/31/23,150,150,148,148.5,25,9937,1475279.25
1/30/23,149,152,147,149.25,28,10169,1518161
1/27/23,153,153,149,150,14,3673,551014
1/26/23,149,152,147,149.75,57,40513,6041539.25
1/25/23,146.5,153,146.5,148.5,17,3370,499458.5
1/24/23,151.75,152.5,146,149,79,23061,3422132.75
1/23/23,150,156,148,149.5,81,17915,2693317.75
1/20/23,145,150,144,147.75,84,27899,4104193
1/19/23,150,150,143,144.25,200,132856,19248649.25
1/18/23,158,159.25,155,155.75,15,7660,1200230
1/17/23,154,155,151,154,35,9313,1432126
1/13/23,153.5,157.5,153,153,17,7783,1191873
1/12/23,156,156.5,153.75,153.75,24,17164,2643486.5
1/11/23,159,159.75,154.5,154.5,11,918,144506.75
1/10/23,155,158,154,156.5,31,11018,1700408.75
1/9/23,155,155,154.25,154.75,34,12843,1981701
1/5/23,159.5,159.5,153,155,75,33472,5190220.25
1/4/23,159.5,159.5,157,157.75,47,8942,1408590
1/3/23,163.5,163.5,158,159.5,50,14961,2388291.25
1/2/23,158.25,160,158,159.5,50,31500,5031541
12/30/22,155.25,160,155.25,157.5,28,11665,1847481.75
12/29/22,159.75,160,154,158.75,62,20992,3338878.25
12/28/22,158,160,155.25,156.25,30,11279,1770541.25
12/27/22,157.75,160,155,159.75,39,14146,2260244
12/23/22,155,158,152,157.75,34,2337,363881.25
12/22/22,163.75,163.75,156.75,158.25,33,4509,715706.5
12/21/22,167,167,157,157.5,69,12794,2029959.75
12/20/22,167.75,168,163,163.5,33,2569,424412.5
12/19/22,163,169,163,167,11,1199,198511
12/16/22,170.5,170.5,165,165.25,38,2054,342486
12/15/22,173.75,173.75,170,171,23,6038,1034862.25
12/14/22,173,174.25,167.75,171.25,39,14623,2524445.25
12/13/22,167.5,179.5,167.5,169.75,70,14929,2527904
12/12/22,178,180,177,177.75,40,13418,2386269.25
12/9/22,178,180,177.5,178.25,57,13990,2504468.75
12/8/22,179.75,180,176.25,179,30,6596,1177655.25
12/6/22,179.75,179.75,177,179.25,49,8463,1516228.5
12/5/22,179.75,179.75,178,178.25,57,14723,2629275.25
12/2/22,177.5,180,173,178.25,41,8329,1483665.5
12/1/22,174.75,180,165,175,92,32186,5548124.75
11/30/22,167,174.5,163.5,170,57,12948,2172972.25
11/29/22,164,168,161,164.25,48,13603,2238321.25
11/28/22,159,163.5,159,160,30,6970,1115027.5
11/25/22,159.75,160,152.25,155.5,50,10332,1601789.25
11/24/22,163.5,163.5,157.75,159.75,28,1099,175196.5
11/23/22,163,163,158.5,162.25,51,25484,4079810.5
11/22/22,157.75,162.75,157.75,162.75,81,68178,10813071.5
11/21/22,159.75,159.75,151.25,155.75,46,15303,2368098
11/18/22,164.75,165,155,155.5,69,17774,2820707.25
11/17/22,165,169.25,160,160.75,113,97227,15639640.25
11/16/22,157,158,150.5,156.5,61,10483,1620719.75
11/15/22,160,162,157,157.5,47,9581,1535982.75
11/14/22,164,164,160,160,44,3407,549145
11/11/22,165,169.25,163,164.5,27,21607,3573947
11/10/22,163,169.5,163,163.5,20,6882,1125806
11/9/22,157.5,165,156.5,160,68,23709,3761007.5
11/8/22,173.5,173.5,157,157.5,70,12413,2006329.25
11/4/22,170,185,170,173,44,9558,1659325.5
11/3/22,187,187,180,180.5,32,8054,1454792.5
11/2/22,190,192,185,186.25,39,4865,906409.5
11/1/22,186.25,190,186.25,189.5,22,1292,244828
10/31/22,195,196.75,190,191,51,3565,682956.5
10/28/22,195,200,190.5,193.25,197,65854,12943286.75
10/27/22,192,193,190,192,33,8317,1595578.25
10/26/22,192,192,187,190,15,4413,838005.75
10/25/22,192,194.5,185,186,28,6701,1248003.5
10/21/22,202.5,202.5,190,193,84,13715,2668274.25
10/20/22,203,204,202.5,202.5,10,191,38705
10/19/22,204.5,207,203,204,26,1980,405378.5
10/18/22,208,208,201,204.25,29,11419,2339166.25
10/17/22,210,210,200.25,202,40,11088,2244793.5
10/14/22,215,215,206.5,209,34,7788,1642862.5
10/13/22,210,215,206,212.5,64,21928,4657276
10/12/22,204,209.75,200,205.75,67,20252,4139284
10/11/22,211,212.5,200,200.25,96,34216,6881979.75
10/7/22,211,215,209,210.75,79,19882,4204186.25
10/6/22,220,220,212,215.25,48,6432,1389435.25
10/5/22,225,225,216.25,221.25,55,16073,3543319.25
