Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
9/24/12,86,104,85,96.7,139,142882,13220085.5
9/21/12,82,85,82,85,3,199,16324
9/20/12,85,85,80,84.6,18,1550,130850.1
9/19/12,79,85,79,84.7,7,15678,1318039
9/18/12,85,89,82,82,26,15142,1286525
9/17/12,85,85,85,85,8,2701,229585
9/14/12,80,85,80,85,19,2518,211856.3
9/13/12,80,80,79.1,79.9,9,280,22304.5
9/12/12,82,82,82,82,3,115,9430
9/11/12,85,85,82.6,82.6,4,4,337.6
9/10/12,84.9,84.9,84.9,84.9,1,45,3820.5
9/7/12,85,85,85,85,3,201,17085
9/4/12,85,85,84.6,85,11,864,73400
9/3/12,89,89,89,89,2,12,1068
8/30/12,88.9,89,88.9,89,2,16,1422.5
8/28/12,89,89,89,89,1,1,89
8/24/12,89.8,89.8,84.5,84.5,4,697,59013.1
8/23/12,85,85,85,85,5,5801,493085
8/22/12,90,90,85.1,85.1,2,5000,430400
8/21/12,85,85,85,85,1,1,85
8/20/12,85,85,85,85,1,1,85
8/17/12,84,89,84,89,3,83,7027
8/15/12,88.5,88.5,88.5,88.5,1,119,10531.5
8/14/12,89.4,89.4,85,85,4,97,8258.2
8/10/12,85,90,85,89.4,15,26402,2354509
8/9/12,88,88,88,88,4,700,61600
8/7/12,89,89,89,89,3,890,79210
8/6/12,71,90,71,89.9,23,68529,5482143
8/3/12,73,73,73,73,3,5,365
8/2/12,72.2,72.2,72.1,72.2,2,200,14430
7/31/12,73,73,73,73,5,85,6205
7/24/12,78,78,65.3,68.1,13,14,963.9
7/17/12,79,79,79,79,2,4,316
7/13/12,72,79,72,79,4,227,16358
7/9/12,79.8,79.8,79.8,79.8,1,1,79.8
7/6/12,70,70,70,70,1,100,7000
7/5/12,80,80,80,80,1,1,80
7/4/12,80,80,80,80,1,1,80
6/29/12,80,80,80,80,2,215,17200
6/28/12,90,90,89,89,5,2500,224500
6/25/12,80,80,80,80,2,2,160
6/21/12,80,80,80,80,1,1,80
6/20/12,75.1,75.1,75.1,75.1,1,16,1201.6
6/19/12,75,79.9,75,75,2,101,7579.9
6/15/12,75,80,75,80,4,177,13660
6/13/12,80,80,80,80,1,1,80
6/8/12,75,75,74.9,74.9,4,4,299.7
6/7/12,61,61,61,61,1,10,610
5/31/12,58.1,65,58.1,60,4,237,14149
5/30/12,60,60,60,60,1,20,1200
5/29/12,60.1,60.1,60.1,60.1,1,10,601
5/28/12,60,60,60,60,3,100,6000
5/25/12,60.1,60.1,60.1,60.1,1,7,420.7
5/23/12,59.1,59.1,59.1,59.1,1,100,5910
5/22/12,68.8,68.8,68.8,68.8,3,19,1307.2
5/18/12,68.8,68.8,68.8,68.8,2,35,2408
5/14/12,68,68,68,68,2,500,34000
5/11/12,65,72,65,68.8,4,20,1375
5/10/12,55.5,55.5,55.5,55.5,2,81,4495.5
5/9/12,73,73,73,73,2,3000,219000
5/8/12,77,77,77,77,2,285,21945
5/3/12,77.1,77.1,77.1,77.1,1,500,38550
4/30/12,84.8,84.8,77,80.9,2,2,161.8
4/27/12,80,80,80,80,1,20,1600
4/26/12,80,80,80,80,4,100,8000
4/25/12,80,84.7,80,82.5,4,18,1484.1
4/24/12,78,78,78,78,1,1,78
4/23/12,86,90,76,90,5,203,17393.5
4/19/12,91.8,91.8,91.8,91.8,1,50,4590
4/18/12,85,86,85,86,3,62,5279
4/11/12,92,92,92,92,1,1,92
4/9/12,86,86,86,86,2,81,6966
3/28/12,92.9,92.9,92.9,92.9,1,1,92.9
3/23/12,94,94,94,94,1,4,376
3/21/12,82,95,82,82.9,2,1482,122824
3/20/12,90,90,90,90,1,1,90
3/19/12,88.9,88.9,88.9,88.9,5,1616,143662.4
3/16/12,88.9,90,88.9,90,3,1484,132037.6
3/15/12,88.8,88.8,88.8,88.8,1,1,88.8
3/14/12,88,88,88,88,2,17,1496
3/9/12,76,88.9,76,76.1,7,617,46916.5
3/8/12,76,76.2,76,76.1,2,600,45680
3/6/12,88.9,88.9,88.9,88.9,2,13,1155.7
3/5/12,79,89,76.8,89,3,101,7771.2
3/2/12,79.2,79.2,79.2,79.2,1,100,7920
3/1/12,79,79,79,79,2,1999,157921
2/29/12,77,89.9,77,85.6,2,3,256.8
2/28/12,76.3,76.3,76.3,76.3,1,3,228.9
2/24/12,110,110,96,96,2,2,206
2/22/12,85,85,85,85,3,300,25500
2/17/12,85,85,85,85,1,200,17000
2/16/12,84.9,87,84.9,84.9,4,400,34180
2/14/12,80.5,84.9,70,84.9,4,700,55740
2/13/12,80.5,85,80.5,85,5,600,48750
2/9/12,80.5,80.5,80.5,80.5,1,1000,80500
2/8/12,80,86.8,80,83.1,14,4200,340340
2/1/12,92,110,91.3,95.3,6,700,66740
1/25/12,88,106,88,98.2,6,600,56870
1/24/12,92.8,92.8,90.3,90.5,10,2300,210530
1/23/12,92.8,92.8,92.8,92.8,1,100,9280
1/20/12,107.9,107.9,92.7,92.7,2,600,57140
1/19/12,90.1,90.6,90.1,90.6,5,900,81290
1/11/12,109,110,109,109.9,7,4800,527700
1/9/12,100.1,110,100.1,110,2,1100,111100
1/5/12,104,105,104,104.7,2,1400,146600
1/3/12,104,104,104,104,1,300,31200
1/2/12,100.2,100.2,100.2,100.2,1,200,20040
12/29/11,105,105,104.9,105,2,200,20990
12/28/11,100,100,100,100,2,900,90000
12/23/11,100,100,100,100,5,1700,170000
12/22/11,100,100,100,100,8,27500,2750000
12/21/11,100,100,100,100,1,300,30000
12/19/11,100,100,100,100,2,500,50000
12/12/11,100,100,100,100,3,4900,490000
12/9/11,103,103,103,103,1,200,20600
12/8/11,102,102,102,102,1,1000,102000
12/6/11,102,102,102,102,1,100,10200
12/2/11,108,110,100,109.4,7,5900,645700
12/1/11,102,107,102,104.5,6,600,62700
11/29/11,102,102,102,102,2,3000,306000
11/28/11,104,105,104,105,4,5600,587400
11/25/11,100,100,100,100,4,1500,150000
11/24/11,102,103,102,102.1,2,7200,735400
11/22/11,102,102,102,102,1,500,51000
11/21/11,105,105,105,105,1,400,42000
11/18/11,102,102,102,102,1,100,10200
11/17/11,104.5,104.5,102,102,2,1000,103250
11/16/11,105,105,100.1,100.1,5,2900,297640
11/15/11,106,107,106,106.1,9,5500,583500
11/14/11,102.1,102.1,102,102,4,800,81610
11/9/11,108.1,108.1,108.1,108.1,1,300,32430
11/4/11,110,110,110,110,1,100,11000
11/1/11,120,120,120,120,3,25000,3000000
10/31/11,120,120,120,120,2,700,84000
10/28/11,119.8,125,119.5,120.8,18,4100,493680
10/25/11,104,104,104,104,1,300,31200
10/20/11,102,102.5,101.2,102.1,6,2400,244970
10/18/11,105.1,105.1,102,102,8,6200,644740
10/17/11,107,107,107,107,1,100,10700
10/14/11,109.9,110,109.9,110,9,3500,384990
10/12/11,105,105,105,105,1,100,10500
10/7/11,110,110,110,110,6,1300,143000
10/6/11,112,112,112,112,5,3000,336000
10/5/11,103.7,110,103.6,110,19,8300,888540
10/3/11,110,0,,110,7,3100,341000
9/29/11,107,107,107,107,5,3600,385200
9/28/11,107,107,107,107,2,800,85600
9/27/11,107,107,105,106.2,9,2100,222530
9/26/11,105,107,105,106.4,13,4900,518520
9/22/11,105,105,103.5,104.8,12,3000,314700
9/20/11,103,113.8,103,106.6,3,300,31980
9/16/11,105.5,109,103,108.8,7,1200,126250
9/15/11,106.8,106.8,106.8,106.8,1,100,10680
9/13/11,113,113,105.6,105.9,4,700,74860
9/12/11,113,113,113,113,1,200,22600
9/9/11,113,113,113,113,1,200,22600
9/8/11,115,115,112,115,6,1000,113700
