Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,5.3,5.5,5.3,5.4,185,2234389,12040511.6
10/12/23,5.2,5.4,5.2,5.3,281,2546893,13463406.1
10/11/23,5.5,5.5,5.2,5.2,350,4076118,21588539.5
10/10/23,5.4,5.5,5.3,5.4,190,2972161,16052403.7
10/9/23,5.5,5.5,5.3,5.4,390,5151118,27673231
10/6/23,5.5,5.6,5.4,5.5,123,727672,3996611.8
10/5/23,5.5,5.6,5.4,5.5,234,1742110,9584744.9
10/4/23,5.6,5.6,5.4,5.5,198,2243128,12413884.7
10/3/23,5.6,5.6,5.5,5.5,287,2576619,14192210.8
10/2/23,5.6,5.7,5.5,5.6,223,2247868,12584851.8
9/27/23,5.7,5.8,5.6,5.7,222,4598970,26239047.4
9/26/23,5.6,5.8,5.6,5.7,235,3980335,22687716.6
9/25/23,5.6,5.8,5.6,5.7,194,3009340,16925967.6
9/22/23,5.6,5.7,5.5,5.6,191,2069127,11555924
9/21/23,5.7,5.7,5.5,5.5,163,1894214,10534931.7
9/20/23,5.6,5.7,5.5,5.6,216,2626773,14680683.2
9/19/23,5.7,5.7,5.5,5.5,195,1931946,10646741.5
9/18/23,5.7,5.8,5.5,5.6,300,2713895,15213123.3
9/15/23,5.9,5.9,5.6,5.7,261,1586616,9082402.9
9/14/23,5.6,5.9,5.6,5.8,473,6387846,36672773.4
9/13/23,5.5,5.7,5.5,5.6,186,1321837,7386130.5
9/12/23,5.5,5.6,5.5,5.5,353,2268720,12500174.7
9/11/23,5.6,5.7,5.5,5.5,311,2442154,13479797.5
9/8/23,5.6,5.7,5.5,5.6,321,2533518,14197419.1
9/7/23,5.7,5.7,5.5,5.6,557,8559859,47426800
9/6/23,5.7,5.7,5.5,5.6,375,2740092,15351854.9
9/5/23,5.7,5.8,5.6,5.6,415,5300557,29902554.5
9/4/23,5.8,5.9,5.6,5.7,407,3343245,19123802.4
9/1/23,5.7,5.8,5.6,5.7,296,1950891,11143206.6
8/31/23,5.8,5.9,5.6,5.7,407,4527913,26008299.5
8/29/23,5.7,5.9,5.7,5.8,351,3351517,19389131.3
8/28/23,5.8,5.9,5.7,5.7,278,2163651,12449355.8
8/25/23,5.8,5.9,5.7,5.8,417,3044557,17569010.4
8/24/23,5.9,6,5.8,5.8,391,4302822,25033370
8/23/23,5.9,6,5.8,5.9,637,6467269,37881890.3
8/22/23,6,6,5.8,5.9,382,2795190,16526083.8
