Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
8/17/20,0.1,0.1,0.1,0.1,64,19287600,1928760
8/14/20,0.1,0.1,0.1,0.1,139,5110950,511095
8/13/20,0.1,0.1,0.1,0.1,28,2664795,266479.5
8/12/20,0.1,0.1,0.1,0.1,56,3326997,332699.7
8/11/20,0.1,0.2,0.1,0.1,132,45036447,4535833.3
8/10/20,0.1,0.2,0.1,0.1,326,41716138,4175485
8/22/14,0.2,0.4,0.1,0.3,294,42109660,10270548.1
8/21/14,0.1,0.2,0.1,0.2,264,128994325,14846894.4
8/20/14,0.1,0.2,0.1,0.1,119,50036052,5004705.2
8/19/14,0.1,0.2,0.1,0.1,62,15913550,1624956.5
8/18/14,0.1,0.2,0.1,0.1,59,23684681,2390498.1
8/15/14,0.2,0.2,0.1,0.1,56,2092761,413341.6
