Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
9/22/14,109.9,109.9,109.9,109.9,1,1,109.9
9/19/14,110,110,110,110,1,8,880
9/18/14,115,115,115,115,1,10,1150
8/26/14,93.3,93.3,93.3,93.3,1,1,93.3
8/22/14,92.6,92.6,92.6,92.6,1,1,92.6
8/8/14,103.5,103.5,103.3,103.3,4,103,10659.9
8/5/14,103.1,103.1,103.1,103.1,1,2,206.2
8/1/14,115,115,115,115,1,5,575
7/31/14,101.1,101.1,101.1,101.1,1,5,505.5
7/22/14,110,110,102,102.5,5,63,6458
7/21/14,110,110,110,110,1,1,110
7/16/14,93.1,93.1,93.1,93.1,1,10,931
7/15/14,118,120,118,120,3,401,47462
7/14/14,117.8,117.8,117.8,117.8,1,49,5772.2
7/11/14,105,105,105,105,2,349,36645
7/10/14,106,106,105.9,106,2,2,211.9
7/9/14,103.1,103.1,90.1,102.9,7,505,51981.3
7/7/14,105,105,103.1,103.1,2,51,5260
7/2/14,103.6,103.6,103.6,103.6,1,22,2279.2
6/30/14,110,110,110,110,4,100,11000
6/27/14,110.1,110.1,110.1,110.1,3,30,3303
6/26/14,105,106,100,100.1,7,278,28762.1
6/25/14,115.3,120,104,110.4,22,275,31023.3
6/24/14,115.3,115.3,115.3,115.3,1,50,5765
6/23/14,114.2,118.4,114.2,118,17,56,6546.9
6/20/14,115,115,113,113.6,6,956,108578.9
6/19/14,114.1,114.1,114.1,114.1,1,1,114.1
6/17/14,122,122,121.5,121.8,6,3009,366598
6/11/14,113.7,118.5,113.7,118.5,2,101,11488.5
6/9/14,118.5,118.5,113.3,113.6,3,202,22951.8
6/6/14,113.5,114,113.5,114,3,590,67160
6/5/14,118.9,118.9,118.9,118.9,1,1,118.9
6/4/14,113,119,113,113,12,352,39829.2
6/3/14,112.6,119,112.6,112.7,5,108,12173.8
6/2/14,112.4,113,112.4,112.4,11,2634,296062.2
5/30/14,112,112.3,112,112,4,2101,235342.2
5/29/14,111.5,111.6,111.2,111.3,4,152,16919.5
5/28/14,115,115,111.5,111.7,15,721,80985.9
5/26/14,111.3,112,111.3,112,5,176,19672.1
5/23/14,115,115,115,115,2,240,27600
5/21/14,110,110,110,110,1,50,5500
5/20/14,102.7,116.5,102.5,111.2,7,284,30674
3/4/14,104,104,104,104,1,10,1040
2/26/14,100,100,100,100,7,1000,100000
2/24/14,105,105,104.1,104.3,2,362,37774.2
2/20/14,104,105,104,105,3,132,13828
2/19/14,109,109,104.1,104.7,3,42,4443.5
2/18/14,109,109,104,104.2,3,121,12609
2/17/14,102,110,102,109,11,1348,140935
2/13/14,102,102,102,102,6,392,39984
2/12/14,102,102,102,102,2,503,51306
2/11/14,104.5,104.5,104.5,104.5,3,1000,104500
2/10/14,102,102,102,102,2,310,31620
2/6/14,98,105,98,100.9,34,25036,2531852.7
2/5/14,98,98,98,98,4,78,7644
1/31/14,99.4,104.5,95,103.8,21,2544,262749.5
1/30/14,95,95,93.2,94,10,550,51772.6
1/29/14,103,105,103,104.8,7,725,75983.6
1/28/14,100,104,100,102.4,8,792,81068
1/27/14,99,100,99,99.6,7,116,11550
1/24/14,93.1,99,93.1,93.9,3,70,6576
1/23/14,104,104,93,94.4,4,16,1510.6
1/22/14,104,104,104,104,1,3,312
1/21/14,104.8,104.8,104.8,104.8,1,6,628.8
1/20/14,99.9,105,98,101.5,19,231,23053.5
1/17/14,98,109.9,90,90,5,140,12989.5
1/16/14,94.5,96.5,94.5,96.3,17,347,33103.5
1/13/14,90,90,90,90,1,20,1800
1/10/14,90,90,83,85.3,2,30,2560
1/9/14,82.2,82.2,82.2,82.2,1,45,3699
1/6/14,81,81.2,81,81.2,3,76,6171
1/3/14,90,90,80,88.2,3,28,2470
12/31/13,100,100,90,90,3,15,1462
12/17/13,80,80,80,80,5,246,19680
12/13/13,71,80,71,74.4,10,618,45965.5
12/12/13,73,73,73,73,3,90,6570
12/10/13,70.1,73,70.1,73,2,104,7302
12/6/13,70.1,70.1,70.1,70.1,3,201,14090.1
12/4/13,71.3,71.3,71.3,71.3,3,200,14260
12/2/13,71.3,71.3,71.3,71.3,1,100,7130
11/29/13,70.5,71.3,70.5,71.3,2,300,21230
11/28/13,70,70,70,70,1,372,26040
11/27/13,70.5,70.5,70.5,70.5,1,100,7050
11/21/13,85.2,85.2,85,85,2,72,6125.6
11/20/13,85.2,85.2,85.2,85.2,1,2,170.4
11/18/13,85,85,85,85,1,1,85
11/14/13,90,90,90,90,3,59,5310
11/12/13,85.1,85.1,85.1,85.1,3,100,8510
11/11/13,100,100,85,85,2,116,10175
11/8/13,90.4,90.4,90,90.2,4,80,7212
11/4/13,90.1,90.1,90.1,90.1,2,9,810.9
10/29/13,104,104,100,100,8,1200,120800
10/28/13,107,107,103,105,6,39,4109
10/25/13,100,109.8,100,107,13,544,56931.9
10/23/13,103,104.8,100,100.5,12,738,75784.2
10/22/13,98,104.9,98,103,11,382,38770.4
10/17/13,89.8,99.9,89.8,99.8,6,966,88117.7
10/10/13,87,87,84,86,5,997,86634
10/9/13,87,87,87,87,3,358,31146
10/8/13,90,94,90,94,2,11,994
10/7/13,91,91,90,90,5,2020,181820
10/4/13,90,90,90,90,1,100,9000
10/3/13,95,100,90,90,25,3188,305545.5
10/2/13,93.8,99,93.8,94.6,7,605,57239.8
9/30/13,94,94,94,94,1,50,4700
9/26/13,80,90,80,82.9,25,2894,235078.2
9/24/13,80,84,80,80.2,14,2607,209900.2
9/23/13,80,80,80,80,1,1,80
9/16/13,80.9,80.9,80.9,80.9,1,5,404.5
9/13/13,80,80,80,80,2,260,20800
9/12/13,80,80,80,80,1,45,3600
9/11/13,80,80,80,80,2,165,13200
9/10/13,80,82,80,80,7,315,25400
9/9/13,80,80,80,80,4,327,26160
9/6/13,79,80,79,80,10,947,75740
9/2/13,82,82,82,82,1,5,410
8/27/13,69.5,69.5,69.5,69.5,1,1,69.5
8/22/13,69.5,69.5,69.5,69.5,1,1,69.5
8/21/13,69.5,69.5,69.5,69.5,1,1,69.5
8/7/13,76.3,76.3,76.3,76.3,1,1,76.3
8/6/13,76.3,76.3,62,62,2,3,200.3
8/5/13,76.3,76.3,76.3,76.3,1,1,76.3
7/31/13,75,75,75,75,1,1,75
7/29/13,70.8,70.8,68.3,68.3,3,102,7199.1
7/26/13,70.8,75,70.8,70.9,2,51,3615
7/25/13,75.1,75.1,70.1,72.8,4,150,10915
7/24/13,84.7,84.7,84.7,84.7,1,2,169.4
7/19/13,73.8,85,73.8,79.4,2,2,158.8
7/18/13,73.7,73.7,73.7,73.7,1,1,73.7
7/17/13,84,92,84,87.8,4,360,31608
7/16/13,74,74,74,74,1,5,370
7/5/13,73.6,74,73.6,74,3,11,812
7/4/13,73.6,73.6,73.5,73.6,2,182,13387
7/2/13,79.9,88.8,79.9,81.4,2,6,488.3
7/1/13,83,83,73.1,73.1,3,151,11688
6/27/13,70.1,70.1,70.1,70.1,1,5,350.5
6/25/13,71,84,71,84,2,41,2924
6/21/13,72.2,72.2,72.2,72.2,2,2,144.4
6/19/13,86,86,86,86,1,2,172
6/18/13,86,86,85.9,85.9,5,53,4557.8
6/17/13,86.5,86.5,86.5,86.5,2,6,519
6/14/13,81,86.5,80,80.6,3,55,4433.5
6/13/13,84,84,81.5,81.8,2,20,1635
6/12/13,86.9,87,86.9,87,4,4,347.8
6/11/13,83.1,87,83,87,6,14,1190.2
6/10/13,89.4,89.4,81.6,82,11,581,47454
6/7/13,93.7,93.7,81.2,90,4,122,10317.7
