Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
1/7/22,8.3,8.3,7,7.2,285,1125815,8253650
1/6/22,8.3,8.5,7.2,7.8,190,952469,7583279.4
1/5/22,8.3,8.5,7.8,7.9,128,481893,3877047
1/4/22,7.8,8.8,7.7,7.9,146,742773,6044123
1/3/22,8.3,8.4,7.5,7.7,81,308852,2473943
12/31/21,8,8.3,7.6,8.1,147,623788,5040959.3
12/30/21,7.9,8.8,7.7,8,325,2537296,20785893.6
12/29/21,7.6,8.1,7.4,7.8,139,1049673,8014528.8
12/28/21,7.3,7.6,7.1,7.5,29,37697,282561.2
12/27/21,7.6,7.6,7.2,7.5,21,15139,112415
12/24/21,7.4,7.6,7.1,7.4,27,18353,135392.5
12/23/21,7.6,7.6,7,7.2,38,78754,555877.2
12/22/21,7.4,7.8,7,7,24,13006,93815.2
12/21/21,7.2,7.4,7,7.1,6,9063,64443.2
12/20/21,7.4,7.7,7,7.4,27,22471,160681.9
12/17/21,8,8,7.1,7.3,28,38208,280854.7
12/16/21,8,8.3,7.6,7.8,179,328042,2624623
12/15/21,7.8,8.1,7.6,7.7,46,42366,329639.9
12/14/21,7.1,8.5,6.9,7.8,214,326059,2559486.8
12/13/21,7.1,7.3,7,7.2,32,10922,77360.5
12/10/21,7.2,7.4,7,7.3,13,7110,49989
12/9/21,7.4,7.4,7,7,50,50444,355182.1
12/8/21,7.1,7.2,7,7.2,12,9002,63554
12/7/21,7.2,7.2,7,7,17,10240,71972.7
12/6/21,7.1,7.3,7,7,34,29982,210451.2
12/3/21,7.5,7.5,7.1,7.1,21,24933,177875.8
12/2/21,7,7.7,6.9,7.2,112,251018,1839789.6
12/1/21,7.1,7.1,6.9,7,35,16577,116015.9
11/30/21,7.2,7.2,7,7.1,46,45990,324280
11/29/21,7.1,7.3,7,7.2,41,63008,446324.7
11/26/21,7.2,7.2,6.9,7,14,5795,40297.5
11/25/21,7.2,7.2,7,7,45,79802,559245
11/24/21,7,7.2,6.9,7,16,42941,299193.8
11/23/21,7.3,7.3,6.9,6.9,49,69676,486374.9
11/22/21,7.1,7.5,6.9,7.1,68,109052,763455
11/19/21,7.6,7.6,7.1,7.2,11,1550,11222
11/17/21,7.6,7.6,7.1,7.4,18,19830,141468.6
11/16/21,7.1,7.6,7.1,7.6,63,210620,1573329.2
11/15/21,7,7.6,7,7,57,79297,557950.5
11/12/21,7.4,7.6,7.4,7.4,19,56802,425405.2
11/11/21,7.5,7.5,7,7.2,33,34559,247942.7
11/10/21,7.5,7.5,7.1,7.5,17,23876,172996.8
11/9/21,7.1,7.5,7.1,7.3,22,12278,89266.8
11/8/21,7.1,7.7,7,7.4,56,128518,943001.8
11/5/21,8,8,7,7,112,317027,2251468.1
11/3/21,7.6,8.2,7,7.3,120,135886,1046867.6
11/2/21,7.9,7.9,7,7.1,132,152785,1097059.5
11/1/21,7.6,7.9,7.6,7.8,48,30592,236001.1
10/29/21,8.2,8.2,7,7.1,84,165462,1218376.7
10/28/21,8.6,8.6,8.2,8.2,7,10353,84905.7
10/27/21,8.3,8.4,8.3,8.3,23,27472,228158.1
10/26/21,8.5,8.5,8.3,8.3,43,47651,397034.1
10/25/21,8.8,8.8,8.5,8.5,12,20594,175617.6
10/22/21,9,9,8.7,8.8,25,37183,330993.7
10/21/21,8.5,9.9,8.5,8.9,232,414375,3864288.4
10/18/21,8.5,8.5,8,8.4,35,62474,525069.1
10/15/21,8.8,8.8,8.3,8.3,15,2733,23696.8
10/14/21,8.7,8.7,8.6,8.7,3,103,896
10/13/21,8.4,8.5,8,8.5,19,29831,249423.5
10/12/21,8,8.5,8,8.5,14,7483,63295.5
10/11/21,8.2,8.5,8.2,8.4,29,49410,411392
10/8/21,8.3,8.3,8,8,3,10110,80883
10/7/21,8.5,8.5,8,8,11,3468,29368
10/6/21,8.1,8.8,8.1,8.5,82,130677,1104552.2
10/5/21,8.2,8.2,7.8,7.9,43,28624,227764.8
10/4/21,7.6,8.8,7.5,8.2,108,101061,830116.8
10/1/21,7.6,7.6,7.3,7.4,4,421,3116.6
9/30/21,7.6,7.6,7.1,7.3,40,15290,111411.9
9/28/21,7.7,8,7.7,7.9,5,5000,39646.2
9/27/21,7.7,7.7,7.6,7.7,13,15064,115986.4
9/24/21,7.6,7.8,7.1,7.8,27,4755,35332.4
9/23/21,8,8,7.4,7.9,8,21500,169245
9/22/21,8,8,7.6,7.8,4,2600,20400
9/21/21,8.2,8.2,8.2,8.2,9,1762,14448.4
9/17/21,7.8,8,7.6,7.9,18,10973,86256.2
9/16/21,7.3,8.3,6.9,7.7,142,172674,1339467.3
9/15/21,6.8,7,6.7,6.8,25,9691,65918.9
9/14/21,6.6,7.3,6.6,6.7,55,46048,314445.2
9/13/21,6.6,6.8,6.4,6.5,48,54031,353328.3
9/10/21,6.9,7.1,6.4,6.7,43,14773,99162.1
9/9/21,7,7.4,6,6.8,105,273807,1748411
9/8/21,7,7.3,6.1,7,49,111437,721468.7
9/7/21,7.4,7.4,6.9,7.2,49,45918,322379.2
9/6/21,7.8,7.9,7,7.2,78,47051,339421.7
9/3/21,7.9,7.9,6,7.6,32,46056,299798.3
9/2/21,7.6,7.9,7.5,7.6,53,17522,133367.7
9/1/21,7.9,7.9,7.7,7.7,2,3308,25473.2
8/31/21,7.7,7.9,7.6,7.7,6,1433,11094.4
8/30/21,8,8,7.6,7.7,21,10482,81109.9
8/27/21,8.3,8.3,7.7,7.8,10,16699,137888.9
8/26/21,7.5,8.2,7.5,8.2,19,7003,55265.8
8/25/21,7.9,7.9,7.6,7.8,9,3586,27863.4
8/24/21,8,8,7.9,7.9,4,3900,31100
8/23/21,7.6,8,7.6,7.6,18,5795,44107.6
8/20/21,7.9,8,7.6,7.6,9,5681,43339.2
8/19/21,8,8,7.8,7.9,4,693,5481.9
8/18/21,8,8.1,8,8,13,5074,40592.1
8/17/21,8.2,8.2,8.2,8.2,2,103,844.6
8/16/21,6.8,6.8,6.8,7.8,1,1,6.8
8/13/21,7.8,7.8,7.8,7.8,2,600,4680
8/12/21,8,8.1,7.8,7.9,12,7257,57670.1
8/11/21,8,8,7.8,7.9,4,500,3940
8/10/21,8,8,7.5,7.8,21,4624,35833.2
8/9/21,8,8,8,8,8,1167,9336
8/6/21,8.1,8.3,8.1,8.1,10,6122,49735.9
8/5/21,8.4,8.4,8.1,8.1,5,2310,18855
8/4/21,8.7,8.7,8.6,8.6,6,1646,14167.1
8/3/21,8.9,9.1,8.9,8.9,4,525,4715
8/2/21,8.7,8.7,8.7,8.8,1,10,87
7/30/21,8.8,8.8,8.8,8.8,2,601,5288.8
7/29/21,8.9,8.9,8.9,8.9,3,2500,22250
7/28/21,8.4,8.9,8.2,8.8,39,24069,202037.1
7/27/21,8.9,8.9,8.6,8.8,2,144,1266.6
7/26/21,8.8,8.8,8.8,8.8,5,6006,52852.8
7/22/21,9.2,9.2,8.8,9.2,3,310,2848
7/20/21,9.2,9.2,8.8,8.9,11,1491,13361.2
7/19/21,9.1,9.1,8.8,8.8,5,5580,49272
7/16/21,9.2,9.2,8.7,8.8,23,8859,79058.2
7/15/21,9,9.4,8.6,8.8,23,6149,56872.2
7/14/21,8.9,9.1,8.5,8.8,25,9027,79961
7/13/21,8.6,9.2,8.4,8.4,11,30598,257735.6
7/12/21,8,8.5,7.8,8.1,37,11599,93707.1
7/9/21,9.2,9.4,8,8.8,28,6159,56177
7/8/21,7.7,9.5,7.7,9.2,292,895316,8281331.2
7/7/21,7.8,7.9,7.8,7.8,5,1982,15489.6
7/6/21,7.5,7.8,7.4,7.5,18,4588,34377.6
7/5/21,7.3,7.3,7.2,7.3,16,9222,67320.4
7/2/21,7.5,7.6,7.3,7.5,14,3793,28016.1
7/1/21,7.5,7.5,7.2,7.3,7,571,4191.5
6/30/21,7.8,7.9,7,7.3,22,62569,444184.2
