Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
5/18/23,0.1,0.1,0.1,0.1,24,609932,60993.2
5/17/23,0.1,0.1,0.1,0.1,7,525011,52501.1
5/16/23,0.1,0.1,0.1,0.1,5,300000,30000
5/15/23,0.1,0.2,0.1,0.1,107,14330240,1434535
5/12/23,0.1,0.2,0.1,0.1,163,41077210,5110350.7
5/11/23,0.1,0.3,0.1,0.1,211,14957577,2291006.2
1/12/15,0.1,0.2,0.1,0.1,172,7586647,760664.9
1/9/15,0.2,0.2,0.1,0.1,109,6716187,1301155.3
1/8/15,0.1,0.2,0.1,0.1,37,2608428,401475.5
1/7/15,0.2,0.2,0.1,0.1,90,2366283,241298.6
1/6/15,0.3,0.4,0.1,0.2,150,8231037,1662028.1
1/2/15,0.3,0.5,0.3,0.3,194,5059624,1699575.6
12/31/14,0.3,0.4,0.2,0.3,61,1063476,316686.6
12/30/14,0.5,0.8,0.3,0.3,85,1037620,530989.5
