Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,0.2,0.3,0.2,0.3,7,3203,960.6
10/12/23,0.2,0.3,0.2,0.3,15,25346,5353.1
10/11/23,0.3,0.3,0.2,0.3,5,108,32.2
10/10/23,0.2,0.3,0.2,0.3,7,6237,1871
10/9/23,0.2,0.3,0.2,0.3,7,7812,2093.5
10/6/23,0.3,0.3,0.2,0.3,22,183438,54031.3
10/5/23,0.2,0.3,0.2,0.2,9,101004,20300.8
10/4/23,0.2,0.3,0.2,0.2,16,34433,7591.1
10/3/23,0.2,0.3,0.2,0.3,7,10521,3155.2
10/2/23,0.3,0.3,0.2,0.2,7,70741,14222.1
9/27/23,0.3,0.3,0.2,0.3,8,31222,9359.9
9/26/23,0.2,0.3,0.2,0.3,13,4745,1309.2
9/25/23,0.2,0.2,0.2,0.2,3,2111,422.2
9/22/23,0.2,0.3,0.2,0.3,10,31684,8985.1
9/21/23,0.3,0.3,0.2,0.3,10,430065,129014.4
9/20/23,0.2,0.3,0.2,0.3,3,35,10.4
9/19/23,0.2,0.3,0.2,0.3,6,38101,8410.2
9/18/23,0.3,0.3,0.2,0.3,8,92342,27702.4
9/15/23,0.3,0.4,0.3,0.3,15,229322,68796.8
9/14/23,0.4,0.4,0.3,0.3,3,11050,3420
9/13/23,0.3,0.4,0.2,0.4,13,148446,45456.7
9/12/23,0.3,0.4,0.2,0.3,16,70391,21117.7
9/11/23,0.3,0.3,0.3,0.3,3,20000,6000
9/8/23,0.4,0.4,0.3,0.3,7,17551,5270.4
9/7/23,0.3,0.4,0.2,0.3,22,461567,138470.3
9/6/23,0.3,0.3,0.2,0.3,23,395951,116070.2
9/5/23,0.2,0.3,0.2,0.3,41,733398,218619.3
9/4/23,0.3,0.4,0.2,0.3,65,1226359,368972
9/1/23,0.4,0.4,0.3,0.3,7,26604,8506.5
8/31/23,0.4,0.4,0.3,0.3,3,327,99.1
8/29/23,0.3,0.3,0.3,0.3,2,710,213
8/28/23,0.3,0.3,0.3,0.3,2,6296,1888.8
8/25/23,0.3,0.4,0.3,0.3,7,30014,9005.2
8/24/23,0.3,0.4,0.3,0.4,13,45594,15858.7
8/23/23,0.3,0.3,0.3,0.3,10,117439,35231.7
8/22/23,0.3,0.3,0.3,0.3,2,40000,12000
8/21/23,0.4,0.4,0.3,0.4,7,14503,5791.2
8/18/23,0.4,0.4,0.3,0.4,34,1320031,520496.8
8/17/23,0.3,0.3,0.3,0.3,4,303870,91161
8/16/23,0.3,0.4,0.3,0.3,23,993538,298211.4
8/15/23,0.3,0.4,0.3,0.4,10,50458,15173.3
8/14/23,0.3,0.4,0.3,0.3,7,99691,29907.4
8/11/23,0.3,0.3,0.3,0.3,5,43201,12960.3
8/10/23,0.3,0.4,0.3,0.3,15,179875,69162.5
8/9/23,0.4,0.4,0.3,0.3,4,20104,6041.6
8/8/23,0.3,0.3,0.3,0.3,8,115000,34500
8/7/23,0.4,0.4,0.3,0.3,13,112555,44186.7
8/4/23,0.3,0.4,0.3,0.4,5,144366,44689.8
8/3/23,0.3,0.4,0.3,0.3,17,755239,231681.8
8/2/23,0.3,0.4,0.3,0.3,15,294594,89188.5
7/31/23,0.3,0.4,0.3,0.4,10,45668,14227.2
7/28/23,0.4,0.4,0.3,0.3,12,705003,211501.2
7/27/23,0.4,0.4,0.3,0.3,7,2232,686.1
7/26/23,0.4,0.4,0.3,0.3,16,223856,67258.3
7/25/23,0.3,0.4,0.3,0.4,6,49395,15118.5
7/24/23,0.4,0.4,0.3,0.4,10,124900,48759.9
7/21/23,0.3,0.4,0.3,0.4,15,38339,13315.7
7/20/23,0.3,0.4,0.3,0.3,18,745586,223806.1
7/19/23,0.3,0.4,0.3,0.3,10,41520,15408
7/18/23,0.4,0.4,0.2,0.3,27,838611,251806.5
7/17/23,0.4,0.4,0.3,0.3,47,438232,137807.2
