Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,40.4,40.4,40.4,40.3,1,10,404
10/12/23,40.7,40.9,40,40.3,19,9002,363076.4
10/11/23,41.1,41.1,41,41.1,7,1230,50543
10/10/23,40.2,42.6,40.2,42.1,19,13586,564683.9
10/9/23,40.4,40.4,40.2,40.3,11,1649,66373.4
10/6/23,40.8,40.8,40.8,41,2,33,1346.4
10/5/23,42.5,42.5,41,41,3,1600,65750
10/4/23,40.2,45,40.2,40.5,28,1438,59241.3
10/3/23,40.6,41.5,40.2,40.3,8,431,17526.5
10/2/23,41.9,42,41,41.1,22,3487,143441.8
9/27/23,43.7,43.7,42,42,31,11141,468728.6
9/26/23,42.8,42.8,42.8,42.8,1,278,11898.4
9/25/23,43.7,43.7,42,42.8,14,3000,128260
9/21/23,42.6,43.1,42.6,42.6,3,72,3068.2
9/19/23,43,44.2,42.5,42.6,29,5019,213753.9
9/18/23,44,44,42.7,43.4,18,2850,124144.5
9/15/23,44,45,43.8,45,6,2350,103967.5
9/14/23,44,45.5,44,44.7,5,118,5274
9/13/23,43.9,44,43.9,43.9,5,653,28675.7
9/12/23,43.5,43.5,43.5,42.5,3,53,2305.5
9/11/23,42.8,43.8,42.3,42.5,17,3244,138115.2
9/8/23,44.3,44.3,42.6,43.1,10,1051,45256.5
9/7/23,44.1,44.1,44.1,44.1,2,106,4674.6
9/6/23,44.6,44.9,44.2,44.5,12,620,27444.2
9/5/23,43.6,44.5,43.6,44.2,13,4265,187759.4
9/4/23,44.9,45.8,44.7,44.9,15,4223,189603.8
9/1/23,44.5,44.5,43.3,43.3,3,230,9971
8/31/23,44.9,44.9,44,44,3,120,5298
8/29/23,42.7,43.5,42.6,43.5,15,157,6806
8/28/23,42.6,42.7,42.6,42.7,5,1101,46912.6
8/25/23,43,43,42.5,42.6,19,1720,73459.9
8/24/23,43.5,43.5,43,43.1,16,9520,410105.1
8/23/23,43.5,44,43.1,43.2,9,2520,109527.9
8/22/23,44.5,44.5,43.5,43.5,4,398,17564.8
8/21/23,43.2,43.2,43,43,17,1519,65438.2
8/18/23,44.4,44.8,43.5,43.5,11,895,39061.2
8/17/23,44.3,44.5,43.2,44.3,37,3292,143882.3
8/16/23,45.1,46,45,46,6,905,41430.5
8/14/23,46.3,46.3,46,46.1,10,1750,80685.5
8/11/23,47,48.3,46.1,46.4,42,9210,427439.5
8/10/23,48.5,48.6,48.5,48.6,3,271,13168.4
8/9/23,47.7,48.5,47,47.9,13,950,45310.2
8/8/23,47.6,50,47.6,47.7,19,11100,551832.3
8/7/23,50,50.2,50,50,5,352,17622
8/4/23,48,51.9,47.5,48.2,43,11982,576587.6
8/3/23,49.1,51.9,47.5,50,20,5458,274747.8
8/2/23,49,49.5,49,49.4,4,84,4146
7/31/23,50,52,48.2,49.4,13,5470,269922.5
7/28/23,51.2,51.3,50.1,51.2,11,2210,113136
7/27/23,50.1,52.5,50.1,51.5,27,4765,246381.7
7/26/23,52,55,51.5,53.8,49,32820,1748133.6
7/25/23,47.1,55,47.1,51.7,118,90472,4646989.2
7/24/23,46.2,47.8,46.2,47.1,6,617,28974.6
7/21/23,46.3,46.5,46.1,46.1,10,721,33250.9
7/20/23,46.3,46.3,46,46,6,4500,207018.5
7/19/23,46.9,46.9,46,46.1,29,7161,329746.9
7/18/23,47,48,47,48,8,2855,136685
7/17/23,48.9,48.9,46.6,46.9,12,2046,95952.8
