Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,11.5,11.5,11.5,11.5,2,1065,12247.5
10/12/23,11.9,11.9,11.4,11.5,5,1244,14353.6
10/11/23,12,12,11.5,11.9,8,3530,41534.8
10/10/23,12.5,12.5,11.8,12.2,7,174,2130.5
10/9/23,11.9,11.9,11.9,11.9,2,225,2677.5
10/6/23,12,12,12,12.4,1,8,96
10/5/23,12,12.4,11.8,12.4,9,638,7700.6
10/4/23,12.6,12.6,12.6,12.6,1,100,1260
10/3/23,12.1,12.6,12.1,12.6,2,250,3100
10/2/23,12.5,12.5,11.7,11.8,6,2216,26902.2
9/27/23,12.5,12.5,12.5,12.5,2,930,11625
9/25/23,12.5,12.5,12.5,12.7,2,70,875
9/22/23,12.6,12.7,12.6,12.7,7,939,11894.2
9/21/23,12.6,12.6,11.9,12.2,6,3040,37304.3
9/20/23,12.5,12.5,11.8,12.4,6,2251,28061.8
9/19/23,12.3,12.3,12.2,12.2,5,1525,18607.5
9/18/23,12.9,12.9,12.3,12.4,10,2610,32394
9/15/23,12.9,13,12.3,12.8,9,2400,30651
9/14/23,12.8,12.9,11.9,12.8,21,7901,95751.9
9/13/23,12.9,12.9,12.9,12.9,1,600,7740
9/12/23,13,13,12.3,12.9,13,1007,12645.8
9/11/23,12.9,13,12.9,13,18,3827,49720.9
9/8/23,12.5,12.6,12.5,12.6,4,1600,20100
9/7/23,12.5,12.5,12.5,12.5,5,675,8437.5
9/6/23,11.9,12.9,11.9,12.1,6,129,1563.7
9/5/23,12.9,12.9,11.9,12.8,6,106,1357
9/4/23,13.1,13.2,11.9,12.2,31,7172,87245
9/1/23,13.1,13.2,11.7,13,18,27961,361967.7
8/31/23,12.5,13.2,12.5,12.7,8,912,11806.4
8/29/23,13.3,13.3,13.2,13.2,6,865,11442
8/28/23,13.2,13.2,12.3,12.3,11,4305,55836
8/25/23,13.1,13.1,12.7,13,21,32135,416972.5
8/24/23,12.2,13.5,12.1,12.9,67,55310,716479.9
8/23/23,12.1,12.5,12,12,40,59694,731539.8
8/22/23,12.1,12.2,11.6,12.1,14,6369,77057.9
8/21/23,11.8,11.9,10.8,11.9,16,4681,54475.8
8/18/23,11.3,11.8,11.3,11.7,15,3015,35268.5
8/17/23,10.9,11.9,10.9,11.3,3,12,140.8
8/16/23,11,11.5,11,11.3,6,375,4225
8/15/23,11.1,11.1,11.1,11.1,4,54,599.4
8/14/23,11.1,11.1,11.1,11.1,10,3001,33311.1
8/11/23,11.1,11.6,11.1,11.2,8,1401,15691.6
8/10/23,11.7,11.7,11.7,11.1,3,52,608.4
8/9/23,11,12,11,11.1,28,5620,62575.4
8/8/23,11.5,12.1,10.7,12.1,9,5532,60852.4
8/7/23,11.8,12.5,10.7,11,22,6120,69888
8/4/23,12,12,12,12,2,100,1200
8/3/23,11.3,12.2,11.3,11.9,46,25851,306768.6
8/2/23,11.2,11.3,11.2,11.2,12,3237,36314.4
7/31/23,11.2,11.2,11.2,11.1,1,1,11.2
7/28/23,11.2,11.2,11.1,11.1,2,101,1121.2
7/27/23,11.2,11.2,10.5,11.2,14,3030,32338.6
7/25/23,11.2,11.2,11.2,10.3,1,1,11.2
7/24/23,10.6,11.3,10.2,10.3,12,5171,53170.3
7/21/23,11.3,11.3,11.3,11.2,1,1,11.3
7/19/23,10.5,11.3,10.5,11.2,6,70,758.7
7/18/23,10.5,10.5,10.5,11.2,1,1,10.5
7/17/23,11.4,11.4,11.4,11.2,1,1,11.4
