Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,113.75,113.75,109,109.5,13,878,96821.25
10/12/23,110,110.25,110,110.25,22,3203,352930
10/11/23,116.25,116.25,109,110,21,1376,152116
10/10/23,117,117,111.25,114.25,7,110,12580.25
10/9/23,115,115,110,111.25,78,22285,2471745
10/6/23,115.75,117,115,115.25,24,4275,492138.75
10/5/23,115,118,115,115,6,1024,117784.5
10/4/23,120,120,115,118.75,21,2630,303187.75
10/3/23,120,120,115.25,115.75,15,374,43305
10/2/23,118,118,115.5,116.25,13,1067,123962.25
9/27/23,120,120,118,119.25,7,108,12870.25
9/26/23,115.5,119.25,115.5,116.25,12,577,66913.5
9/25/23,116,119.25,116,117.75,19,1533,179143.75
9/22/23,115,119.75,114,114.5,85,30274,3491741
9/21/23,118,118,114.5,115,70,18213,2102268.5
9/20/23,120,120,118,118,46,8207,974109
9/19/23,120,120,119.25,119.25,19,807,96497.5
9/18/23,122.5,123,119.75,120,32,2479,300158.75
9/15/23,122,124,120.75,122,15,5812,714309.5
9/14/23,120,124.5,119,121.5,83,22841,2746211.5
9/13/23,120,120,119.5,120,28,4993,598907.25
9/12/23,120,120,119,119,19,2928,349095
9/11/23,123,124.5,119.25,120.5,40,3413,411164.25
9/8/23,124,124,119,123.5,29,4496,539708.5
9/7/23,120.5,124.25,120,120.25,28,956,115004
9/6/23,123.75,123.75,119,120,61,12680,1520038.75
9/5/23,121.5,124.5,120,120.5,46,10180,1226821.25
9/4/23,124.5,124.75,120,121.75,61,9232,1116616
9/1/23,122,124.5,117,120.5,76,33375,4036056.75
8/31/23,125,125,121.5,122.25,18,1424,173461.75
8/29/23,124.5,125,121.25,122,43,11307,1381464.5
8/28/23,126,126,122,124,33,10988,1353598.25
8/25/23,124,125,121.5,121.75,46,12361,1514557.5
8/24/23,124,126,123,124,25,6575,814021.25
8/23/23,122.5,125.75,122.5,125.25,21,3459,426189.5
8/22/23,122.75,126.75,122,125,52,16285,1999174
8/21/23,123.5,126,122.5,122.75,53,11311,1392614.75
8/18/23,125.5,129,123,123.5,70,12657,1566176.25
8/17/23,126.25,129,123.25,124.75,60,34861,4365540.75
8/16/23,122,127.75,122,126,62,26717,3340809.75
8/15/23,125.5,131,123,123.75,93,55695,6932278.5
