Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/12/23,399,400,399,377.25,2,71,28340
10/11/23,375,375,375,377.25,1,1,375
10/10/23,371.5,371.5,371.5,377.25,1,10,3715
10/5/23,366,400,366,377.25,3,121,45646.5
10/4/23,401,401,399,399.25,3,10,4001
10/3/23,399,400,399,399.25,2,588,234700
10/2/23,410,410,399,399,5,698,278513.25
9/27/23,405,405,400,400,9,581,232923
9/26/23,404.5,404.5,401,400,2,10,4038
9/25/23,400,404,400,400,3,151,60404
9/22/23,400,404,400,403.5,12,472,190039.5
9/21/23,400,400,400,400,3,200,80000
9/20/23,405,405,405,400,1,5,2025
9/19/23,402,402,400,400,4,510,204020
9/18/23,400,400,400,398,1,92,36800
9/15/23,405,405,395,398,5,142,56515.25
9/14/23,405,407.5,405,405.5,5,105,42573
9/13/23,400,413,353,393.5,54,1511,566227.25
9/11/23,414.75,415,395,419.25,3,10,3989.75
9/8/23,415,415,415,419.25,1,1,415
9/7/23,401,410,397.75,419.25,4,23,9264.75
9/6/23,419,419,419,419.25,1,1,419
9/5/23,420,420,410,419.25,13,78,32380
9/4/23,419.75,423.75,415,419.25,7,835,350025.25
9/1/23,400.25,419,400,394.75,3,25,10020
8/31/23,420.5,423.75,419,394.75,3,12,5062.5
8/29/23,424,424,390.25,394.75,10,193,77115.75
8/28/23,410,410,409,400,6,55,22505
8/25/23,400,400,400,400,1,7,2800
8/24/23,409,409,400,400,3,724,289609
8/23/23,400,410,400,403.25,6,361,145400
8/22/23,400.25,410,400,400,20,738,295309.25
8/21/23,420.5,424,412.5,420,5,25,10436
8/18/23,435.5,435.5,400,420,68,81134,33487044.5
8/16/23,415,415,412,414,6,212,87777
8/15/23,392,392,390,390.5,5,654,255334
8/14/23,400,400,400,404.25,1,10,4000
8/11/23,418,418,415,404.25,6,12,5001
8/10/23,400,406,400,404.25,8,300,121259
8/9/23,420,420,419,419.75,3,3,1258
8/8/23,419.75,421,410,419.75,10,233,97827.5
8/7/23,415,418,412,420.25,5,23,9522.5
8/4/23,421,421,420,420.25,4,140,58825
8/3/23,424,424,420,423,16,285,120190
8/2/23,425,425,420,425,22,5460,2317384.25
7/31/23,417.75,425,417,419.25,16,1005,421039
7/28/23,427.5,428,417.5,417.75,8,336,140456.25
7/27/23,426,426,426,414.75,1,1,426
7/26/23,425,425,410.25,414.75,10,220,91930.5
7/25/23,420,420,420,420,1,194,81480
7/24/23,423,423.25,415,423.25,17,283,119529
7/21/23,423.75,423.75,422,423.5,18,414,175263
7/20/23,415,423.75,413,421.25,15,418,175150
7/19/23,424.75,424.75,410,412.5,10,637,262271.25
7/18/23,419,420,405,419.25,6,250,103400
7/17/23,420,426,420,419,5,59,25075
