Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,50.4,52.2,50.3,50.4,14,374,18847.6
10/11/23,50.4,52.9,50.4,50.4,7,425,21422.5
10/10/23,53.4,53.4,53.4,53.4,2,109,5820.6
10/5/23,51.1,51.1,51.1,51.1,17,469,23965.9
10/3/23,50.2,50.5,50.2,53.5,2,3,151.2
9/26/23,53,53,53,53.5,2,12,636
9/25/23,55,55,55,53.5,1,5,275
9/22/23,55,55,55,53.5,2,2,110
9/21/23,54,54,53.5,53.5,9,634,33924.5
9/20/23,54.6,55,54,54.1,16,4547,246275.5
9/19/23,54.9,54.9,54.5,54.6,7,469,25627.7
9/18/23,55,55,54.6,55,9,563,30959
9/15/23,55.2,56,55,55,18,5290,291885
9/14/23,55.2,57,55.2,55.3,9,520,28730
9/13/23,57.9,57.9,57,57.8,5,34,1964.3
9/12/23,55,57.9,55,57.8,3,102,5900
9/11/23,58.6,58.6,58.5,58.5,4,325,19025
9/7/23,56,57.5,55.3,56.8,4,63,3616.3
9/6/23,56.5,56.8,55.3,56.8,7,155,8795.9
9/5/23,56,56,56,56,7,1328,74368
9/1/23,57,57,55.2,55.3,5,107,5912.4
8/31/23,55.5,57.7,55,57,34,6273,346074.3
8/29/23,55.3,58.8,55.2,58.3,8,292,16966.4
8/28/23,55.3,58.9,55.3,56.5,7,160,9033.3
8/25/23,56.9,56.9,56.9,59.4,1,5,284.5
8/23/23,55.5,55.5,55.5,59.4,2,50,2775
8/21/23,58,58,58,59.4,2,99,5742
8/18/23,55.1,60,55,59.4,10,1100,65307
8/17/23,57,57,57,57,3,3065,174705
8/16/23,54,58,54,57.3,12,2970,167887.1
8/15/23,56,56,54,54.4,6,248,13615
8/14/23,54.2,54.2,54,54,6,392,21172.8
8/11/23,56.5,57,54,54.1,12,3310,188277
8/10/23,53.8,57,53.8,57,29,53140,3028762.4
8/9/23,53.9,53.9,53.8,53.8,3,276,14859.2
8/8/23,54,54.4,53.8,53.8,11,9885,531824.2
8/7/23,55,55,54,54,7,3370,184980
8/4/23,56.8,57,55,55,5,3605,205274.6
8/3/23,55.1,56.9,55,56,27,20506,1141082.4
8/2/23,57.5,57.6,57.5,57.5,11,26710,1535845
7/31/23,54.5,57,54,55.1,13,7354,408871
7/28/23,58.5,58.9,55.1,57.5,6,51,2877.6
7/27/23,57.3,57.9,57.3,57.5,13,540,31063
7/26/23,57.9,58.5,54,57.7,15,489,28304
7/25/23,54.1,57,54,54.6,23,24618,1341714.5
7/24/23,56,56,56,55.5,1,1,56
7/21/23,55,55.5,53.5,55.5,5,550,30340.5
7/20/23,52,56.5,52,55.9,44,20546,1117128.8
7/19/23,53,53,51,51.4,14,2619,134577.8
7/18/23,51,53,50.2,51.5,8,4249,218245.2
7/17/23,50,51,49.1,50.2,19,89518,4494527.8
