Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
8/8/19,0.2,0.2,0.1,0.1,33,377460,38756
8/7/19,0.3,0.3,0.1,0.1,60,472907,70849.6
8/6/19,0.6,0.7,0.2,0.2,82,548561,152793
8/5/19,0.8,0.9,0.5,0.5,38,152878,92074.7
8/2/19,0.9,1.1,0.7,0.8,49,205137,159529.9
8/1/19,1,2,0.5,0.9,150,435484,338946.8
1/25/06,1.25,2,0.5,0.7,176,912000,913700
1/24/06,1,1.5,1,1.5,26,20600,27425
1/23/06,1.75,2,1.5,1.5,38,22000,36200
1/20/06,0.9,2.25,0.9,1.5,47,73900,92355
1/19/06,0.9,0.9,0.8,0.9,10,18000,16000
1/18/06,0.6,0.9,0.3,0.6,30,43900,24110
1/17/06,0.7,0.7,0.5,0.5,9,15100,7750
1/16/06,1,1,1,1,7,4700,4700
