Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,56.5,56.5,56.5,56.2,4,50,2825
10/12/23,56.5,56.5,56.5,56.2,4,23,1299.5
10/11/23,56.2,56.2,56.2,56.2,1,20,1124
10/9/23,56.2,56.5,56.2,56.2,4,29,1630.4
10/4/23,60,61.5,56,56.2,37,4001,235931.4
10/2/23,60,60,60,61,1,2,120
9/27/23,58.7,61,58.7,61,4,14,833.3
9/25/23,58.5,60.9,58.5,61,7,30,1764.6
9/22/23,58.6,58.6,58.6,61,1,1,58.6
9/19/23,60,60,57.7,61,3,6,350.8
9/15/23,60,60,60,61,1,1,60
9/14/23,61,61,61,61,2,201,12261
9/13/23,60,62.9,60,59.2,2,2,122.9
9/7/23,61.5,61.5,59,59.2,9,2085,123340.7
9/6/23,61.5,61.5,60,60.5,7,3500,211670
9/5/23,60.1,61.5,60.1,61.5,3,200,12160
9/4/23,61.5,62,60.1,61.5,7,416,25303
8/31/23,60.5,60.5,60,60,43,13297,799422.2
8/28/23,61.3,61.3,60.2,60.4,8,510,30824.1
8/25/23,61.3,61.3,61.2,61.2,3,200,12242
8/23/23,64,64,64,63.5,1,40,2560
8/22/23,63.5,63.5,62.1,63.5,3,12705,806711.5
8/18/23,67.1,67.1,60.7,65.9,10,871,56568
8/17/23,61,68,61,66.8,14,2725,176173.4
8/16/23,66.7,66.7,60.5,60.8,8,143,8693.7
8/15/23,67.4,67.5,60.8,63.9,12,480,30818.5
8/14/23,63,67.5,63,63,12,13428,846120.9
8/11/23,61.1,61.1,60.2,60.5,10,3000,181483.3
8/9/23,61.8,62.9,60.2,60.2,7,512,30852.6
8/8/23,63.6,63.6,63.6,60.5,1,31,1971.6
8/7/23,64.5,64.5,60.2,60.5,11,393,23767.9
8/4/23,62,65,61.5,61.5,12,260,16019.7
8/3/23,62.2,62.2,62.2,63.5,7,90,5598
8/2/23,62.4,64,62.2,63.5,4,350,22230
7/31/23,66,67,66,66.2,5,106,7017
7/28/23,64.2,65,64.1,64.8,15,1514,97228.3
7/27/23,64.4,64.4,63,63,8,875,55141.5
7/26/23,60.3,64.2,60.3,63.8,14,1057,67402.6
7/25/23,61.8,61.8,60.1,60.2,10,4516,271794.6
7/24/23,62,62,61.7,61.7,4,251,15487
7/21/23,63.4,63.4,60.1,60.3,16,9702,586942.7
7/19/23,64.8,64.8,60,61.4,72,29456,1786944.3
7/18/23,64.3,64.3,64.3,61.6,1,15,964.5
7/17/23,63.2,67.9,56.5,61.6,50,4633,285228.4
