Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
9/21/21,13.4,13.6,13,13,23,3637,48401.5
9/17/21,16.5,16.5,12.7,14,12,387,5241.5
9/16/21,19.7,20,12.1,15.2,52,3635,65362.6
9/15/21,22,22,15.3,16.7,43,2084,35619.8
9/14/21,9.2,24.9,9.2,20.5,81,9667,170836.3
9/13/21,5,20,5,14.2,82,9214,138263
4/2/19,0.1,0.1,0.1,0.1,1,56,5.6
6/14/18,16,16.3,16,16.2,58,12212,197366.5
6/13/18,17,17,15,16.2,12,3006,48204.9
6/12/18,15,20,15,17.2,61,31753,563254.4
6/11/18,18,24.8,18,24.4,26,7933,174178.1
6/8/18,18.5,18.5,18.5,18.5,10,4402,81437
6/7/18,34,34,22.3,29.6,3,10,234.7
1/5/16,0.2,0.2,0.2,0.2,27,10265,2053
12/31/15,0.3,0.3,0.3,0.3,2,1080,324
12/30/15,0.3,0.3,0.3,0.3,5,7500,2250
12/29/15,0.4,0.4,0.4,0.4,6,1011,404.4
12/28/15,0.3,1,0.3,0.6,32,18816,13138.7
12/10/12,2.1,2.8,1.2,1.7,26,27031,47442.9
12/7/12,2.5,2.8,2.2,2.3,23,48128,118264.2
12/6/12,3.1,3.6,2.2,2.2,8,7547,18798
12/5/12,3.4,3.9,2.5,3.1,21,9910,34570.7
12/4/12,3,3.9,2.5,2.6,10,6150,17477.2
12/3/12,2.6,2.6,2.6,2.6,1,142,369.2
