Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,65.7,66.8,64,65.1,403,541236,35477701.8
10/12/23,63.5,65,63,64.6,376,678054,43730725.4
10/11/23,63.9,66.9,62.5,63.2,847,1136277,73394543.1
10/10/23,63.2,65.5,61.5,63.6,496,394658,25144223.2
10/9/23,67.1,67.2,60,62.8,1334,2440032,151891748.8
10/6/23,70.9,70.9,67,67.2,390,188155,12763469.1
10/5/23,74.5,74.5,69.5,69.8,648,739536,52940906.8
10/4/23,70,74,65,72.8,1508,2152437,149940698.7
10/3/23,77.4,77.4,68.1,70.6,1011,1190124,85795123.7
10/2/23,77,77.9,75.8,76,205,92953,7113126.5
9/27/23,77.4,78.8,76.5,77.9,311,266889,20735642.6
9/26/23,78.2,78.8,75.5,75.9,540,390825,29905706.7
9/25/23,79,79.9,77.6,78.1,258,128381,10094335.5
9/22/23,76,79,76,78.4,499,312251,24284169.9
9/21/23,77,77.8,75.3,76,766,491000,37475688.1
9/20/23,79,79.7,77.3,78.4,614,370109,29022268.2
9/19/23,79.9,80.3,78,78.3,392,237536,18707390
9/18/23,81,81.7,79,79.3,445,438013,34916744.7
9/15/23,81,81.9,80,80.7,310,308700,24920554.1
9/14/23,81.5,82.6,81,81.5,500,511139,41858848.7
9/13/23,79.8,82.5,79.8,80.1,266,75355,6064207.7
9/12/23,79,82,77.9,80.3,819,880953,70630987.9
9/11/23,81,82.7,78.5,78.9,944,540226,43095034.7
9/8/23,84,84,81,81.8,657,528393,43578338.6
9/7/23,81,84.9,80,83.1,1119,916519,76623571.7
9/6/23,92.5,93.4,78,82.4,4581,7055336,585931785.4
9/5/23,87,92,86.5,90.8,1749,1906075,170561184.7
9/4/23,83.5,87.4,83.4,85.9,1115,1283243,109763159.1
9/1/23,82.5,83.9,76.5,82.4,806,975169,79207501
8/31/23,82,83,80.7,82,674,457004,37411253.1
8/29/23,75.7,82.1,75.6,81.7,1444,1191681,95354628.8
8/28/23,82,82,75,75.7,1594,1272817,98789402.4
8/25/23,80.5,85,77.5,80.9,1661,1770619,145155338.3
8/24/23,80.6,86.5,79.2,82.4,2840,4017364,329678762.2
8/23/23,91.5,92,83,84,2944,3374006,290552141.1
8/22/23,91,93,83.5,92,3294,3695929,326703919.7
8/21/23,79,90,79,89.4,3205,4386954,372010209.8
8/18/23,72,78.8,71.9,77.5,2058,2856731,216962097.3
8/17/23,67.7,72.9,66.2,70.7,2600,4011825,279808760.9
8/16/23,60.9,66,60.3,65.4,1874,3403881,216694989
8/15/23,62,62,59.5,60.4,1170,2458051,148637705.1
8/14/23,60.5,60.8,57.5,59,722,1092825,64945310.8
8/11/23,59.6,60.6,59,59.9,597,1119816,67027928.3
8/10/23,58,59.6,57,58.8,722,1182248,69287225.9
8/9/23,57,57,54.9,55.5,261,224267,12464202.4
8/8/23,56,57.5,54.5,56.1,818,1192425,66774336.3
8/7/23,57.4,57.8,54,54.5,1254,2861520,158943772.2
8/4/23,60.5,61.5,59.3,59.7,456,629943,37968972.5
8/3/23,59,60.9,59,60.1,802,2129459,127640098.5
8/2/23,57.5,59,57.3,58.9,690,1223712,71250311.9
7/31/23,57,58,56.5,57,496,881660,50680446.5
7/28/23,54.7,56.9,54.7,56.6,723,2213991,123434493.4
7/27/23,53,55,53,54.7,529,1434859,78164843.5
7/26/23,53.9,53.9,52,52.5,307,718837,37789615.1
7/25/23,53,53.9,52,53.6,471,818356,43594398.4
7/24/23,53.6,54.5,52.8,53.2,410,715889,38505345.9
7/21/23,53.4,54.2,52.8,53.6,444,1147263,61264412.3
7/20/23,53,54,51.8,53.4,817,2702493,142923162.9
7/19/23,54,55.7,52.8,53.4,1314,4091872,220521399.2
7/18/23,48.7,53.5,47.4,52,1060,3422964,173037994.5
7/17/23,49.3,49.8,48.4,48.5,406,585668,28650926.9
7/14/23,46,49.5,45.9,48.8,932,3169512,153070686.8
7/13/23,46.4,46.4,45,46,407,1299236,59475637.9
7/12/23,46.4,47.5,46,47,391,1432481,67178848.7
7/11/23,46,46.9,45,46.2,554,1730501,79344184.8
7/10/23,48,48.4,45.9,46.3,810,2578321,121326884.5
7/7/23,46.5,48.2,44.8,47.4,1522,6532176,302780973.6
7/6/23,43.4,47,41,44.2,1025,3933042,170300587.5
7/5/23,43.7,43.7,40.8,42.5,1041,5264216,221473623.5
7/4/23,36.5,41.2,36.5,41.2,1166,7568619,295934292.1
6/28/23,33,34,32.9,33,355,1515268,50505997.7
6/27/23,34.2,34.2,32.7,33.3,57,51524,1735438.9
6/26/23,34,34.5,32.1,34,235,512974,17136312.2
6/23/23,34.8,35.5,33.4,34,273,1081565,36768618.6
6/22/23,35.7,35.7,34.6,34.9,153,387389,13679937.7
6/21/23,36,36.4,35.3,35.5,316,1228325,44082917.6
6/20/23,35,35.9,34.6,35.7,204,620670,21998014.6
6/19/23,34,35.3,33.7,35,138,644507,22423828.1
6/16/23,34,34.9,33.7,34,125,530109,18012701.4
6/15/23,35.5,35.7,33.8,34.4,162,1037090,36069504
6/14/23,34.6,36,34.6,35.4,447,1955120,69079552.2
6/13/23,34,34.3,33.6,34.2,122,378693,12882707.6
6/12/23,34.4,34.4,33.4,33.9,98,254987,8651523.9
6/9/23,33.7,34.3,33.5,34,279,806622,27395027.2
6/8/23,33.7,34,33.1,33.4,246,829194,27879991.3
6/7/23,32.7,33.5,32.7,33.5,457,1343417,44428663.9
6/6/23,32.4,32.7,32.3,32.5,290,914133,29705761.9
6/5/23,31.9,32.4,31.5,32.2,222,715467,22925970.2
6/2/23,31.5,31.5,30.9,31.2,71,124865,3908000.7
6/1/23,30.9,32,30.9,31.6,347,1022689,32163670.2
5/31/23,31,31,29.5,29.9,42,69666,2093453.3
5/30/23,29.5,30,29.4,29.8,28,76859,2287604.2
5/29/23,30.3,30.3,29.5,29.5,54,203821,6019300
5/26/23,30.9,30.9,29.6,30,23,35239,1057077
5/25/23,31,31,29.5,30,43,76620,2295185.4
5/24/23,29.9,31,29.3,31,145,424404,13048477.1
5/23/23,29,29.9,28.1,29.4,118,319011,9319114.4
5/22/23,28,28.9,28,28.2,20,151221,4234812
5/19/23,28.5,29,28,28,37,194389,5471626
5/18/23,28,28.2,28,28.1,25,90722,2547735
5/17/23,28.5,29.2,27.5,28.5,10,23950,662656.4
5/16/23,28.2,29,28,28,42,223445,6256780
5/15/23,28.1,29.2,28.1,28.5,15,232010,6612864.8
5/12/23,28.6,28.6,28.1,28.2,133,575139,16385188.7
5/11/23,29.5,29.5,28.9,29.1,35,84411,2461283.5
5/10/23,28.6,29.5,28.2,29,73,147053,4265705.1
5/9/23,29.7,29.7,29,29.2,100,465259,13594616.9
5/8/23,29,29.9,28.5,29.4,190,535582,15626804.6
5/4/23,27.2,29,27.2,28.3,70,376262,10634111.1
5/3/23,27.7,28.5,27.6,28.2,81,224942,6321643.7
5/2/23,27.7,27.8,27,27.1,122,605269,16548076.4
4/28/23,28.5,28.5,27.7,28,62,305350,8546161.5
4/27/23,28.7,29,27.5,28.5,158,1025507,28995859.5
4/26/23,30.9,30.9,28.6,28.8,141,243898,7143962.5
4/25/23,30.1,30.1,29.1,29.7,356,1913660,56617318.3
4/24/23,31,32,30,30.3,62,144654,4450487.1
4/21/23,31.5,32,30.1,30.9,95,191778,5938990.2
4/20/23,31.2,32.4,31,31.5,31,81805,2560595.2
4/19/23,32,32.5,31.5,31.7,69,190693,6090830.2
4/18/23,33,33.5,32,32.6,57,61819,2009373.6
