Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,51.2,51.2,49,49.1,8,3237,158935.8
10/12/23,51,51,48.8,48.9,14,1826,89294.4
10/11/23,51,51,47.4,48.3,40,12986,632626.7
10/10/23,51.2,51.2,49.1,50,12,1739,86886.4
10/9/23,51.5,51.5,49,49.4,19,2755,135753
10/6/23,51.4,51.4,51,50,3,35,1791
10/5/23,50.1,50.1,50,50,23,3167,158355.9
10/4/23,50.5,51.9,50,50.5,20,2020,101731.2
10/3/23,52,52,50.1,50.2,9,2001,100355.4
10/2/23,51,51,50.8,51,11,5044,257145.2
9/27/23,52.1,52.1,50.7,51.5,9,1128,57752.4
9/26/23,53.1,53.1,50,52,30,16718,858668.7
9/25/23,53.1,53.8,53.1,53.4,6,1257,67491.7
9/22/23,50.6,54,50.6,53.1,127,695203,36880919
9/21/23,50.6,50.6,50.6,50.6,5,125,6325
9/20/23,51.9,52.3,51.9,52,17,12605,656058.6
9/19/23,52.6,52.6,50.4,50.6,15,2132,110618.8
9/18/23,52.2,52.6,50,50.1,41,18958,967368.5
9/15/23,51,52,51,51.9,12,5559,288574.8
9/14/23,52,52.9,51,51.5,37,7918,411689.6
9/13/23,52,52.5,51.9,51.9,9,4177,216993.5
9/12/23,52,52.3,50.9,51,12,9462,487557
9/11/23,51.8,52.5,51.8,52,9,264,13727.3
9/8/23,52,52.5,50.2,51.6,19,14679,755021.9
9/7/23,52.9,52.9,51,51,32,22437,1145796
9/6/23,53.3,53.4,51.5,52.2,22,10575,555000.4
9/5/23,53.6,53.6,50.2,51.7,20,6729,346786.8
9/4/23,53.5,53.5,51.5,51.8,14,2952,153086.5
9/1/23,51,53.5,50,52.6,27,39110,1974804.5
8/31/23,51.8,51.8,51,51,4,125,6379
8/29/23,50.6,52,50,50.3,17,1534,77374.2
8/28/23,51,52.3,50.5,50.6,41,10760,553786.1
8/25/23,52.2,52.2,50.3,50.8,16,56375,2922943.3
8/24/23,50.2,52.3,50.2,50.6,16,2078,107407.1
8/23/23,51.5,52,50.1,51.9,22,48410,2497656.4
8/22/23,50,51,50,50.9,25,102402,5211432
8/21/23,51.9,51.9,50,50.2,25,15182,763279.3
