Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,190,190,190,200,1,1,190
10/6/23,196.75,200,196.75,200,30,6652,1330252.5
10/3/23,185.5,185.5,185.25,185.25,6,102,18896.75
10/2/23,186.25,186.25,186,200,4,98,18235.5
9/26/23,192.75,200,192.75,200,30,14838,2961703.5
9/25/23,189,190,189,189.5,4,2052,388828
9/21/23,186.25,193.25,185,189.75,6,80,14981.25
9/19/23,189.75,189.75,189.75,189.75,1,1121,212709.75
9/18/23,189.75,189.75,189.75,189.75,1,20,3795
9/15/23,191.25,191.25,191.25,189.75,1,1,191.25
9/14/23,193.5,193.5,193.5,189.75,1,1,193.5
9/13/23,189.75,189.75,187.5,189.75,6,2886,547609.5
9/12/23,187,189,187,189,5,2038,384982
9/11/23,192.5,193.75,186.5,186.75,20,401686,78321172.5
9/8/23,187.75,190.75,186,189,44,5945,1115092.75
9/7/23,194,194,187.5,190,6,1371,260491.5
9/5/23,190,190,190,190,11,120,22800
9/4/23,190,190.25,190,190.25,4,200,38025
9/1/23,190.25,190.25,190.25,190.25,3,100,19025
8/31/23,192,192,192,190,2,40,7680
8/29/23,191.5,191.5,190,190,4,162,30797.25
8/25/23,191,191,191,191,1,19392,3703872
8/24/23,191.25,191.25,190,190.25,12,813,154821
8/23/23,186.25,186.25,186.25,205.25,3,10,1862.5
8/22/23,185.5,195,185.5,205.25,4,37,6977.5
8/21/23,207.75,207.75,200,205.25,6,126,25862.75
8/18/23,189.25,210,189.25,200.25,47,42873,8589459
8/17/23,182,190,181.75,187,22,2821,527208.25
8/16/23,182.25,182.25,182.25,182.25,9,151,27519.75
8/15/23,184,184,183,183.25,16,219,40111.25
8/14/23,183.5,183.5,183.5,183.5,1,3,550.5
8/11/23,183.25,184,183.25,183.5,18,130,23867
8/10/23,184.25,185,182,183.5,41,112,20548.75
8/9/23,185,188,184.5,188.5,8,41,7583
8/8/23,183,183,183,188.5,1,1,183
8/7/23,190,195,190,188.5,7,70,13515
8/4/23,187.5,194,180.25,188.5,76,18203,3336055.75
8/3/23,189.5,189.5,185,188.75,11,1000,188830.5
7/31/23,190.5,199.25,188.5,189.5,10,1000,189591.25
7/28/23,200,200,200,200,1,1,200
7/27/23,195.75,200,190.25,200,16,2860,568729
7/26/23,190,190,190,190,5,143,27170
7/21/23,194,194,194,188.5,1,3,582
7/20/23,188.5,194,188.5,188.5,17,2576,485617.75
7/19/23,195,195,190,190.5,10,205,39057
7/18/23,195,195,190,195,5,56,10800
7/17/23,195,195,192,195,16,1151,224388
