Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,113,113.75,108,108.75,20,13122,1463584.25
10/12/23,106.25,112.75,106,111.75,76,33357,3671958.75
10/11/23,110,111,106.25,107,50,17631,1924012
10/10/23,110.75,112.75,110,110.5,71,40447,4488151.5
10/9/23,115.75,115.75,109,112.5,79,36237,4011211.25
10/6/23,118,118,116,116,15,1016,118213.25
10/5/23,119.5,119.75,116.5,116.75,23,3925,465490.25
10/4/23,113,120,109,119.5,141,128209,14911179
10/3/23,119,119,109,112.25,73,38355,4334577.5
10/2/23,120.25,120.25,115,117.75,64,27553,3225427.75
9/27/23,121,121.5,118.5,121,76,47405,5687797.5
9/26/23,118,121.25,117.5,118.75,29,15358,1813774.5
9/25/23,122.5,122.5,118,118.25,24,17307,2044615.75
9/22/23,119.75,122,118,118.75,45,9960,1196346.5
9/21/23,121.75,121.75,117,119,56,156927,18681489.25
9/20/23,119.75,122,117,117.75,76,52350,6245844.25
9/19/23,119.5,121,117,117.75,111,54331,6439980.75
9/18/23,122.5,122.5,119,119.5,69,54285,6522171
9/15/23,125,125,122.5,122.75,38,15911,1962313
9/14/23,126,127,123,125,44,41127,5093490.25
9/13/23,123.25,127,121.5,126.5,70,33270,4129607
9/12/23,124,127.25,122.5,123.25,82,59576,7330798.25
9/11/23,129,129,124,125.25,77,23516,2962452
9/8/23,128,129.25,127.25,128.25,60,43572,5585115.75
9/7/23,130,130.5,127.75,128,44,62056,7984611.75
9/6/23,132,132.75,127,130.25,201,172658,22382618.5
9/5/23,127,133.5,127,132.25,651,2185736,285833440.5
9/4/23,117.5,127.75,117.25,126.5,379,1177227,147887449
9/1/23,117.25,118,116,117.5,61,11440,1338596.25
8/31/23,118,120,118,118,53,65796,7779623.25
8/29/23,121.75,122,117.25,119.25,146,192321,23126871.25
8/28/23,121,123,116.25,117,149,207868,24811621.5
8/25/23,122,122.25,115,120.5,161,164848,19890547
8/24/23,127,127,123,123.75,167,322958,40200971
8/23/23,130.75,131.75,123.25,128.75,193,320006,40449302.75
8/22/23,132.5,132.5,127.75,131,274,416458,54078778.75
8/21/23,138,139.75,130,132.5,580,1460657,198779310.3
