Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
2/9/17,21.2,21.2,21.2,21.2,3,8050,170660
2/8/17,21.2,21.2,21.2,21.2,1,2000,42400
2/3/17,21.4,21.4,21.4,21.4,2,2010,43014
1/31/17,21.3,21.3,21.3,21.3,5,5688,121154.4
1/27/17,20.5,21.5,20.5,21.3,12,12555,265595.3
1/26/17,18.1,21.3,18.1,18.1,2,8978,162527.4
1/25/17,21.1,21.1,21.1,21.1,1,100,2110
1/24/17,20.6,20.6,20.5,20.5,2,460,9443
1/19/17,20.5,20.5,20.5,20.5,1,1000,20500
1/18/17,20.4,21.8,20.3,20.3,8,19129,390977
1/11/17,20,20,20,20,4,20670,413400
1/10/17,20,20,20,20,5,22627,452540
1/9/17,20,21.4,20,20,5,601,12021.4
1/5/17,22,22,22,20.4,4,10,220
12/29/16,21,21,21,20.4,1,59,1239
12/27/16,20.5,20.5,20.4,20.4,3,777,15870.8
12/23/16,20.5,20.5,20.5,20.5,2,4800,98400
12/22/16,20.6,20.6,20.6,20.6,1,528,10876.8
12/21/16,21,21,21,21,1,751,15771
12/20/16,20.4,20.5,20.4,20.4,2,8051,164540.4
12/19/16,20.4,20.4,20.4,20.4,2,133,2713.2
12/16/16,21.7,21.7,21.6,20.6,4,4,86.6
12/15/16,20.6,21,20.6,20.6,10,14077,292001.2
12/14/16,20,22.2,20,21.8,25,12799,271929.2
12/9/16,20,20,20,20,1,100,2000
12/8/16,19.8,19.8,19.8,19.8,1,100,1980
12/7/16,19.9,19.9,19.8,19.8,2,2,39.7
12/6/16,19.9,19.9,18.1,19.8,5,13287,243670.7
12/5/16,19.9,20,19.9,19.9,3,200,3985
11/30/16,18,18,18,18,1,228,4104
11/29/16,18,18,18,18,1,300,5400
11/24/16,19.3,19.3,19,19,2,2295,43605.3
11/23/16,19.3,19.3,19.3,19.3,1,100,1930
11/22/16,21.2,21.2,21.2,21.2,2,2000,42400
11/18/16,19.3,19.3,19.3,19.3,3,558,10769.4
11/16/16,19.3,19.3,19.3,19.3,2,102,1968.6
11/15/16,21.4,21.4,19,20,17,2075,39998.8
11/11/16,21.4,21.4,21.3,21.4,13,30,639.2
11/10/16,21.4,21.5,21.3,21.4,17,572,12236.6
11/9/16,20.5,21.9,20.5,21.4,11,2714,56977.5
11/8/16,20.7,20.7,20.5,20.7,4,1151,23815.5
11/7/16,20.7,20.8,20.6,20.7,13,616,12781.1
11/4/16,20.9,20.9,19,19,7,154,3021.5
11/3/16,18.7,20.7,18.7,21,3,42,789.3
11/2/16,20.9,21,20.9,21,3,100,2099.6
10/31/16,21,21,21,19,1,1,21
10/28/16,19,19,19,19,2,8500,161500
10/27/16,19,19,19,19,21,9039,171741
10/25/16,18.6,20.9,18.6,19.1,6,1301,24850.9
10/21/16,21.9,21.9,21.9,21,2,2,43.8
10/20/16,21,21,21,21,3,679,14259
10/18/16,20,20,20,20,1,200,4000
10/17/16,20.5,20.5,20.1,20.1,6,5850,117683
10/11/16,22.7,22.8,20.5,20.6,9,15105,343158.5
10/10/16,20.2,20.2,20.1,20.1,4,10200,205040
10/7/16,22.8,22.8,22.8,22.8,1,5,114
10/5/16,22,22,22,22.8,1,1,22
10/4/16,22.8,22.8,22.8,22.8,1,100,2280
10/3/16,22.8,22.8,22.8,22.8,2,300,6840
9/30/16,22.8,22.8,22.8,22.8,2,2000,45600
9/29/16,21.7,21.7,21.5,21.6,2,500,10790
9/28/16,22.8,22.8,22,22,5,1391,30814.8
9/27/16,22,22.8,21.2,22.8,10,1377,29922.4
9/26/16,22.7,22.8,22.7,22.8,7,1310,29848
9/22/16,20.3,20.3,20.3,20.3,1,100,2030
9/21/16,21.4,21.4,21.4,23,1,9,192.6
9/15/16,23,23,23,23,1,100,2300
9/8/16,23,23,23,23,1,10,230
9/7/16,23,23,23,23,1,76,1748
9/6/16,23,23,23,23,1,10,230
9/2/16,23,23,23,23,4,81,1863
9/1/16,22.9,23,22.9,23,7,4526,103895.4
8/31/16,20.5,22.4,20,22.4,13,105045,2103105
8/29/16,22,23,22,22.4,12,4501,100128
8/26/16,22.2,22.2,20.4,20.4,5,460,9772
8/25/16,22.2,22.3,21.9,21.9,4,410,9028
8/24/16,22.3,22.3,21,21,3,2010,42313.4
8/23/16,22.2,22.3,22.2,22.2,5,22000,489100
8/22/16,21.1,21.1,21.1,21.1,2,105,2215.5
8/18/16,21,21,21,22.1,1,54,1134
8/16/16,22.1,22.1,22.1,22.1,3,3000,66300
8/15/16,22,22.1,22,22.1,9,3150,69614.9
8/11/16,22.2,22.2,22.1,20.8,4,22,487.4
8/10/16,20.8,20.8,20.8,20.8,1,400,8320
8/9/16,20,22.8,20,22.2,12,1309,27085.8
8/8/16,21,21,20,20,3,377,7790
8/5/16,21.7,22.5,21.7,21.8,8,875,19061
8/3/16,23,23,19.9,19.9,5,260,5516
8/2/16,21.6,21.7,21.6,21.6,5,360,7777
8/1/16,21.5,21.7,21.5,21.6,7,287,6209.9
7/29/16,19.9,19.9,19.9,19.9,1,100,1990
7/28/16,21.6,21.7,20,20.9,8,246,5164.1
7/26/16,21.5,21.5,21.5,19.6,2,33,709.5
7/25/16,21.4,21.5,21.4,19.6,3,70,1504.8
7/22/16,19.8,19.8,19.8,19.6,1,41,811.8
7/20/16,19.8,19.8,19.5,19.6,6,3209,62923.2
7/15/16,23.3,23.4,20.6,20.6,5,8851,204877.7
7/14/16,22.4,25,22.4,24.4,22,40101,979098.4
7/13/16,19.3,22.3,19.3,22.3,4,1306,25505.7
7/12/16,19.5,20,19.5,19.5,2,710,13850
7/11/16,19.1,21.5,19.1,20.5,9,1505,30867.9
7/8/16,18.7,19,18.7,18.7,2,799,14941.6
7/7/16,21.5,21.5,21.5,21.8,1,2,43
