Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,28.5,28.5,28.1,28.5,10,7205,205062.5
10/12/23,28.2,30,28,28.1,12,15000,421314.8
10/11/23,29,30.8,28.1,29.3,24,14066,410805.2
10/10/23,30,30,28.6,29.1,9,804,23416.1
10/9/23,29.8,30,28.3,29.8,23,4491,133614.3
10/6/23,30,30.8,29.9,30.5,4,360,10876
10/5/23,30.9,30.9,30.8,30.5,2,2,61.7
10/4/23,29.8,30.5,29.8,30.5,18,17601,533180
10/3/23,30.2,31,29.8,30,18,21101,634055.6
10/2/23,31.1,32,30.2,31.2,18,27602,861418.7
9/27/23,31.5,32,31,31.1,13,4962,154916.6
9/26/23,32,32,31.5,31.5,4,300,9550
9/25/23,32.4,32.4,32.4,32.4,2,201,6512.4
9/22/23,31.4,32,31.4,31.9,19,5873,186050.4
9/21/23,31.3,32.5,31.3,31.4,10,7787,250626.9
9/20/23,31.9,32.9,31.9,32,26,16889,543535.5
9/19/23,32.1,32.1,31.2,31.8,26,17301,550558.3
9/18/23,32.5,33,32.1,32.4,16,9762,319212.4
9/15/23,32.3,33.2,32.3,32.5,13,570324,18592231.7
9/14/23,32.5,33.5,32.5,33.3,29,28000,922299.4
9/13/23,32.8,33.2,32.5,33,49,199307,6575984.2
9/12/23,32,32.5,32,32.3,27,255108,8276327.3
9/11/23,32.2,32.5,32,32,28,473056,15357224.2
9/8/23,32.5,32.8,32.4,32.4,32,146050,4739785
9/7/23,32.5,32.9,32.1,32.6,34,10195,333081.6
9/6/23,32,32.5,31.8,32.2,92,1051721,33649437.2
9/5/23,33.2,33.2,31.7,32.1,72,214092,6879798
9/4/23,34,34,32.6,32.8,104,135494,4544536.1
9/1/23,34.4,34.4,32,33.7,65,87351,2893456.6
8/31/23,33,34.5,33,34.1,291,1097574,37246455.1
8/29/23,31,33.1,31,32.9,198,641695,20714343.2
8/28/23,30.8,31.5,30.3,31,87,131537,4087816.4
8/25/23,30.2,30.7,30.1,30.6,16,16940,514497
8/24/23,30.2,30.2,30,30.1,19,77097,2319913.2
8/23/23,30.4,30.9,30.2,30.6,57,148216,4556006.7
8/22/23,30.1,30.1,30,30,39,770506,23115387.6
8/21/23,30,30.2,30,30,37,1213152,36404634
8/18/23,30,30.3,30,30,63,670902,20131001.8
8/17/23,30.5,30.5,30,30,57,926585,27837774.1
8/16/23,29,30.8,28.5,30.5,127,323912,9779645.3
8/15/23,30.9,31,30.1,30.1,28,35071,1068502.6
8/14/23,30.5,31.3,29.9,30.9,138,1117998,34475742.7
8/11/23,30.5,30.5,30,30.1,31,36217,1097766.4
8/10/23,29.3,30.5,29.3,29.9,23,24543,735955.1
8/9/23,30.2,30.5,30,30,24,61732,1854466.4
8/8/23,30.6,30.8,30,30.7,24,24936,755207
8/7/23,31.2,31.2,30.6,30.6,12,3170,98545.8
8/4/23,30.2,31.5,30.2,31,80,432821,13392625.4
8/3/23,29.5,31.2,29.5,30.9,112,529434,16199556.2
8/2/23,30,30.8,29.5,29.9,37,125506,3752871.4
7/31/23,30,30.9,29.5,30.3,48,159983,4822437.8
7/28/23,30.9,30.9,30,30.1,33,49785,1498257.5
7/27/23,31.4,31.4,30,30.5,30,76097,2334367.5
7/26/23,31.8,31.8,30.1,30.2,34,60209,1853051.9
7/25/23,31.2,31.5,29.5,31.1,77,159840,4953183.4
7/24/23,31.4,32.5,30.6,31.5,151,313795,10003039.8
7/21/23,30,31.5,29.8,31.4,56,181844,5654891.1
7/20/23,31.1,31.7,30,30.8,50,165374,5054493.7
7/19/23,30.5,31.5,29.1,31.1,158,640670,19696291.1
7/18/23,30.2,30.5,29.9,30,58,304545,9140370.1
7/17/23,30,30.9,29.5,30,67,112924,3381998.3
7/14/23,29,30,29,30,129,599376,17810909.2
7/13/23,28,29.2,28,28.9,56,350373,10065954.5
7/12/23,28.5,29.2,28,28.9,59,92010,2644809.7
7/11/23,28.8,28.9,27.7,28.5,29,15498,434160
7/10/23,28.3,28.9,28,28.7,62,138134,3930095.5
7/7/23,27.5,28.4,27.5,27.9,55,80228,2244547.4
7/6/23,28,28,27.5,27.6,36,66036,1820201.8
7/5/23,27,28,27,27.7,84,307244,8454055.7
7/4/23,26.2,27.4,26,27,77,493864,13027365.3
6/28/23,26.1,26.7,26.1,26.2,24,103387,2715517.3
6/27/23,26.4,26.4,26.1,26.1,21,130274,3405583.5
6/26/23,26.4,26.9,26,26.2,50,266742,6996924.2
6/23/23,26,26.8,26,26.6,23,45028,1198882.6
6/22/23,25.2,26.6,25.1,26,66,2860834,74337928.2
6/21/23,25.1,25.5,25,25.2,64,284611,7125677.2
6/20/23,25.1,25.5,25.1,25.1,27,60756,1526895.6
6/19/23,25,25.9,25,25.1,113,737822,18469363.8
6/16/23,24.5,25,24.3,25,32,68718,1717676.2
6/15/23,25.6,25.8,24.5,24.5,56,279981,6867354.5
6/14/23,25.8,25.8,24.6,25.6,18,20852,515170.8
6/13/23,25.8,26.4,24.6,25.9,45,210997,5277331.2
6/12/23,26.1,26.5,25.3,26.1,53,210940,5491942.4
6/9/23,26.5,27,25,25.3,45,883643,24584976.6
6/8/23,25,26.5,24.3,26,142,928793,24048950.3
6/7/23,24.6,25,24.3,25,10,11457,282972
6/6/23,25.3,25.4,24.6,24.7,24,25639,635465.2
6/5/23,25.3,25.3,24.8,25.1,21,17761,444976
6/2/23,24.5,25.5,24.4,25.1,40,66985,1677678.9
6/1/23,24.9,25,24.4,24.7,29,14953,369765.8
5/31/23,24.5,25,24.1,24.2,31,20479,500714.9
5/30/23,25,25,23.1,24.2,36,16904,404314.8
5/29/23,25,25,23.9,24,35,36384,873520.7
5/26/23,25,25,24,24.5,8,20706,507190
5/25/23,24.5,24.9,24.5,24.9,2,228,5657.2
5/24/23,25,25,24,24.8,30,39210,948126.7
5/23/23,25,25,24,24.1,46,57348,1395355.5
5/22/23,24.3,24.9,24.3,24.4,57,59271,1441356.8
5/19/23,24.6,25,23.9,24.6,26,33175,801663.2
5/18/23,25.9,26,25,25,23,18797,473361.5
5/17/23,24.5,25.9,24.5,25.5,68,121922,3096737.3
